flow,family,best_composite,mean_composite,mean_witness_conversion,mean_stability_success,mean_overload_rate,mean_density_gap
golden,phi,0.8085209283657833,0.36656177325322487,0.059769927091173625,0.07738095238095238,2.110773387369132e-06,-0.07368234975439358
silver,metallic,0.8115207525336314,0.382909317411783,0.08654471230494348,0.11706349206349206,0.0030504390966053386,-0.04738857203797231
bounded_cf_2,bounded_cf,0.8205316394636082,0.37472470501743566,0.07249259707541537,0.10317460317460317,0.0,-0.050937623195230264
random_cf_1,random_cf,0.7930511620643506,0.36696342520721376,0.07715894617031173,0.10714285714285714,0.0001317081459025103,-0.04517740209778187
fib_13_21,rational,0.807216049194456,0.35665724669117094,0.07262145921601612,0.09325396825396826,2.056090138991693e-06,-0.12184258363199191
pi_mod1,constant,0.7965352279530545,0.37259704353560597,0.0869939378013255,0.13293650793650794,0.0004706633055798809,-0.07660857395089016
