flow,best_mode,balanced_score,same_field_recall_rate,same_core_recall_rate,frame_shift_rate,balanced_vs_rigid_gap,balanced_vs_touchup_gap,balanced_vs_overwash_gap
bounded_cf_2,balanced_frame,0.7803757949675514,0.9407582938388626,0.28672985781990523,0.9407582938388626,0.008246224611326625,0.003340625619082216,0.0023606438424075282
fib_13_21,rigid_core,0.6962713781233439,0.9921671018276762,0.20757180156657964,0.9921671018276762,-0.014084830509632273,-0.008815733761928124,0.007376918476181493
golden,rigid_core,0.8152042977846687,0.8406876790830946,0.4355300859598854,0.8406876790830946,-0.008855089694617124,-0.006602207880175737,0.009205808473892185
pi_mod1,overwash_frame,0.7927022748684104,0.9611307420494699,0.26148409893992935,0.9611307420494699,-0.0010333823735430014,-0.0010664075607028645,-0.0022352216157016658
random_cf_1,rigid_core,0.7871253377954732,0.8900709219858156,0.2647754137115839,0.8900709219858156,-0.0031418296132667,-0.0026989746364269873,-0.002645064302525535
silver,rigid_core,0.7885084900173279,0.9605734767025089,0.3118279569892473,0.9605734767025089,-0.003315372939790673,-0.0004287427318813153,0.004716686751602528
