name,family,alpha,window_size,phase,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,compression_score,tradeoff_score
golden,golden,0.6180339887498948,0.2,0.0,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,10.499996866166507,2.9092991638826176
golden,golden,0.6180339887498948,0.2,0.17,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,10.499996866166507,2.9092991638826176
golden,golden,0.6180339887498948,0.2,0.31,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,10.499996866166507,2.9092991638826176
golden,golden,0.6180339887498948,0.34,0.0,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,10.901832491154114,2.6493093822401157
golden,golden,0.6180339887498948,0.34,0.17,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,10.901832491154114,2.6493093822401157
golden,golden,0.6180339887498948,0.34,0.31,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,10.901832491154114,2.6493093822401157
golden,golden,0.6180339887498948,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.390635940508005,2.338611130950121
golden,golden,0.6180339887498948,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.390635940508005,2.338611130950121
golden,golden,0.6180339887498948,0.47,0.31,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.390635940508005,2.338611130950121
silver,silver,0.41421356237309515,0.2,0.0,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,10.570968530448427,2.8413161197992274
silver,silver,0.41421356237309515,0.2,0.17,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,10.570968530448427,2.8413161197992274
silver,silver,0.41421356237309515,0.2,0.31,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,10.570968530448427,2.8413161197992274
silver,silver,0.41421356237309515,0.34,0.0,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,9.35263300455185,2.3760713899410817
silver,silver,0.41421356237309515,0.34,0.17,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,9.35263300455185,2.3760713899410817
silver,silver,0.41421356237309515,0.34,0.31,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,9.35263300455185,2.3760713899410817
silver,silver,0.41421356237309515,0.47,0.0,0.2727272727272727,2.0,0.2721072582271615,0.6945211354302263,0.0,257,10.840160291211324,2.7589903598470347
silver,silver,0.41421356237309515,0.47,0.17,0.2727272727272727,2.0,0.2721072582271615,0.6945211354302263,0.0,257,10.840160291211324,2.7589903598470347
silver,silver,0.41421356237309515,0.47,0.31,0.2727272727272727,2.0,0.2721072582271615,0.6945211354302263,0.0,257,10.840160291211324,2.7589903598470347
bronze,bronze,0.30277563773199456,0.2,0.0,0.18181818181818182,3.0,0.20499078095443418,0.4932945842036751,0.0,257,11.261169224876332,2.5528956814421977
bronze,bronze,0.30277563773199456,0.2,0.17,0.18181818181818182,3.0,0.20499078095443418,0.4932945842036751,0.0,257,11.261169224876332,2.5528956814421977
bronze,bronze,0.30277563773199456,0.2,0.31,0.18181818181818182,3.0,0.20499078095443418,0.4932945842036751,0.0,257,11.261169224876332,2.5528956814421977
bronze,bronze,0.30277563773199456,0.34,0.0,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,12.00145121855036,2.52640972375712
bronze,bronze,0.30277563773199456,0.34,0.17,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,12.00145121855036,2.52640972375712
bronze,bronze,0.30277563773199456,0.34,0.31,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,12.00145121855036,2.52640972375712
bronze,bronze,0.30277563773199456,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.220667884002353,2.336061610102536
bronze,bronze,0.30277563773199456,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.220667884002353,2.336061610102536
bronze,bronze,0.30277563773199456,0.47,0.31,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.220667884002353,2.336061610102536
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.0,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.00980392156862745,102,15.540297103455627,2.8776207542766885
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.17,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.00980392156862745,102,15.540297103455627,2.8776207542766885
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.31,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.00980392156862745,102,15.540297103455627,2.8776207542766885
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.0,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,10.642885041463295,2.3954251704947533
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.17,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,10.642885041463295,2.3954251704947533
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.31,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,10.642885041463295,2.3954251704947533
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.0,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,11.883833952671392,2.111009101132572
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.17,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,11.883833952671392,2.111009101132572
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.31,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,11.883833952671392,2.111009101132572
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.0,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,12.901575765507923,2.945322847372739
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.17,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,12.901575765507923,2.945322847372739
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.31,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,12.901575765507923,2.945322847372739
near_golden_m0_010,near_golden,0.6080339887498948,0.34,0.0,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,10.428571774312607,2.392210471487493
near_golden_m0_010,near_golden,0.6080339887498948,0.34,0.17,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,10.428571774312607,2.392210471487493
