mode,best_anchor,best_composite,mean_composite,mean_revision_rate,mean_density_gap,mean_block_gap,mean_markov_gap
real,random_cf_1,0.7954987045752921,0.6639130923143338,0.514620379593255,0.21110447982129066,0.21454539724322658,0.20899662621800996
time_reversed,pi_mod1,0.8056288016118488,0.6701397683663977,0.5154185882742567,0.199487516547392,0.1738492404264914,0.21849466184947536
random_projection,pi_mod1,0.834362134439895,0.7023066529331611,0.516775518520081,0.2604279079432795,0.20426256918375313,0.25814866907464845
phase_scrambled,silver,0.828034073767169,0.6989666103530334,0.5115143619944423,0.19723985614654937,0.21300206978722053,0.19678035837475327
