flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,basin_radius,basin_depth,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_basin_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,0.04,0.08,0.36,2,0.55,0.9082446808510638,0.4759581881533101,0.003952569169960474,0.1857707509881423,0.5582860743541272,0.2262129804662886,0.5582860743541272,0.17013232514177692,0.0,0.4417139256458727,0.09671116900032563,0.4596508618286962,0.7936109028869182
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,0.12,0.12,0.24,2,0.35,0.828393135725429,0.45307167235494883,0.003952569169960474,0.334274421230943,0.556497175141243,0.22245762711864406,0.556497175141243,0.2422316384180791,0.0,0.4435028248587571,0.0755454249430153,0.44908364946438406,0.74935381919852
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,0.08,0.04,0.36,2,0.35,0.820979020979021,0.4508448540706605,0.003952569169960474,0.2608695652173913,0.5586527293844367,0.2706155632984901,0.5586527293844367,0.13879210220673635,0.0,0.4413472706155633,0.08075545424943015,0.4767046771939397,0.7938931501972595
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,0.12,0.08,0.36,2,0.35,0.7586206896551724,0.43137254901960786,0.003952569169960474,0.36250705815923207,0.5639810426540285,0.21800947867298578,0.5639810426540285,0.12914691943127962,0.0,0.43601895734597157,0.0674047541517421,0.44731127114772173,0.7728367032792229
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,0.08,0.08,0.36,1,0.55,0.7870503597122303,0.44041867954911434,0.003952569169960474,0.29474872953133824,0.5795006570302234,0.2608409986859396,0.5795006570302234,0.18725361366622864,0.0,0.4204993429697766,0.07912732009117551,0.4895718425070884,0.7712199137972995
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,0.08,0.12,0.36,2,0.55,0.8176470588235294,0.44983818770226536,0.003952569169960474,0.2981366459627329,0.5626839317245439,0.2542672160094173,0.5626839317245439,0.16715715126545028,0.0,0.43731606827545616,0.07977857375447737,0.4756749703000914,0.7807263587005344
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.35,0.916354556803995,0.4781758957654723,0.003952569169960474,0.1293054771315641,0.4721030042918455,0.1888412017167382,0.4721030042918455,0.11404046597179644,0.0,0.5278969957081545,0.0963855421686747,0.4826688730022113,0.8042917498791908
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.08,0.08,0.12,0.36,1,0.35,0.8692403486924035,0.46502331778814127,0.003952569169960474,0.14850367024280067,0.4147640791476408,0.1628614916286149,0.4147640791476408,0.1278538812785388,0.0,0.5852359208523592,0.09378052751546727,0.48737294598282677,0.7762356404439459
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.2,0.12,0.12,0.24,2,0.35,0.8166431593794076,0.4495341614906832,0.003952569169960474,0.26877470355731226,0.39934426229508196,0.13049180327868853,0.39934426229508196,0.18032786885245902,0.0,0.600655737704918,0.0823835884076848,0.4748784492180158,0.7369282943618771
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.14,0.04,0.08,0.36,1,0.55,0.8855345911949686,0.4696464309539693,0.003952569169960474,0.14963297571993225,0.39492753623188404,0.196256038647343,0.39492753623188404,0.12318840579710146,0.0,0.605072463768116,0.09931618365353305,0.4919004769527041,0.7788955372243099
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.14,0.04,0.08,0.36,2,0.35,0.920253164556962,0.4792353328938695,0.003952569169960474,0.13946922642574816,0.3879656160458453,0.18108882521489972,0.3879656160458453,0.11060171919770774,0.0,0.6120343839541548,0.09899055682188213,0.4774598076733598,0.7818298224503394
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,0.08,0.04,0.36,2,0.55,0.8536912751677852,0.46053584359160027,0.003952569169960474,0.21626199887069453,0.3882488479262673,0.16705069124423963,0.3882488479262673,0.12442396313364056,0.0,0.6117511520737328,0.08954737870400521,0.4815921974275501,0.7623009955325027
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,0.12,0.12,0.24,1,0.55,0.8095238095238095,0.4473684210526316,0.003952569169960474,0.3094297007340486,0.3914191419141914,0.16501650165016502,0.3914191419141914,0.201980198019802,0.0,0.6085808580858085,0.07326603712145881,0.48313404042459374,0.7279116686699448
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.08,0.12,0.04,0.24,1,0.55,0.8049853372434017,0.44597887896019495,0.003952569169960474,0.30095990965556185,0.6095152603231598,0.26750448833034113,0.6095152603231598,0.2881508078994614,0.12657091561938957,0.3904847396768402,0.0674047541517421,0.4863186661164539,0.7160466397139853
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.14,0.08,0.04,0.36,2,0.35,0.8551532033426184,0.46096096096096095,0.003952569169960474,0.24392998306041785,0.5633893919793014,0.23609314359637776,0.5633893919793014,0.16623544631306597,0.13001293661060803,0.43661060802069857,0.08303484207098664,0.4749112845386442,0.7612249920826278
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.14,0.12,0.04,0.36,1,0.35,0.7704447632711621,0.4351701782820097,0.003952569169960474,0.2992659514398645,0.6111111111111112,0.2959927140255009,0.6111111111111112,0.18670309653916212,0.13752276867030966,0.3888888888888889,0.07131227613155323,0.45571452526985023,0.7402069403109873
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,0.08,0.12,0.24,1,0.35,0.8322884012539185,0.4542343883661249,0.005081874647092038,0.33483907396950874,0.574385510996119,0.22833117723156532,0.574385510996119,0.2807244501940492,0.1390685640362225,0.425614489003881,0.07261478345815696,0.49113685160987686,0.7160510485559276
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,0.04,0.04,0.36,2,0.35,0.8660084626234132,0.46409674981103555,0.003952569169960474,0.2490118577075099,0.5560720511330621,0.27832655432887854,0.5560720511330621,0.18768158047646716,0.13771063335270192,0.4439279488669378,0.08629111038749593,0.4764754597541693,0.7593054827655875
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,0.08,0.04,0.36,1,0.55,0.7818991097922848,0.43880099916736054,0.003952569169960474,0.3178994918125353,0.5772787318361955,0.25165125495376484,0.5772787318361955,0.20145310435931307,0.13606340819022458,0.4227212681638045,0.06903288830999674,0.48940385563065314,0.7368579717606726
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,0.12,0.08,0.24,2,0.35,0.7602131438721137,0.4318869828456105,0.003952569169960474,0.4364765669113495,0.5621588841722256,0.19769557307459065,0.5621588841722256,0.24742268041237114,0.1400848999393572,0.4378411158277744,0.06056659068707262,0.44121087501009093,0.7005003404552523
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.08,0.04,0.04,0.24,1,0.55,0.8873994638069705,0.47017045454545453,0.006211180124223602,0.19875776397515527,0.47471054235222426,0.20840950639853748,0.47471054235222426,0.20536258379037173,0.0,0.5252894576477758,0.09475740801042006,0.4861776623175581,0.7698716596471139
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.08,0.04,0.36,1,0.35,0.863013698630137,0.4632352941176471,0.004517221908526256,0.1507622811970638,0.4247720364741641,0.17249240121580547,0.4247720364741641,0.12462006079027356,0.0,0.5752279635258358,0.09378052751546727,0.4826452182633937,0.7786710035616465
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.12,0.04,0.24,2,0.55,0.8448979591836735,0.4579646017699115,0.005081874647092038,0.22924901185770752,0.3929032258064516,0.14193548387096774,0.3929032258064516,0.1664516129032258,0.0,0.6070967741935483,0.08531422989254314,0.47526068655758447,0.7454005797247504
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.12,0.04,0.36,2,0.55,0.8268229166666666,0.45260156806842483,0.003952569169960474,0.20383963862224733,0.3904458598726115,0.1394904458598726,0.3904458598726115,0.10063694267515924,0.0,0.6095541401273885,0.08531422989254314,0.4771216745625114,0.7633396600173196
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.12,0.12,0.36,1,0.55,0.7914032869785083,0.4417784050811574,0.003952569169960474,0.19593450028232637,0.41288191577208916,0.18166804293971925,0.41288191577208916,0.11643270024772914,0.0,0.5871180842279108,0.07815043959622273,0.47955791240075796,0.7655132443726107
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,0.12,0.12,0.36,1,0.35,0.7982005141388174,0.44388849177984274,0.003952569169960474,0.20609824957651043,0.40016708437761067,0.1871345029239766,0.40016708437761067,0.12280701754385964,0.0,0.5998329156223893,0.0755454249430153,0.47700408536211725,0.7619909301388362
