flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_recall_gain,best_sheath_gain,best_bleed_rate,best_split_threshold,best_basin_radius,best_basin_depth,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_same_basin_recall_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8042917498791908,13,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.35,0.7402425507953259,0.49647029392175634,0.21145655295904867,0.49647029392175634,0.12061215234522527,0.5035297060782435,0.18264633690431265,0.3256535546049525
silver,metallic,0.781348668320153,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.35,0.7212558859722885,0.6360734621597302,0.1782346539844829,0.6360734621597302,0.10965716772895542,0.36392653784026985,0.17376350443505778,0.325219178906565
bounded_cf_2,bounded_cf,0.7915339013609248,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.35,0.7217114472300443,0.5594250152871559,0.18180206484050193,0.5594250152871559,0.08860622551763735,0.44057498471284406,0.14854358377634663,0.32866095140967866
random_cf_1,random_cf,0.7947476766859443,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.35,0.7328964747190284,0.6236697021719778,0.19855892949806872,0.6236697021719778,0.10556195754574517,0.37633029782802196,0.1555454438430681,0.3375986430884234
fib_13_21,rational,0.721420664328666,21,13,0.04,0.58,21,0.08,0.12,0.08,0.36,2,0.35,0.669234326147504,0.6111761695980199,0.20616680430748283,0.6111761695980199,0.10884367667605502,0.38882383040198004,0.2902764736145347,0.27295986617888834
pi_mod1,constant,0.8000799337684628,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.35,0.7300130491939639,0.6059478726361457,0.20393029484116415,0.6059478726361457,0.10801421283085766,0.39405212736385425,0.14429434891728335,0.33262274391057584
