height,radius
0.0,2.0
0.04522613065326633,2.0239612496461246
0.09045226130653267,2.050557197492221
0.135678391959799,2.079695337879773
0.18090452261306533,2.1112831651502635
0.22613065326633167,2.1452281736451764
0.271356783919598,2.181437857705994
0.31658291457286436,2.219819711674201
0.36180904522613067,2.2602812298912807
0.40703517587939697,2.302729906698717
0.45226130653266333,2.3470732364379914
0.4974874371859297,2.3932187134505893
0.542713567839196,2.441073832077993
0.5879396984924623,2.4905460866616864
0.6331658291457287,2.5415429715431532
0.678391959798995,2.593971981063876
0.7236180904522613,2.647740609565339
0.7688442211055276,2.702756351389025
0.8140703517587939,2.758926700876418
0.8592964824120604,2.8161591523690017
0.9045226130653267,2.8743612002082584
0.949748743718593,2.933440338735672
0.9949748743718594,2.993304062292727
1.0402010050251256,3.0557128546531382
1.085427135678392,3.1232176217400056
1.1306532663316584,3.195477864901725
1.1758793969849246,3.272123561504229
1.221105527638191,3.352784688913453
1.2663316582914574,3.4370912244953296
1.3115577889447236,3.5246731456157923
1.35678391959799,3.615160429640776
1.4020100502512562,3.708183053936213
1.4472361809045227,3.8033709958680384
1.492462311557789,3.900354232802185
1.5376884422110553,3.9987627421045873
1.5829145728643217,4.098226501141179
1.6281407035175879,4.198375487277892
1.6733668341708543,4.298839677880662
1.7185929648241207,4.399249050315423
1.763819095477387,4.499233581948107
1.8090452261306533,4.5984232501446485
1.8542713567839197,4.696448032270982
1.899497487437186,4.79293790569304
1.9447236180904524,4.887522847776758
1.9899497487437188,4.979832835888068
2.035175879396985,5.069555880206568
2.080402010050251,5.156840869583645
2.1256281407035176,5.2420564731183505
2.170854271356784,5.325572713444752
2.2160804020100504,5.407759613196916
2.261306532663317,5.4889871950089075
2.306532663316583,5.569625481514793
2.351758793969849,5.650044495348641
2.3969849246231156,5.730614259144514
2.442211055276382,5.811704795536482
2.4874371859296485,5.893686127158608
2.532663316582915,5.976928276644962
2.577889447236181,6.0618012666296055
2.6231155778894473,6.148675119746608
2.6683417085427137,6.237919858630036
2.71356783919598,6.329905505913954
2.7587939698492465,6.42500208423243
2.8040201005025125,6.5235796162195285
2.849246231155779,6.626008124509317
2.8944723618090453,6.732657631735862
2.9396984924623117,6.843898160533229
2.984924623115578,6.960099733535484
3.030150753768844,7.083965190970889
3.0753768844221105,7.222589678779494
3.120603015075377,7.375110572178588
3.1658291457286434,7.540047780631904
3.21105527638191,7.71592121360318
3.2562814070351758,7.901250780556147
3.301507537688442,8.094556390954546
3.3467336683417086,8.294357954262107
3.391959798994975,8.499175379942566
3.4371859296482414,8.707528577459659
3.482412060301508,8.917937456277118
3.527638190954774,9.128921925858682
3.5728643216080402,9.339001895668083
3.6180904522613067,9.546697275169059
3.663316582914573,9.75052797382534
3.7085427135678395,9.949013901100665
3.7537688442211055,10.140674966458768
3.798994974874372,10.324031079363383
3.8442211055276383,10.497602149278245
3.8894472361809047,10.659908085667093
3.934673366834171,10.809468797993654
3.9798994974874375,10.94480419572167
4.025125628140704,11.06576022964752
4.07035175879397,11.178170212695763
4.115577889447236,11.283549765696744
4.160804020100502,11.382638933918601
4.206030150753769,11.476177762629465
4.251256281407035,11.564906297097465
4.296482412060302,11.64956458259074
4.341708542713568,11.730892664377418
4.386934673366834,11.809630587725628
4.432160804020101,11.88651839790351
4.477386934673367,11.962296140179193
4.522613065326634,12.037703859820809
4.5678391959799,12.113481602096492
