flow,real_moderate_score,same_field_recall_rate,split_rate,binding_help_under_moderate,moderate_help_with_binding,moderate_help_without_binding
bounded_cf_2,0.7763900941916941,0.9445114595898673,0.06755126658624849,0.0556908657300329,0.007243747176979842,0.05086610867757235
fib_13_21,0.7177592509221459,0.9922580645161291,0.07096774193548387,-0.07815568459108313,0.00031334524367665484,0.05245288244032409
golden,0.8231771506985186,0.849971477467199,0.0775812892184826,0.01320896300807195,0.0057663238524467975,0.04741996516439073
pi_mod1,0.7909945404779616,0.9715639810426541,0.0035545023696682463,0.04115801016659981,0.0035024101697136434,0.05864747808287196
random_cf_1,0.7816213058153001,0.8907563025210085,0.07202881152460984,0.020190190205706338,0.005507181826951646,0.049181866848480915
silver,0.7861998083717562,0.9681372549019608,0.04656862745098039,0.02414221939795802,0.0073157846144211724,0.043714938172892626
