flow,best_mode,balanced_score,same_field_recall_rate,same_core_recall_rate,split_rate,balanced_vs_no_rival_gap,balanced_vs_strong_gap,balanced_vs_absorbing_gap
bounded_cf_2,no_rival,0.7763900941916941,0.9445114595898673,0.2738238841978287,0.06755126658624849,0.0,0.0009262532066036666,0.0015843367799791563
fib_13_21,absorbing_rival,0.7086363971520944,0.9924433249370277,0.21536523929471033,0.06926952141057935,0.0,0.0013160159390626092,-0.005424648461355708
golden,absorbing_rival,0.8231771506985186,0.849971477467199,0.46035367940673133,0.0775812892184826,0.0,-0.00314659554308927,-0.005200745480208657
pi_mod1,strong_rival,0.7894763062032037,0.9715976331360947,0.26272189349112424,0.0035502958579881655,0.0,-0.0012900460148987936,-0.0004424518291873403
random_cf_1,absorbing_rival,0.7816213058153001,0.8907563025210085,0.25690276110444177,0.07202881152460984,0.0,0.000330034367647003,-0.0023705220368499536
silver,strong_rival,0.7861998083717562,0.9681372549019608,0.3137254901960784,0.04656862745098039,0.0,-0.0009491703251034433,0.0018294908996575598
