mode,anchor,family,alpha,offset,window_width,beta,learning_rate,model_rate,surprise_high,revision_threshold,coherence_limit,write_threshold,instability_penalty,write_count,witness_count,admission_rate,write_rate,witness_rate,revision_rate,mean_revision_size,instability,embodied_cost,delayed_retention,pollution,phase_lock_resistance,composite_score
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.7,0.75,23.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.040795730061417616,0.052614240874263446,0.039460680655697584,1.0,0.011235955056179775,0.590974761224708,0.7139685140423246
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.7,0.75,22.0,0.0,0.29333333333333333,1.0,0.0,0.29333333333333333,0.040938798031350365,0.05269278549469081,0.039519589121018106,1.0,0.01074743527112848,0.8010352312809359,0.7224123366878704
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.7,0.75,35.0,0.0,0.49295774647887325,1.0,0.0,0.49295774647887325,0.04401946042217354,0.052581826913887963,0.03943637018541597,1.0,0.01709819247679531,0.717659838362791,0.765776286842127
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.7,0.75,27.0,0.0,0.39705882352941174,1.0,0.0,0.39705882352941174,0.04049076926425594,0.052741873864882514,0.039556405398661884,1.0,0.013190034196384953,0.6599563089753824,0.7689595316858332
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.7,0.75,17.0,0.0,0.23943661971830985,1.0,0.0,0.23943661971830985,0.03805763226405564,0.05232813476982094,0.0392461010773657,1.0,0.008304836345872008,0.6463890331416597,0.6580599250928674
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.025,0.17,0.24,0.025,0.18,0.7,0.35,34.0,12.0,0.6666666666666666,0.7391304347826086,0.2608695652173913,0.6666666666666666,0.0679939768761697,0.058897472553104575,0.0206141153935866,0.7391304347826086,0.016609672691744015,0.5292237658443948,0.7199803999956319
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.025,0.17,0.24,0.025,0.18,0.7,0.35,38.0,23.0,0.8133333333333334,0.6229508196721312,0.3770491803278688,0.8133333333333334,0.06218031077329201,0.06109613204645325,0.021383646216258635,0.6229508196721312,0.018563751831949193,0.5790199302311525,0.6914876900078762
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.025,0.17,0.24,0.025,0.18,0.7,0.35,35.0,30.0,0.9154929577464789,0.5384615384615384,0.46153846153846156,0.9154929577464789,0.0642714957870211,0.06324952022039802,0.022137332077139308,0.5384615384615384,0.01709819247679531,0.7460701830419603,0.7165825880937119
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.025,0.17,0.24,0.025,0.18,0.7,0.35,30.0,6.0,0.5294117647058824,0.8333333333333334,0.16666666666666666,0.5294117647058824,0.06939664357496486,0.0575830199005381,0.020154056965188336,0.8333333333333334,0.014655593551538837,0.7291090162087337,0.7879670099394737
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.025,0.17,0.24,0.025,0.18,0.7,0.35,29.0,16.0,0.6338028169014085,0.6444444444444445,0.35555555555555557,0.6338028169014085,0.06254528532794132,0.05851295261592194,0.020479533415572678,0.6444444444444445,0.014167073766487542,0.6506198243938484,0.757791845274029
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.025,0.17,0.36,0.1,0.18,0.44,0.55,30.0,1.0,0.4492753623188406,0.967741935483871,0.03225806451612903,0.4492753623188406,0.08352730466953126,0.056056057802892155,0.03083083179159069,0.967741935483871,0.014655593551538837,0.5645313935306626,0.7755860791473952
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.025,0.17,0.36,0.1,0.18,0.44,0.55,31.0,3.0,0.4533333333333333,0.9117647058823529,0.08823529411764706,0.4533333333333333,0.08276952531620413,0.057176296083090994,0.03144696284570005,0.9117647058823529,0.015144113336590131,0.6575110428150204,0.795623838754629
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.025,0.17,0.36,0.1,0.18,0.44,0.55,35.0,7.0,0.5915492957746479,0.8333333333333334,0.16666666666666666,0.5915492957746479,0.08602850614862781,0.05888710831416531,0.032387909572790925,0.8333333333333334,0.01709819247679531,0.7287617794681842,0.7725089674220036
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.025,0.17,0.36,0.1,0.18,0.44,0.55,31.0,1.0,0.47058823529411764,0.96875,0.03125,0.47058823529411764,0.08138859068719034,0.05556284297047671,0.03055956363376219,0.96875,0.015144113336590131,0.717138434439814,0.794809902852411
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.025,0.17,0.36,0.1,0.18,0.44,0.55,23.0,1.0,0.3380281690140845,0.9583333333333334,0.041666666666666664,0.3380281690140845,0.07987229264723957,0.05526072164256467,0.030393396903410568,0.9583333333333334,0.011235955056179775,0.6470439508367847,0.7513256794164602
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.06,0.035,0.36,0.055,0.55,0.7,0.55,30.0,0.0,0.43478260869565216,1.0,0.0,0.43478260869565216,0.01717945176258836,0.05136699513576498,0.028251847324670742,1.0,0.014655593551538837,0.5623092611997504,0.7453159868394528
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.06,0.035,0.36,0.055,0.55,0.7,0.55,32.0,0.0,0.4266666666666667,1.0,0.0,0.4266666666666667,0.017218551234430213,0.05140095391566179,0.028270524653613988,1.0,0.015632633121641426,0.6476911563126757,0.7622629643493524
