anchor,anchor_family,model,global_hotspot_offset,hotspot_stability,phase_lock_resistance,delayed_retention,pollution,witness_conversion,mean_alignment_latency,contact_ring_rate,rigidity_after_perturbation,composite_score,surrogate_gap
golden,phi_anchor,one_light_recurrence,-1.3877787807814457e-17,0.4166666666666667,0.46700783798939377,0.47010453577271755,0.8333333333333334,0.13351223813451218,6.564058556887205,0.2833251953125,0.626708984375,0.43213480384670055,-0.15143079075220917
golden,phi_anchor,two_light_plain,-0.042,0.75,0.6926694548964228,0.0,0.0,0.0,8.333333333333334,0.4849853515625,0.952392578125,0.5504978490397837,0.08087014667816628
golden,phi_anchor,two_light_contact_ring,-0.030000000000000006,0.5,0.5834427889921693,0.0004065040650406504,0.08333333333333333,0.00026881720430107527,8.25,0.93115234375,0.93011474609375,0.5307674570131563,-0.011731708625499881
golden,phi_anchor,two_light_no_ring,-0.042,0.75,0.6926694548964228,0.0,0.0,0.0,8.333333333333334,0.4849853515625,0.952392578125,0.5504978490397837,0.06311050342929703
golden,phi_anchor,two_light_random_projection,0.0029999999999999853,0.4166666666666667,0.8713346046888484,0.09806626497156101,0.8333333333333334,0.04609515603772177,6.066132478632478,0.4860636393229167,0.9405314127604166,0.5027662846786471,0.013613746400593152
golden,phi_anchor,two_light_shuffled_time,-1.3877787807814457e-17,0.3333333333333333,0.8635263202750137,0.06911789347378462,0.6666666666666666,0.03237956693289814,6.031944444444444,0.4876912434895833,0.94140625,0.5213537979967403,0.02256990101667139
silver,metallic_anchor,one_light_recurrence,0.011999999999999983,0.4166666666666667,0.49255336914581394,0.5166062810940181,0.8333333333333334,0.17816328970426798,5.399799462848939,0.282958984375,0.626953125,0.4647217180221271,-0.11833250700772013
silver,metallic_anchor,two_light_plain,0.008999999999999984,0.75,0.6493207165377621,0.0,0.0,0.0,8.333333333333334,0.4853515625,0.95269775390625,0.535812988935339,0.06052256576448595
silver,metallic_anchor,two_light_contact_ring,0.029999999999999978,0.75,0.5757003492909597,0.009219170944427733,0.25,0.004765023868624418,7.333333333333333,0.929931640625,0.9310302734375,0.4980541440447186,-0.018966745247859573
silver,metallic_anchor,two_light_no_ring,0.008999999999999984,0.75,0.6493207165377621,0.0,0.0,0.0,8.333333333333334,0.4853515625,0.95269775390625,0.535812988935339,0.04886524817895049
