branch,anchor,mean_generic_score,best_generic_score,mean_witness_conversion,mean_write_persistence
model_revision_witness,bounded_cf_2,0.44884733888556094,0.543568700736309,7.031158852084963e-05,0.01789366983733532
model_revision_witness,fib_13_21,0.4508913050750558,0.5320565121292278,0.0,0.004390921530089049
model_revision_witness,golden,0.44848674309329695,0.536050436961413,0.0,0.0054690763788121915
model_revision_witness,pi_mod1,0.4709465441690249,0.6140104733403611,0.010139133498054528,0.11849998119915364
model_revision_witness,random_cf_1,0.4704489048128833,0.57639208937183,0.0,0.13282354542081107
model_revision_witness,silver,0.4472030486476254,0.590332033062599,0.0,0.06711049942255279
boundary_pocket,bounded_cf_2,0.3819738578365191,0.5462776660080026,0.0,0.036071678692389066
boundary_pocket,fib_13_21,0.33788756052266594,0.46977053407809194,3.401360544217687e-05,0.0012998333743154805
boundary_pocket,golden,0.35342475039850596,0.4830548629092484,0.0,0.0011330142190295735
boundary_pocket,pi_mod1,0.3550984927380271,0.4755347618261459,0.0,0.0
boundary_pocket,random_cf_1,0.38338436963987443,0.6190889396730701,0.01848524432816272,0.12140855398635973
boundary_pocket,silver,0.36564254142823555,0.5587315183282142,0.0047314297477067625,0.03634828845556713
