branch,anchor,alpha,offset,window_width,beta,score_a,score_b,score_c,score_d,score_e,score_f,write_count,witness_count,activity_rate,delayed_retention,witness_conversion_proxy,write_persistence,pollution,overload_rate,phase_lock_resistance,generic_score
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.08,0.36,0.055,0.18,0.44,26.0,0.0,0.0126953125,1.0,0.0,0.0,0.012701514411333659,0.0,0.6429130868022108,0.45629389856857977
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.08,0.36,0.055,0.18,0.44,33.0,0.0,0.01611328125,1.0,0.0,0.0,0.01612115290669272,0.0,0.8425421163276349,0.5042111749220443
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.025,0.08,0.36,0.055,0.18,0.44,31.0,0.0,0.01513671875,1.0,0.0,0.0,0.015144113336590131,0.0,0.5212419899126053,0.43238260715134597
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.025,0.08,0.36,0.055,0.18,0.44,29.0,0.0,0.01416015625,1.0,0.0,0.0,0.014167073766487542,0.0,0.6887638330292302,0.46809487267761163
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.025,0.08,0.36,0.055,0.18,0.44,27.0,0.0,0.01318359375,1.0,0.0,0.0,0.013190034196384953,0.0,0.5379982033116992,0.43378389418036306
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.025,0.08,0.36,0.055,0.18,0.44,29.0,0.0,0.01416015625,1.0,0.0,0.0,0.014167073766487542,0.0,0.6004889134411058,0.44867439036822426
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.025,0.08,0.36,0.055,0.18,0.44,24.0,0.0,0.01171875,1.0,0.0,0.0,0.01172447484123107,0.0,0.7467817365932257,0.4780024615632112
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.08,0.52,0.025,0.55,0.58,19.0,23.0,0.0205078125,0.4523809523809524,0.0,0.0,0.009281875915974597,0.0,0.6491359496250235,0.38008307685017956
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.08,0.52,0.025,0.55,0.58,23.0,23.0,0.0224609375,0.5,0.0,0.0,0.011235955056179775,0.0,0.843654643382497,0.432781317014655
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.025,0.08,0.52,0.025,0.55,0.58,24.0,26.0,0.0244140625,0.48,0.0,0.0,0.01172447484123107,0.0,0.5477640619453439,0.36688771376567714
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.025,0.08,0.52,0.025,0.55,0.58,21.0,22.0,0.02099609375,0.4883720930232558,0.0,0.0,0.010258915486077186,0.0,0.7355607941504332,0.40538731354543006
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.025,0.08,0.52,0.025,0.55,0.58,20.0,19.0,0.01904296875,0.5128205128205128,0.0,0.0,0.009770395701025891,0.0,0.5661060051274562,0.36961668246074036
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.025,0.08,0.52,0.025,0.55,0.58,21.0,24.0,0.02197265625,0.4666666666666667,0.0,0.0,0.010258915486077186,0.0,0.6414848475585426,0.3824384402031599
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.025,0.08,0.52,0.025,0.55,0.58,23.0,23.0,0.0224609375,0.5,0.0,0.0,0.011235955056179775,0.0,0.7527546997213417,0.41278332940920076
