flow,best_mode,dual_score,same_field_recall_rate,same_core_recall_rate,rewrite_drift_rate,split_rate,dual_vs_rigid_gap,dual_vs_touchup_gap,dual_vs_meltheavy_gap
bounded_cf_2,melt_heavy,0.7741482932455619,0.9431680773881499,0.282950423216445,0.0,0.07134220072551391,-0.002241800946132244,0.00041653850831058215,-0.004568340025117079
fib_13_21,rigid,0.6990424688073996,0.9908972691807543,0.2093628088426528,0.0,0.0741222366710013,-0.009593928344694747,-0.005745647843911739,-0.0011971671402828399
golden,rigid,0.8178230002764201,0.8424068767908309,0.44527220630372494,0.0,0.08194842406876791,-0.005354150422098525,-0.0032671715705062665,0.0031379015257635423
pi_mod1,touch_up,0.789968716164171,0.9651442307692307,0.2704326923076923,0.0,0.007211538461538462,0.0004924099609672217,-0.0045226411445695724,-0.0019394062941299195
random_cf_1,touch_up,0.7792400319579417,0.8933333333333333,0.25333333333333335,0.0,0.07757575757575758,-0.0023812738573584236,-0.0035381997237489138,-0.0018788873841523168
silver,rigid,0.77668766505063,0.9684848484848485,0.3018181818181818,0.0,0.05696969696969697,-0.009512143321126154,-0.0032514175709196236,-0.001492457021925575
