flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,family_radius,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_family_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,0.04,0.08,0.36,2,0.9093333333333333,0.4762569832402235,0.003952569169960474,0.18746470920383965,0.5662805662805663,0.24002574002574004,0.5662805662805663,0.17374517374517376,0.0,0.4337194337194337,0.0928036470205145,0.47985010714144105,0.7970756877002365
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,0.12,0.12,0.24,1,0.8090909090909091,0.4472361809045226,0.003952569169960474,0.32185206098249575,0.6089334548769371,0.25888787602552416,0.6089334548769371,0.3226982680036463,0.0,0.3910665451230629,0.06707912732009118,0.48845334323063605,0.7368623344978337
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,0.08,0.04,0.36,1,0.8068669527896996,0.44655581947743467,0.003952569169960474,0.28289102202145683,0.5803108808290155,0.26748704663212436,0.5803108808290155,0.1794041450777202,0.0,0.41968911917098445,0.07847606642787365,0.4597607531004878,0.774445242335516
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,0.12,0.08,0.36,1,0.7036474164133738,0.4130240856378234,0.003952569169960474,0.36307171089779783,0.5815554026152787,0.23193392980041294,0.5815554026152787,0.15003441156228492,0.0,0.4184445973847213,0.05568218821230869,0.48174695214545304,0.762356982522798
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,0.08,0.08,0.36,1,0.7979351032448377,0.44380639868744876,0.003952569169960474,0.30773574251835123,0.58382257012394,0.24853228962818003,0.58382257012394,0.19569471624266144,0.0,0.41617742987606,0.07261478345815696,0.49155607319787775,0.7690884219730859
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,0.08,0.12,0.36,2,0.8026905829596412,0.44527363184079605,0.003952569169960474,0.31507622811970637,0.5631238990017616,0.24721080446271285,0.5631238990017616,0.17674691720493246,0.0,0.4368761009982384,0.07587105177466623,0.47974333442013417,0.7741563596672776
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.9178255372945638,0.47857613711272246,0.003952569169960474,0.13946922642574816,0.4732965009208103,0.19705340699815838,0.4732965009208103,0.12338858195211787,0.0,0.5267034990791897,0.0986649299902312,0.48673489113149304,0.8068321579989374
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.08,0.08,0.08,0.36,2,0.9022842639593909,0.4743162108072048,0.003952569169960474,0.14963297571993225,0.39438339438339437,0.13736263736263737,0.39438339438339437,0.10317460317460317,0.0,0.6056166056166056,0.09768804949527841,0.4776806034065787,0.7829382488969095
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.2,0.12,0.08,0.24,2,0.8273894436519258,0.4527712724434036,0.003952569169960474,0.2727272727272727,0.40842245989304815,0.1443850267379679,0.40842245989304815,0.19318181818181818,0.0,0.5915775401069518,0.08173233474438293,0.4756375456230514,0.7418288723750825
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.14,0.04,0.04,0.24,2,0.9370725034199726,0.4837570621468927,0.004517221908526256,0.19593450028232637,0.3876372039283651,0.15655690352397458,0.3876372039283651,0.18601964182553438,0.0,0.6123627960716349,0.09964181048518397,0.4498353690032081,0.7544136212943741
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.14,0.04,0.04,0.36,2,0.9367741935483871,0.4836775483011326,0.003952569169960474,0.14850367024280067,0.386428982173663,0.1799884991374353,0.386428982173663,0.11730879815986199,0.0,0.6135710178263369,0.09899055682188213,0.47766498554847003,0.7845613563707388
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,0.04,0.12,0.24,1,0.9116022099447514,0.476878612716763,0.003952569169960474,0.21456804065499718,0.38753056234718825,0.17298288508557458,0.38753056234718825,0.21943765281173594,0.0,0.6124694376528117,0.09247802018886356,0.4917744857901444,0.7460382979830678
