flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_recall_gain,best_sheath_gain,best_bleed_rate,best_split_threshold,best_family_radius,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_same_family_recall_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8068321579989374,13,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.738840897656351,0.4926037269503396,0.2042360296348454,0.4926037269503396,0.1160582847919473,0.5073962730496604,0.19659426209557088,0.32476212182318337
silver,metallic,0.7898422881354512,21,13,0.08,0.78,13,0.14,0.08,0.08,0.36,2,0.7211723580436418,0.6313796188588476,0.1679596175496286,0.6313796188588476,0.11093781866774904,0.3686203811411524,0.17159397761997036,0.3267332737105469
bounded_cf_2,bounded_cf,0.7854459867030512,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.7208732120985967,0.5622594561998234,0.1798358045969652,0.5622594561998234,0.08586733350730756,0.4377405438001766,0.1538961272245227,0.3278551441779165
random_cf_1,random_cf,0.7940207431567413,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.7292469803305713,0.6159823660513284,0.19463735452932446,0.6159823660513284,0.10435794530360516,0.3840176339486715,0.16959221675533828,0.3334216598514592
fib_13_21,rational,0.72045380007117,21,13,0.04,0.58,21,0.14,0.08,0.12,0.36,2,0.6731650501870762,0.6116744602763221,0.20106316867838991,0.6116744602763221,0.10653568318735347,0.3883255397236778,0.2975355479980966,0.2749895864111277
pi_mod1,constant,0.7970818431222172,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.7268119079010213,0.6020354676525663,0.2017979467298833,0.6020354676525663,0.10624197121061509,0.3979645323474336,0.1544137063642705,0.32926644631954294
