anchor,anchor_family,window_size,phase,length,memory_capacity,perturbation,phase_lag,window_beta,delay_steps,noise_amp,alpha_cutoff_q,effective_offset,direct_best_offset,match_distance,derived_tradeoff,direct_best_tradeoff,tradeoff_gap_to_direct_best,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
golden,phi_anchor,0.2,0.0,5000,50,phase_small,0.015,0.0,0,0.0,0,6.938893903907228e-17,-0.01999999999999995,0.0302,0.5154977066547944,0.6269199260136243,-0.1114222193588299,0.5154977066547944,0.6414267320982718,0.49874835653538646,0.0008760783860241087,0.32455294736547097,9.0,3730.25,1269.75,0.0,0.947609274432588,0.28219963039361395
golden,phi_anchor,0.2,0.0,5000,50,phase_big,0.045,0.0,0,0.0,0,6.938893903907228e-17,-0.01999999999999995,0.0902,0.5155096757262568,0.6269199260136243,-0.11141025028736751,0.5155096757262568,0.64136462709566,0.49905699851069507,0.0008760783860241087,0.32459893840236503,9.0,3730.25,1269.75,0.0,0.9475611680368407,0.28243170093693754
golden,phi_anchor,0.2,0.0,5000,50,window_drift_small,0.0,0.004,0,0.0,0,-0.003999999999999934,-0.01999999999999995,0.0,0.5328755942616941,0.6269199260136243,-0.09404433175193028,0.5328755942616941,0.6012860432762575,0.7411919619237319,0.0009119814623366598,0.419511332507325,8.75,3835.0,1165.0,0.0,0.984827039989494,0.41258603348854916
golden,phi_anchor,0.2,0.0,5000,50,window_drift_big,0.0,0.011,0,0.0,0,-0.011999999999999941,-0.01999999999999995,0.3148,0.5817089996378784,0.6269199260136243,-0.045210926375745975,0.5817089996378784,0.592853784812797,1.0,0.04742852204108709,0.44925982072039233,10.0,4591.0,409.0,0.0,0.9729313114160529,0.2563315983794087
golden,phi_anchor,0.2,0.0,5000,50,delay_3,0.0,0.0,3,0.0,0,6.938893903907228e-17,-0.01999999999999995,0.2922,0.5156843368657448,0.6269199260136243,-0.11123558914787957,0.5156843368657448,0.6418722529729309,0.49757511588879666,0.00027185626824025586,0.32361688490471385,9.0,3733.5,1265.75,0.75,0.9453226038589729,0.28075982734162125
golden,phi_anchor,0.2,0.0,5000,50,delay_8,0.0,0.0,8,0.0,0,6.938893903907228e-17,-0.01999999999999995,0.1126,0.5258827901987481,0.6269199260136243,-0.10103713581487628,0.5258827901987481,0.6533439924721066,0.4980675512855969,0.0016570787819762656,0.3221219543456302,12.5,3734.75,1265.25,0.0,0.9406869034409235,0.27948691039301965
golden,phi_anchor,0.2,0.0,5000,50,noise_small,0.0,0.0,0,0.0015,0,6.938893903907228e-17,-0.01999999999999995,0.0016,0.5149902391380949,0.6269199260136243,-0.1119296868755294,0.5149902391380949,0.6414847490849174,0.4963918083854321,0.000875081014911591,0.32451784302160436,9.0,3734.25,1265.75,0.0,0.9473040241273377,0.28238223954081854
golden,phi_anchor,0.2,0.0,5000,50,noise_big,0.0,0.0,0,0.0045,0,6.938893903907228e-17,-0.01999999999999995,0.0066,0.5132770447877548,0.6269199260136243,-0.11364288122586952,0.5132770447877548,0.6384615889730082,0.501850620753162,0.0008769381688289216,0.333175557429098,9.0,3726.75,1273.25,0.0,0.9410976222571972,0.2815899875761538
golden,phi_anchor,0.2,0.0,5000,50,cutoff_34,0.0,0.0,0,0.0,34,-0.003999999999999934,-0.01999999999999995,0.3182,0.5266754739112803,0.6269199260136243,-0.100244452102344,0.5266754739112803,0.5826385936197999,0.7785065778269755,0.0007303275020775181,0.48022415205273006,10.0,4113.0,886.0,1.0,0.9917043593616105,0.4291922488493095
golden,phi_anchor,0.2,0.0,5000,50,cutoff_55,0.0,0.0,0,0.0,55,0.04800000000000011,-0.01999999999999995,0.3222,0.5480093694731709,0.6269199260136243,-0.07891055654045342,0.5480093694731709,0.5987501317884396,0.7827363209870144,0.0009726762232430821,0.4311240388617026,9.5,4115.0,884.0,1.0,0.983271778299256,0.4506032437647284
