anchor,anchor_family,alpha,offset,window_size,phase,length,memory_capacity,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
golden,phi_anchor,0.5380339887498948,-0.08,0.2,0.0,5000,50,0.4076227568609619,0.46089345236848045,0.17419421594495318,0.0010103576320050177,0.3560733055266269,9.0,3859.75,830.75,309.5,0.9613932509785692,0.3762546434850114
golden,phi_anchor,0.5420339887498948,-0.076,0.2,0.0,5000,50,0.4203007174490868,0.5486286734696881,0.23644698753994714,0.0009058922117632876,0.3762301766960208,8.75,3950.0,681.0,369.0,0.959282079210108,0.39681815632476913
golden,phi_anchor,0.5460339887498948,-0.072,0.2,0.0,5000,50,0.4114859232496916,0.43577025489007915,0.10348583877995643,0.004938132157824166,0.33433756196067504,9.5,4416.5,389.5,194.0,0.956941182837953,0.27575976426811855
golden,phi_anchor,0.5500339887498948,-0.06799999999999999,0.2,0.0,5000,50,0.3070167343875299,0.30983320818782517,0.0035223379549322673,0.0007787668059784319,0.555480004459507,9.0,4492.5,506.5,1.0,0.9920639763671572,0.43064112488598355
golden,phi_anchor,0.5540339887498948,-0.06399999999999999,0.2,0.0,5000,50,0.43042056261209766,0.43747035343315677,0.23001403053836567,0.0005847813549547104,0.3733914218176568,8.5,4252.0,747.0,1.0,0.9723101300059189,0.30573820002681384
golden,phi_anchor,0.5580339887498948,-0.059999999999999984,0.2,0.0,5000,50,0.4697116152586839,0.5031585192351605,0.3279604498818657,0.0005997176309382249,0.3396630887475976,9.5,4150.0,849.0,1.0,0.9601734392333192,0.3271241341750168
golden,phi_anchor,0.5620339887498949,-0.05599999999999998,0.2,0.0,5000,50,0.45792336917505366,0.5135182757674633,0.3313725940351336,0.0005005327210058398,0.3749671512370467,9.75,4001.0,998.25,0.75,0.958022600039359,0.4253821776871045
golden,phi_anchor,0.5660339887498949,-0.05199999999999998,0.2,0.0,5000,50,0.4209359259359937,0.481303922280895,0.20341242598502746,0.0005756578705045178,0.39270852292801306,9.25,3585.25,1414.25,0.5,0.9850673399385099,0.2840292973333031
golden,phi_anchor,0.5700339887498949,-0.04799999999999997,0.2,0.0,5000,50,0.40883090295892466,0.47320888019844654,0.11991114381239451,0.0012418148265827388,0.3608394274097927,8.5,3347.5,1652.25,0.25,0.9558222316476602,0.41071779700599853
golden,phi_anchor,0.5740339887498949,-0.04399999999999997,0.2,0.0,5000,50,0.41163904738213464,0.46954968123219654,0.19140986992372194,0.0011431150978564771,0.40688633940817215,9.75,3598.25,1401.75,0.0,0.9729451952227897,0.3596233449194743
golden,phi_anchor,0.5780339887498949,-0.039999999999999966,0.2,0.0,5000,50,0.46819384555039567,0.49106588935437495,0.30419907384639244,0.0009342211393215014,0.3287484978159152,9.5,3472.25,1527.75,0.0,0.9555331392850951,0.26702245326577223
golden,phi_anchor,0.5820339887498949,-0.03599999999999996,0.2,0.0,5000,50,0.5491331553524955,0.6286577454697247,0.6861119877584182,0.000887611803062257,0.3649040571202605,10.5,3938.5,1061.5,0.0,0.9598925427064284,0.43730506598294694
