anchor,mean_effective_offset,median_effective_offset,nonzero_offset_fraction,offset_match_fraction,mean_match_distance,mean_tradeoff_gap_to_direct_best,mean_derived_tradeoff,mean_direct_best_offset
golden,0.004333333333333404,6.938893903907228e-17,0.3888888888888889,0.19444444444444445,0.21789444444444447,-0.08451517043554808,0.5285940450007689,-0.019999999999999952
silver,0.0021666666666667342,6.938893903907228e-17,0.5694444444444444,0.6527777777777778,0.23167500000000002,-0.03592075605657529,0.5765741883538767,-0.011999999999999943
bronze,0.004000000000000071,6.938893903907228e-17,0.5,0.027777777777777776,0.23075833333333332,-0.15627653190525587,0.4697480924457578,-0.05199999999999997
bounded_probe,0.0016666666666667362,6.938893903907228e-17,0.3611111111111111,0.023148148148148147,0.21155555555555555,-0.13526506322393683,0.4777088336856523,0.04266666666666677
