flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_basin_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.8042917498791908,0.916354556803995,0.4781758957654723,0.003952569169960474,0.1293054771315641,0.4721030042918455,0.1888412017167382,0.4721030042918455,0.11404046597179644,0.0,0.5278969957081545,0.0963855421686747,0.4826688730022113,0.0
golden,phi,flat_weight,0.8070556478923613,0.9144254278728606,0.4776500638569604,0.003952569169960474,0.11180124223602485,0.47005444646098005,0.19237749546279492,0.47005444646098005,0.10344827586206896,0.0,0.52994555353902,0.10354933246499512,0.4776643473125406,-0.0027638980131704516
golden,phi,inverted_weight,0.8042917498791908,0.916354556803995,0.4781758957654723,0.003952569169960474,0.1293054771315641,0.4721030042918455,0.1888412017167382,0.4721030042918455,0.11404046597179644,0.0,0.5278969957081545,0.0963855421686747,0.4826688730022113,0.0
silver,metallic,real,0.781348668320153,0.7188264058679706,0.4182076813655761,0.06844919786096257,0.17967914438502675,0.6798245614035088,0.14035087719298245,0.6798245614035088,0.1162280701754386,0.0,0.3201754385964912,0.04005210029306415,0.5973816588889729,0.0
silver,metallic,flat_weight,0.7882046519435021,0.7132867132867133,0.4163265306122449,0.06951871657754011,0.1443850267379679,0.6609808102345416,0.13219616204690832,0.6609808102345416,0.10660980810234541,0.0,0.3390191897654584,0.04233148811462065,0.5996827957594835,-0.006855983623349049
silver,metallic,inverted_weight,0.781348668320153,0.7188264058679706,0.4182076813655761,0.06844919786096257,0.17967914438502675,0.6798245614035088,0.14035087719298245,0.6798245614035088,0.1162280701754386,0.0,0.3201754385964912,0.04005210029306415,0.5973816588889729,0.0
bounded_cf_2,bounded_cf,real,0.7915339013609248,0.7222222222222222,0.41935483870967744,0.11039657020364416,0.12540192926045016,0.5540796963946869,0.1555977229601518,0.5540796963946869,0.09108159392789374,0.0,0.4459203036053131,0.0963855421686747,0.5450221022283361,0.0
bounded_cf_2,bounded_cf,flat_weight,0.7962087808793107,0.7632850241545893,0.4328767123287671,0.11682743837084673,0.1007502679528403,0.5489833641404805,0.15157116451016636,0.5489833641404805,0.09981515711645102,0.0,0.4510166358595194,0.10289807880169326,0.5439881395732085,-0.004674879518385855
bounded_cf_2,bounded_cf,inverted_weight,0.7915339013609248,0.7222222222222222,0.41935483870967744,0.11039657020364416,0.12540192926045016,0.5540796963946869,0.1555977229601518,0.5540796963946869,0.09108159392789374,0.0,0.4459203036053131,0.0963855421686747,0.5450221022283361,0.0
random_cf_1,random_cf,real,0.7947476766859443,0.7573529411764706,0.4309623430962343,0.06915477497255763,0.1437980241492865,0.5841784989858012,0.17038539553752535,0.5841784989858012,0.12778904665314403,0.0,0.4158215010141988,0.0801042005861283,0.5969976911605128,0.0
random_cf_1,random_cf,flat_weight,0.7997619459734001,0.7639902676399026,0.43310344827586206,0.08232711306256861,0.12184412733260154,0.6189555125725339,0.17408123791102514,0.6189555125725339,0.11992263056092843,0.0,0.38104448742746616,0.08336046890263758,0.5982669712335742,-0.0050142692874558525
random_cf_1,random_cf,inverted_weight,0.7947476766859443,0.7573529411764706,0.4309623430962343,0.06915477497255763,0.1437980241492865,0.5841784989858012,0.17038539553752535,0.5841784989858012,0.12778904665314403,0.0,0.4158215010141988,0.0801042005861283,0.5969976911605128,0.0
fib_13_21,rational,real,0.721420664328666,0.6446280991735537,0.39195979899497485,0.06602768903088392,0.29818956336528224,0.7441077441077442,0.22053872053872053,0.7441077441077442,0.22727272727272727,0.0,0.2558922558922559,0.07228915662650602,0.6056337516173684,0.0
fib_13_21,rational,flat_weight,0.705556030964543,0.6870026525198939,0.40723270440251574,0.06815761448349308,0.25452609158679446,0.7542768273716952,0.26594090202177295,0.7542768273716952,0.2161741835147745,0.0,0.24572317262830481,0.0823835884076848,0.3808346044829093,0.015864633364123026
fib_13_21,rational,inverted_weight,0.721420664328666,0.6446280991735537,0.39195979899497485,0.06602768903088392,0.29818956336528224,0.7441077441077442,0.22053872053872053,0.7441077441077442,0.22727272727272727,0.0,0.2558922558922559,0.07228915662650602,0.6056337516173684,0.0
pi_mod1,constant,real,0.8000799337684628,0.7566909975669099,0.4307479224376731,0.06531049250535331,0.16167023554603854,0.5982456140350877,0.18596491228070175,0.5982456140350877,0.08771929824561403,0.0,0.4017543859649123,0.09899055682188213,0.5357176406150794,0.0
pi_mod1,constant,flat_weight,0.804482473449204,0.7738927738927739,0.43626806833114323,0.06745182012847965,0.11777301927194861,0.5834738617200674,0.1736930860033727,0.5834738617200674,0.08431703204047218,0.0,0.41652613827993257,0.10647997394985347,0.5385121327996778,-0.004402539680741224
pi_mod1,constant,inverted_weight,0.8000799337684628,0.7566909975669099,0.4307479224376731,0.06531049250535331,0.16167023554603854,0.5982456140350877,0.18596491228070175,0.5982456140350877,0.08771929824561403,0.0,0.4017543859649123,0.09899055682188213,0.5357176406150794,0.0
