flow,related_balanced_score,rewrite_drift_rate,related_vs_random_gap,related_vs_rigid_gap,related_vs_random_overplastic_gap
bounded_cf_2,0.7758040307035984,0.0,0.00157240457754948,-0.000586063488095756,0.00020669922627025716
fib_13_21,0.6991598993616894,0.0,-0.001671578970424803,-0.009476497790404936,0.0063730749181935
golden,0.8177331950387593,0.0,0.0012000435152234035,-0.005443955659759303,0.012392230801023696
pi_mod1,0.7933299005594054,0.0,0.002149795775030494,0.003853594356201695,0.004057366408920404
random_cf_1,0.7856322975906825,0.0,0.005604931688864445,0.004010991775382444,0.001116129813493072
silver,0.7816106627606835,0.0,0.0010768607780633488,-0.004589145611072709,-0.0011107062210615748
