flow,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,rewrite_drift_rate,score
golden,related_balanced,0.8324937027707808,0.4542955326460481,0.002258610954263128,0.176171654432524,0.8429799426934097,0.43782234957020055,0.8429799426934097,0.07851002865329514,0.0,0.15702005730659027,3.45703125,0.576171875,0.5201822916666666,0.3336588541666667,0.09801367632692934,0.49392379841495593,0.0,0.8177331950387593
golden,random_balanced,0.8575031525851198,0.461642905634759,0.002258610954263128,0.16600790513833993,0.8472063854047891,0.45553021664766247,0.8472063854047891,0.08209806157354618,0.0,0.15279361459521096,3.45703125,0.576171875,0.5221354166666666,0.3333333333333333,0.09768804949527841,0.4682627144578674,0.0,0.8165331515235359
golden,related_rigid,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.849971477467199,0.46035367940673133,0.849971477467199,0.0775812892184826,0.0,0.1500285225328009,3.45703125,0.576171875,0.5198567708333334,0.3330078125,0.0986649299902312,0.49460140968706,0.0,0.8231771506985186
golden,random_overplastic,0.8058748403575989,0.44625176803394623,0.002258610954263128,0.19932241671372106,0.8472142446869615,0.4284893739230327,0.8472142446869615,0.08788052843193567,0.0,0.15278575531303848,3.45703125,0.576171875,0.5198567708333334,0.3310546875,0.09215239335721263,0.46809719659228677,0.0,0.8053409642377356
silver,related_balanced,0.8344370860927153,0.4548736462093863,0.009625668449197862,0.10160427807486631,0.9699879951980792,0.30732292917166865,0.9699879951980792,0.05402160864345738,0.0,0.030012004801920768,1.81640625,0.302734375,0.18977864583333334,0.15006510416666666,0.04233148811462065,0.5980638588376472,0.0,0.7816106627606835
silver,random_balanced,0.8366445916114791,0.45552884615384615,0.0074866310160427805,0.10267379679144385,0.969047619047619,0.29404761904761906,0.969047619047619,0.055952380952380955,0.0,0.030952380952380953,1.81640625,0.302734375,0.19368489583333334,0.15364583333333334,0.04428524910452621,0.5987626604620333,0.0,0.7805338019826201
silver,related_rigid,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.0,0.7861998083717562
silver,random_overplastic,0.8497757847533632,0.4593939393939394,0.009625668449197862,0.10802139037433155,0.9662650602409638,0.30481927710843376,0.9662650602409638,0.060240963855421686,0.0,0.033734939759036145,1.81640625,0.302734375,0.19010416666666666,0.15104166666666666,0.04265711494627157,0.599503474400715,0.0,0.782721368981745
bounded_cf_2,related_balanced,0.8482142857142857,0.45893719806763283,0.00964630225080386,0.10289389067524116,0.9433734939759036,0.28072289156626506,0.9433734939759036,0.07108433734939759,0.0,0.056626506024096385,1.8203125,0.3033854166666667,0.2770182291666667,0.14453125,0.11592315206773038,0.5504938055663644,0.0,0.7758040307035984
bounded_cf_2,random_balanced,0.8463251670378619,0.4583835946924005,0.00857449088960343,0.10289389067524116,0.9434416365824309,0.28038507821901326,0.9434416365824309,0.07460890493381468,0.0,0.056558363417569195,1.8203125,0.3033854166666667,0.2770182291666667,0.14485677083333334,0.11657440573103224,0.550145147112368,0.0,0.7742316261260489
bounded_cf_2,related_rigid,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.0,0.7763900941916941
bounded_cf_2,random_overplastic,0.8532731376975169,0.46041412911084045,0.00964630225080386,0.11039657020364416,0.9422382671480144,0.27557160048134777,0.9422382671480144,0.07340553549939831,0.0,0.05776173285198556,1.8203125,0.3033854166666667,0.2770182291666667,0.14420572916666666,0.11527189840442853,0.5519339899990074,0.0,0.7755973314773281
