anchor,anchor_family,alpha,global_hotspot_offset,shear_hotspot_stability,perturbed_hotspot_stability,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping,mean_hotspot_score,mean_perturbed_score
golden,phi_anchor,0.6180339887498948,0.0059999999999999845,0.25,0.22916666666666666,0.7634387373984484,0.8450617806371413,0.018450349785405086,0.96319580078125,0.8578070374611484,0.8439027282018481
silver,metallic_anchor,0.41421356237309515,0.02399999999999998,0.25,0.25,0.7522445134955744,0.8568960907503428,0.03490217637585374,0.96307373046875,0.8542762348149224,0.8363829137847351
bronze,metallic_anchor,0.30277563773199456,0.0059999999999999845,0.625,0.625,0.7547018158199107,0.9074788920617645,0.03858185660284712,0.9635009765625,0.8665317899538291,0.842728308305278
bounded_probe,bounded_anchor,0.36603125000000003,-0.051000000000000004,0.75,0.71875,0.7558411300201608,0.8770521878607768,0.04315787544545555,0.96246337890625,0.8582498843718904,0.8458655186739948
random_bad_cf,random_bounded_cf,0.2676970206743289,0.035999999999999976,0.5,0.5,0.7305691064612286,0.8911749202424543,0.033494183933585255,0.96051025390625,0.8563494274743659,0.8501363756123096
