anchor,anchor_family,band_mode,window_width,phase,beta,length,memory_capacity,hotspot_offset,hotspot_alpha,hotspot_score,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping
silver,metallic_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.46221356237309513,0.868919965866315,0.702208154626688,0.9152046783625731,0.004608294930875576,0.97607421875
silver,metallic_anchor,counter_double,0.24,0.0,0.011,2048,64,0.05999999999999997,0.4742135623730951,0.7907084583957087,0.6079608037045534,0.8708333333333333,0.17590361445783131,0.97119140625
silver,metallic_anchor,counter_double,0.24,0.0,0.029,2048,64,0.04799999999999997,0.46221356237309513,0.8358031875650554,0.6454684165408155,0.9015817223198594,0.045307443365695796,0.97802734375
silver,metallic_anchor,counter_double,0.24,0.13,0.011,2048,64,0.05999999999999997,0.4742135623730951,0.7907084583957087,0.6079608037045534,0.8708333333333333,0.17590361445783131,0.97119140625
silver,metallic_anchor,counter_double,0.24,0.13,0.029,2048,64,0.04799999999999997,0.46221356237309513,0.8358031875650554,0.6454684165408155,0.9015817223198594,0.045307443365695796,0.97802734375
silver,metallic_anchor,counter_triple,0.18,0.0,0.011,2048,64,-1.3877787807814457e-17,0.41421356237309515,0.8860060336874406,0.8574671648768244,0.8391812865497076,0.0,0.95849609375
silver,metallic_anchor,counter_triple,0.18,0.0,0.029,2048,64,0.01799999999999998,0.4322135623730951,0.8830750409173882,0.8662855883191847,0.8264462809917356,0.0,0.94775390625
silver,metallic_anchor,counter_triple,0.18,0.13,0.011,2048,64,-1.3877787807814457e-17,0.41421356237309515,0.8860060336874406,0.8574671648768244,0.8391812865497076,0.0,0.95849609375
silver,metallic_anchor,counter_triple,0.18,0.13,0.029,2048,64,0.01799999999999998,0.4322135623730951,0.8830750409173882,0.8662855883191847,0.8264462809917356,0.0,0.94775390625
silver,metallic_anchor,counter_triple,0.24,0.0,0.011,2048,64,0.029999999999999978,0.4442135623730951,0.8854896587665713,0.8359794963992732,0.8948948948948949,0.0,0.951171875
silver,metallic_anchor,counter_triple,0.24,0.0,0.029,2048,64,-1.3877787807814457e-17,0.41421356237309515,0.8671024646637555,0.8332255034633056,0.826865671641791,0.0,0.94921875
silver,metallic_anchor,counter_triple,0.24,0.13,0.011,2048,64,0.029999999999999978,0.4442135623730951,0.8854896587665713,0.8359794963992732,0.8948948948948949,0.0,0.951171875
silver,metallic_anchor,counter_triple,0.24,0.13,0.029,2048,64,-1.3877787807814457e-17,0.41421356237309515,0.8671024646637555,0.8332255034633056,0.826865671641791,0.0,0.94921875
bronze,metallic_anchor,counter_double,0.18,0.0,0.011,2048,64,0.01799999999999998,0.3207756377319945,0.8638046075019481,0.6965661684343809,0.9227722772277228,0.02834008097165992,0.9716796875
bronze,metallic_anchor,counter_double,0.18,0.0,0.029,2048,64,-1.3877787807814457e-17,0.30277563773199456,0.8740579581854993,0.6964264809880598,0.9421221864951769,0.0,0.97216796875
bronze,metallic_anchor,counter_double,0.18,0.13,0.011,2048,64,0.01799999999999998,0.3207756377319945,0.8638046075019481,0.6965661684343809,0.9227722772277228,0.02834008097165992,0.9716796875
bronze,metallic_anchor,counter_double,0.18,0.13,0.029,2048,64,-1.3877787807814457e-17,0.30277563773199456,0.8740579581854993,0.6964264809880598,0.9421221864951769,0.0,0.97216796875
bronze,metallic_anchor,counter_double,0.24,0.0,0.011,2048,64,0.01799999999999998,0.3207756377319945,0.8330816253204161,0.676512631746758,0.9384615384615385,0.14048059149722736,0.9716796875
bronze,metallic_anchor,counter_double,0.24,0.0,0.029,2048,64,-1.3877787807814457e-17,0.30277563773199456,0.8673077617019117,0.6727085066437934,0.9707602339181286,0.006493506493506494,0.9755859375
bronze,metallic_anchor,counter_double,0.24,0.13,0.011,2048,64,0.01799999999999998,0.3207756377319945,0.8330816253204161,0.676512631746758,0.9384615384615385,0.14048059149722736,0.9716796875
bronze,metallic_anchor,counter_double,0.24,0.13,0.029,2048,64,-1.3877787807814457e-17,0.30277563773199456,0.8673077617019117,0.6727085066437934,0.9707602339181286,0.006493506493506494,0.9755859375
bronze,metallic_anchor,counter_triple,0.18,0.0,0.011,2048,64,-0.01200000000000001,0.29077563773199455,0.8783295798498363,0.8359783481740182,0.8379629629629629,0.0,0.95166015625
bronze,metallic_anchor,counter_triple,0.18,0.0,0.029,2048,64,0.011999999999999983,0.3147756377319946,0.8709930385067683,0.7990393234205327,0.8954918032786885,0.05439330543933055,0.94970703125
bronze,metallic_anchor,counter_triple,0.18,0.13,0.011,2048,64,-0.01200000000000001,0.29077563773199455,0.8783295798498363,0.8359783481740182,0.8379629629629629,0.0,0.95166015625
