anchor,anchor_family,band_mode,window_width,phase,beta,length,memory_capacity,hotspot_offset,hotspot_alpha,hotspot_score,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping,perturbation,phase_lag,delay_steps,noise_amp,beta_scale,zip_threshold_delta,zero_share,memory_load,write_count,witness_count,release_count,zipper_energy,approx_period,autocorr_peak,spectral_peak,composite_score
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.5838739746994808,0.8291139240506329,0.012711864406779662,0.97119140625,combo_small,0.012,3,0.0014,1.08,0.015,0.740234375,0.328125,236.0,1681.0,131.0,0.14661317774418547,42.0,0.7254652155552291,0.14412066550228944,0.8133867130566506
golden,phi_anchor,counter_double,0.18,0.0,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.502322036803871,0.8739669421487604,0.011450381679389313,0.974609375,combo_big,0.028,7,0.0036,1.18,0.03,0.7314453125,0.40625,262.0,1760.0,26.0,0.15686484820636915,39.0,0.8855183142469082,0.16481541835560778,0.8015496600849086
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7232510331077027,0.8174273858921162,0.0,0.974609375,phase_small,0.01,0,0.0,1.0,0.0,0.73388671875,0.359375,0.0,2046.0,2.0,0.14871263510486285,223.0,0.6458658864082626,0.11436688563664976,0.8523256743842647
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7307151401943854,0.7743362831858407,0.0,0.97216796875,phase_big,0.028,0,0.0,1.0,0.0,0.7333984375,0.359375,0.0,2044.0,4.0,0.1489591857592264,223.0,0.6208791208791209,0.11700555866672345,0.8435464159690298
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7319307848923831,0.8185840707964602,0.0,0.97509765625,delay_3,0.0,3,0.0,1.0,0.0,0.73388671875,0.375,1.0,2044.0,3.0,0.14922788497244022,223.0,0.6183352346875322,0.11563713819843655,0.8551312655110178
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.728622575548324,0.7955555555555556,0.0,0.97216796875,delay_7,0.0,7,0.0,1.0,0.0,0.732421875,0.359375,0.0,2044.0,4.0,0.14823325949375926,223.0,0.6277372262773723,0.11611554587979359,0.8479749982368642
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7296752680428988,0.8122270742358079,0.0,0.9736328125,noise_small,0.0,0,0.0014,1.0,0.0,0.73388671875,0.359375,0.0,2046.0,2.0,0.1489439049770543,223.0,0.6238528582593296,0.11679760765313137,0.8526810728686056
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7269253490802687,0.8097345132743363,0.0,0.97412109375,noise_big,0.0,0,0.0036,1.0,0.0,0.7314453125,0.359375,0.0,2046.0,2.0,0.14910729115491356,223.0,0.6290895295149308,0.11963377824149855,0.8512152246783159
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.6794384902806905,0.637223974763407,0.0,0.9716796875,beta_loosen,0.0,0,0.0,0.82,0.0,0.73291015625,0.328125,0.0,1876.0,172.0,0.14863779561287319,232.0,0.7659979018100231,0.12429535437205876,0.796145281221811
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.5200945342600247,0.7478260869565218,0.0,0.97607421875,beta_tighten,0.0,0,0.0,1.18,0.0,0.73681640625,0.328125,0.0,2044.0,4.0,0.1487773833237165,30.0,0.755105429304296,0.14853564581453987,0.7792648867123722
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7262128522490794,0.8223140495867769,0.0,0.9736328125,zip_soft,0.0,0,0.0,1.0,-0.03,0.720703125,0.328125,0.0,1965.0,83.0,0.1487188657146356,223.0,0.6346153846153846,0.11624541363461299,0.8530777830305686
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7316196974866314,0.79,0.0,0.9716796875,zip_hard,0.0,0,0.0,1.0,0.03,0.744140625,0.359375,0.0,2046.0,2.0,0.1487188657146356,223.0,0.6183206106870229,0.11658502441620093,0.8483207027962569
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.6986015822228098,0.7732558139534884,0.0,0.97216796875,combo_small,0.012,3,0.0014,1.08,0.015,0.73583984375,0.375,1.0,2043.0,4.0,0.1504626390705458,208.0,0.6820620648353295,0.1470234476935656,0.834490619621224
golden,phi_anchor,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.5195583592699824,0.7014925373134329,0.0,0.9716796875,combo_big,0.028,7,0.0036,1.18,0.03,0.740234375,0.328125,0.0,2044.0,4.0,0.14916311624586753,30.0,0.7575550932011103,0.1491811273041058,0.767389237050819
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.700369754136764,0.8292220113851992,0.01568627450980392,0.978515625,phase_small,0.01,0,0.0,1.0,0.0,0.73095703125,0.421875,255.0,1787.0,6.0,0.1495188991676552,182.0,0.6552130661015543,0.15723196285595012,0.8461592464887809
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6946679767652322,0.8490566037735849,0.01556420233463035,0.96728515625,phase_big,0.028,0,0.0,1.0,0.0,0.7314453125,0.453125,257.0,1747.0,44.0,0.14908822785833598,185.0,0.6708878721848577,0.1596140076774296,0.8471404341829993
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6913933905990142,0.8533834586466166,0.03076923076923077,0.97265625,delay_3,0.0,3,0.0,1.0,0.0,0.7294921875,0.46875,260.0,1784.0,4.0,0.14995788205018634,185.0,0.6786539479413465,0.16177614269796023,0.8451389582890658
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.7067812141723406,0.8495412844036697,0.01953125,0.97412109375,delay_7,0.0,7,0.0,1.0,0.0,0.72607421875,0.46875,256.0,1768.0,24.0,0.15062221993060443,182.0,0.6470685196042715,0.14603612592506568,0.8507925544751361
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6984349504172762,0.8538461538461538,0.01984126984126984,0.96533203125,noise_small,0.0,0,0.0014,1.0,0.0,0.73046875,0.4375,252.0,1693.0,103.0,0.1494832395902149,224.0,0.675753941564717,0.1588049289879654,0.8480205153216603
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6977527576923483,0.85,0.015873015873015872,0.96875,noise_big,0.0,0,0.0036,1.0,0.0,0.73095703125,0.40625,252.0,1669.0,127.0,0.1495137491313909,224.0,0.675162397718154,0.16135494010705687,0.8484227314792543
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6895980103870238,0.8109243697478992,0.11643835616438356,0.9697265625,beta_loosen,0.0,0,0.0,0.82,0.0,0.7353515625,0.515625,292.0,1752.0,4.0,0.14776143556448426,169.0,0.6771174845849189,0.16095698726612404,0.8171950579149858
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.4934502173098225,0.8497757847533632,0.016877637130801686,0.97509765625,beta_tighten,0.0,0,0.0,1.18,0.0,0.7421875,0.375,237.0,1764.0,47.0,0.14476202039542424,39.0,0.9281715503270779,0.14487213859424145,0.7931312530113971
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.6916420307384135,0.8842105263157894,0.011450381679389313,0.966796875,zip_soft,0.0,0,0.0,1.0,-0.03,0.71923828125,0.421875,262.0,1758.0,28.0,0.14954122163149164,182.0,0.6748069896826655,0.1636622044877339,0.8544786560866674
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.7009885502844586,0.8140043763676149,0.029914529914529916,0.9677734375,zip_hard,0.0,0,0.0,1.0,0.03,0.7451171875,0.453125,234.0,1689.0,125.0,0.14954122163149164,224.0,0.6781462871134893,0.1482671738752403,0.83881900092497
