anchor,anchor_family,alpha,offset,band_mode,window_width,phase,beta,length,memory_capacity,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping,zero_share,memory_load,write_count,witness_count,release_count,zipper_energy,approx_period,autocorr_peak,spectral_peak,composite_score
golden,phi_anchor,0.5580339887498948,-0.06,counter_double,0.18,0.0,0.011,2048,64,0.649959452379608,0.723404255319149,0.0,0.97216796875,0.73193359375,0.375,15.0,2029.0,4.0,0.1487855238809232,181.0,0.848817594880152,0.1055851501125499,0.8085939491928861
golden,phi_anchor,0.5640339887498947,-0.054,counter_double,0.18,0.0,0.011,2048,64,0.5649401506016025,0.696969696969697,0.0,0.97412109375,0.73291015625,0.28125,0.0,2044.0,4.0,0.14970328807377364,47.0,0.8409513700459103,0.10804456782678364,0.778913000691176
golden,phi_anchor,0.5700339887498947,-0.048,counter_double,0.18,0.0,0.011,2048,64,0.6330722348837383,0.3333333333333333,0.0,0.974609375,0.732421875,0.265625,0.0,2044.0,4.0,0.14901224389224155,93.0,0.7737226277372263,0.15093658544012087,0.7107758507674468
golden,phi_anchor,0.5760339887498948,-0.042,counter_double,0.18,0.0,0.011,2048,64,0.5137580858634585,0.21621621621621623,0.0,0.97265625,0.734375,0.234375,0.0,2044.0,4.0,0.1491970998483286,46.0,0.9338184373563796,0.1429848796525583,0.6490254059336603
golden,phi_anchor,0.5820339887498948,-0.036000000000000004,counter_double,0.18,0.0,0.011,2048,64,0.6772781655660103,0.5714285714285714,0.0,0.9716796875,0.732421875,0.28125,0.0,2044.0,4.0,0.14788829484270932,91.0,0.6751824817518248,0.1213590400130306,0.7797104310013401
golden,phi_anchor,0.5880339887498948,-0.030000000000000006,counter_double,0.18,0.0,0.011,2048,64,0.6790462089382361,0.47058823529411764,0.0,0.97265625,0.7294921875,0.203125,0.0,2044.0,4.0,0.15156652897642225,227.0,0.7473087550988211,0.14130866537616713,0.7559647399732944
golden,phi_anchor,0.5940339887498948,-0.024000000000000007,counter_double,0.18,0.0,0.011,2048,64,0.590907237224741,0.2857142857142857,0.0,0.97119140625,0.73486328125,0.203125,0.0,2044.0,4.0,0.14904175625344201,48.0,0.7421737586472169,0.1519170296785598,0.6870527987443561
golden,phi_anchor,0.6000339887498948,-0.01800000000000001,counter_double,0.18,0.0,0.011,2048,64,0.6086425492495324,0.047619047619047616,0.0,0.9697265625,0.736328125,0.21875,0.0,2044.0,4.0,0.14635944833031295,90.0,0.874069842753654,0.10858269335883135,0.6347000477184406
golden,phi_anchor,0.6060339887498948,-0.01200000000000001,counter_double,0.18,0.0,0.011,2048,64,0.5691800317286659,0.12307692307692308,0.0,0.970703125,0.728515625,0.203125,0.0,2044.0,4.0,0.14872157302163003,47.0,0.8345317122249237,0.10231876326118906,0.641330745422488
golden,phi_anchor,0.6120339887498948,-0.006000000000000012,counter_double,0.18,0.0,0.011,2048,64,0.6461343596353761,0.5544554455445545,0.0,0.97314453125,0.73291015625,0.28125,0.0,2044.0,4.0,0.14886555543023,183.0,0.8153526747432783,0.15299939951720892,0.7672486463785984
golden,phi_anchor,0.6180339887498948,-1.3877787807814457e-17,counter_double,0.18,0.0,0.011,2048,64,0.6287184842405158,0.367816091954023,0.0,0.96728515625,0.734375,0.265625,0.0,2044.0,4.0,0.14929689975684204,89.0,0.797791440481421,0.13042755833444775,0.71652406890631
golden,phi_anchor,0.6240339887498948,0.0059999999999999845,counter_double,0.18,0.0,0.011,2048,64,0.6250866366554351,0.37606837606837606,0.0,0.9716796875,0.732421875,0.265625,0.0,2044.0,4.0,0.14900276810222135,137.0,0.8740920990323835,0.12366131761213522,0.7182103560199321
golden,phi_anchor,0.6300339887498948,0.011999999999999983,counter_double,0.18,0.0,0.011,2048,64,0.708290946950283,0.40522875816993464,0.0,0.97021484375,0.72998046875,0.359375,0.0,1998.0,50.0,0.1496058419825172,181.0,0.6527221404485117,0.13606092663341748,0.7480177733568636
golden,phi_anchor,0.6360339887498948,0.01799999999999998,counter_double,0.18,0.0,0.011,2048,64,0.6026360428445465,0.657258064516129,0.15476190476190477,0.96533203125,0.71728515625,0.484375,84.0,1960.0,4.0,0.1482453551194471,136.0,0.9051498812434057,0.15687338328227052,0.745976865277963
golden,phi_anchor,0.6420339887498948,0.02399999999999998,counter_double,0.18,0.0,0.011,2048,64,0.6134072190518454,0.6666666666666666,0.04891304347826087,0.97265625,0.7314453125,0.4375,184.0,1860.0,4.0,0.14944359483897024,46.0,0.7054545454545454,0.1116881721455975,0.7750182876388646
golden,phi_anchor,0.6480339887498948,0.029999999999999978,counter_double,0.18,0.0,0.011,2048,64,0.6407282565485799,0.8363171355498721,0.07555555555555556,0.9736328125,0.72900390625,0.453125,225.0,1819.0,4.0,0.15112438840468842,135.0,0.8414268189417894,0.11134920597598368,0.8180557882544606
golden,phi_anchor,0.6540339887498947,0.035999999999999976,counter_double,0.18,0.0,0.011,2048,64,0.6956550272788141,0.8490196078431372,0.027559055118110236,0.966796875,0.7294921875,0.453125,254.0,1747.0,47.0,0.14954122163148953,182.0,0.6679026983027303,0.1586335095679048,0.8447550524967988
golden,phi_anchor,0.6600339887498947,0.041999999999999975,counter_double,0.18,0.0,0.011,2048,64,0.6898801797874499,0.8383128295254832,0.10275689223057644,0.9716796875,0.734375,0.578125,399.0,1645.0,4.0,0.14900653015948478,228.0,0.7242647058823529,0.13148515382990725,0.8268960884804867
golden,phi_anchor,0.6660339887498947,0.04799999999999997,counter_double,0.18,0.0,0.011,2048,64,0.6908291178511039,0.8333333333333334,0.10922330097087378,0.97314453125,0.73388671875,0.53125,412.0,1634.0,2.0,0.14880344249053812,229.0,0.7302749863909678,0.125765019250633,0.8249273365541344
golden,phi_anchor,0.6720339887498947,0.05399999999999997,counter_double,0.18,0.0,0.011,2048,64,0.6607652619462732,0.8353982300884956,0.10199004975124377,0.9755859375,0.73583984375,0.5625,402.0,1643.0,3.0,0.14923448080405333,183.0,0.7800375919540304,0.1466368678890384,0.8190962136159465
golden,phi_anchor,0.6780339887498947,0.05999999999999997,counter_double,0.18,0.0,0.011,2048,64,0.5202984214109783,0.9299820466786356,0.014285714285714285,0.9697265625,0.7197265625,0.421875,280.0,1739.0,29.0,0.1558671506782353,45.0,0.8868596576667394,0.1718157221342748,0.8175455438408037
golden,phi_anchor,0.5580339887498948,-0.06,counter_double,0.18,0.0,0.029,2048,64,0.5669672593163608,0.5359712230215827,0.06224066390041494,0.970703125,0.705078125,0.421875,241.0,1803.0,4.0,0.16768057083271246,155.0,0.9006622516556292,0.2845767607434301,0.7254826683536779
golden,phi_anchor,0.5640339887498947,-0.054,counter_double,0.18,0.0,0.029,2048,64,0.5890936636057678,0.5689655172413793,0.11864406779661017,0.97509765625,0.73681640625,0.46875,118.0,1926.0,4.0,0.14807584862615109,86.0,0.8998121914681425,0.1301118529183094,0.731733980138224
golden,phi_anchor,0.5700339887498947,-0.048,counter_double,0.18,0.0,0.029,2048,64,0.7215279971401873,0.8252788104089219,0.3114754098360656,0.97119140625,0.732421875,0.296875,61.0,1983.0,4.0,0.14947213428059597,207.0,0.5985306147463931,0.15101523819929205,0.7906317029801806
golden,phi_anchor,0.5760339887498948,-0.042,counter_double,0.18,0.0,0.029,2048,64,0.673492553853615,0.6649746192893401,0.0,0.97314453125,0.73486328125,0.34375,17.0,2013.0,18.0,0.14824683751220086,86.0,0.6500936969220852,0.15031620285694633,0.8015897924584539
golden,phi_anchor,0.5820339887498948,-0.036000000000000004,counter_double,0.18,0.0,0.029,2048,64,0.4018186680260327,0.4233576642335766,0.0,0.97021484375,0.736328125,0.234375,0.0,2045.0,3.0,0.14888914836542683,18.0,0.7814745758899506,0.11011375500732076,0.6670642852133476
golden,phi_anchor,0.5880339887498948,-0.030000000000000006,counter_double,0.18,0.0,0.029,2048,64,0.49227843209842226,0.3064516129032258,0.0,0.974609375,0.732421875,0.265625,0.0,2044.0,4.0,0.1485439986650265,34.0,0.8777372262773723,0.14703387967048248,0.6649019730843324
golden,phi_anchor,0.5940339887498948,-0.024000000000000007,counter_double,0.18,0.0,0.029,2048,64,0.5741048410145688,0.4444444444444444,0.0,0.97119140625,0.73291015625,0.265625,0.0,2044.0,4.0,0.1473610051895412,69.0,0.8775178123907886,0.1519527119104532,0.7202871159007459
golden,phi_anchor,0.6000339887498948,-0.01800000000000001,counter_double,0.18,0.0,0.029,2048,64,0.5106227404481911,0.6111111111111112,0.0,0.96337890625,0.736328125,0.265625,0.0,2044.0,4.0,0.14622041117473855,35.0,0.8629629629629629,0.12154096813019008,0.7412230652421602
golden,phi_anchor,0.6060339887498948,-0.01200000000000001,counter_double,0.18,0.0,0.029,2048,64,0.5587622521213411,0.631578947368421,0.0,0.97216796875,0.73388671875,0.265625,0.0,2044.0,4.0,0.14802096718465185,52.0,0.8678888712176088,0.128747141032519,0.7611769092123966
golden,phi_anchor,0.6120339887498948,-0.006000000000000012,counter_double,0.18,0.0,0.029,2048,64,0.6753601196502134,0.423728813559322,0.0,0.96728515625,0.73583984375,0.25,0.0,2011.0,37.0,0.14901212147919773,156.0,0.7190172199320046,0.15080012806157383,0.743119967506297
golden,phi_anchor,0.6180339887498948,-1.3877787807814457e-17,counter_double,0.18,0.0,0.029,2048,64,0.3058616748374172,0.5191489361702127,0.0,0.9736328125,0.73095703125,0.375,59.0,1985.0,4.0,0.15134317409055154,17.0,0.9346583424473709,0.14775663304037717,0.6634401386353279
golden,phi_anchor,0.6240339887498948,0.0059999999999999845,counter_double,0.18,0.0,0.029,2048,64,0.625323524052172,0.6728971962616822,0.06179775280898876,0.966796875,0.73388671875,0.328125,178.0,1866.0,4.0,0.14937559819838894,121.0,0.8697160495363184,0.1114972851207369,0.7762966757756141
golden,phi_anchor,0.6300339887498948,0.011999999999999983,counter_double,0.18,0.0,0.029,2048,64,0.6581509790991691,0.817174515235457,0.03669724770642202,0.97314453125,0.72998046875,0.359375,218.0,1826.0,4.0,0.1492939990175826,173.0,0.7811937288879317,0.14713252456600626,0.8260920520129926
golden,phi_anchor,0.6360339887498948,0.01799999999999998,counter_double,0.18,0.0,0.029,2048,64,0.7081471144958262,0.7914110429447853,0.00425531914893617,0.97314453125,0.7333984375,0.40625,235.0,1809.0,4.0,0.14906505050078303,206.0,0.6464816851108754,0.15094851246612812,0.8406695597857926
golden,phi_anchor,0.6420339887498948,0.02399999999999998,counter_double,0.18,0.0,0.029,2048,64,0.64926745343643,0.6125461254612546,0.008771929824561403,0.97216796875,0.7314453125,0.40625,228.0,1816.0,4.0,0.14927339613418575,155.0,0.8181818181818182,0.12481895018329456,0.7800007898579893
golden,phi_anchor,0.6480339887498948,0.029999999999999978,counter_double,0.18,0.0,0.029,2048,64,0.6842642573414248,0.625531914893617,0.025380710659898477,0.97119140625,0.7314453125,0.40625,197.0,1847.0,4.0,0.14840177716352343,189.0,0.730903957653429,0.12987687620359473,0.7893994157480874
golden,phi_anchor,0.6540339887498947,0.035999999999999976,counter_double,0.18,0.0,0.029,2048,64,0.666670550296353,0.6691729323308271,0.08284023668639054,0.974609375,0.72607421875,0.5,169.0,1875.0,4.0,0.14656925512544344,224.0,0.7700810383449551,0.15100399779606072,0.7837090230050994
golden,phi_anchor,0.6600339887498947,0.041999999999999975,counter_double,0.18,0.0,0.029,2048,64,0.6293997870492376,0.5956521739130435,0.0,0.97265625,0.73291015625,0.390625,29.0,2017.0,2.0,0.14870805658185987,103.0,0.8117008624884792,0.13720262908549913,0.772352524612917
golden,phi_anchor,0.6660339887498947,0.04799999999999997,counter_double,0.18,0.0,0.029,2048,64,0.7286178920530864,0.8078602620087336,0.0,0.9716796875,0.73388671875,0.359375,0.0,2046.0,2.0,0.1487188657146356,223.0,0.6256886182182602,0.11822243318559914,0.8509463476569602
golden,phi_anchor,0.6720339887498947,0.05399999999999997,counter_double,0.18,0.0,0.029,2048,64,0.6911611821102022,0.675,0.0,0.96923828125,0.73095703125,0.34375,0.0,1967.0,81.0,0.1493487781804373,154.0,0.680563157714073,0.14351085982756243,0.8078493497408566
golden,phi_anchor,0.6780339887498947,0.05999999999999997,counter_double,0.18,0.0,0.029,2048,64,0.3707084977350106,0.6607142857142857,0.05813953488372093,0.9716796875,0.73095703125,0.40625,86.0,1958.0,4.0,0.14912383842729984,17.0,0.7803942249320235,0.1576149590720854,0.7035544009604874
golden,phi_anchor,0.5580339887498948,-0.06,counter_double,0.18,0.13,0.011,2048,64,0.649959452379608,0.723404255319149,0.0,0.97216796875,0.73193359375,0.375,15.0,2029.0,4.0,0.14878552388092228,181.0,0.848817594880152,0.1055851501125499,0.8085939491928861
golden,phi_anchor,0.5640339887498947,-0.054,counter_double,0.18,0.13,0.011,2048,64,0.5649401506016025,0.696969696969697,0.0,0.97412109375,0.73291015625,0.28125,0.0,2044.0,4.0,0.1497032880737802,47.0,0.8409513700459103,0.10804456782678364,0.778913000691176
golden,phi_anchor,0.5700339887498947,-0.048,counter_double,0.18,0.13,0.011,2048,64,0.6330722348837383,0.3333333333333333,0.0,0.974609375,0.732421875,0.265625,0.0,2044.0,4.0,0.14901224389224527,93.0,0.7737226277372263,0.15093658544012087,0.7107758507674468
golden,phi_anchor,0.5760339887498948,-0.042,counter_double,0.18,0.13,0.011,2048,64,0.5137580858634585,0.21621621621621623,0.0,0.97265625,0.734375,0.234375,0.0,2044.0,4.0,0.14919709984833016,46.0,0.9338184373563796,0.1429848796525583,0.6490254059336603
golden,phi_anchor,0.5820339887498948,-0.036000000000000004,counter_double,0.18,0.13,0.011,2048,64,0.6772781655660103,0.5714285714285714,0.0,0.9716796875,0.732421875,0.28125,0.0,2044.0,4.0,0.1478882948427193,91.0,0.6751824817518248,0.1213590400130306,0.7797104310013401
golden,phi_anchor,0.5880339887498948,-0.030000000000000006,counter_double,0.18,0.13,0.011,2048,64,0.6790462089382361,0.47058823529411764,0.0,0.97265625,0.7294921875,0.203125,0.0,2044.0,4.0,0.15156652897642847,227.0,0.7473087550988211,0.14130866537616713,0.7559647399732944
golden,phi_anchor,0.5940339887498948,-0.024000000000000007,counter_double,0.18,0.13,0.011,2048,64,0.590907237224741,0.2857142857142857,0.0,0.97119140625,0.73486328125,0.203125,0.0,2044.0,4.0,0.14904175625344,48.0,0.7421737586472169,0.1519170296785598,0.6870527987443561
golden,phi_anchor,0.6000339887498948,-0.01800000000000001,counter_double,0.18,0.13,0.011,2048,64,0.6086425492495324,0.047619047619047616,0.0,0.9697265625,0.736328125,0.21875,0.0,2044.0,4.0,0.14635944833032039,90.0,0.874069842753654,0.10858269335883135,0.6347000477184406
golden,phi_anchor,0.6060339887498948,-0.01200000000000001,counter_double,0.18,0.13,0.011,2048,64,0.5691800317286659,0.12307692307692308,0.0,0.970703125,0.728515625,0.203125,0.0,2044.0,4.0,0.14872157302163508,47.0,0.8345317122249237,0.10231876326118906,0.641330745422488
golden,phi_anchor,0.6120339887498948,-0.006000000000000012,counter_double,0.18,0.13,0.011,2048,64,0.6461343596353761,0.5544554455445545,0.0,0.97314453125,0.73291015625,0.28125,0.0,2044.0,4.0,0.14886555543022534,183.0,0.8153526747432783,0.15299939951720892,0.7672486463785984
golden,phi_anchor,0.6180339887498948,-1.3877787807814457e-17,counter_double,0.18,0.13,0.011,2048,64,0.6287184842405158,0.367816091954023,0.0,0.96728515625,0.734375,0.265625,0.0,2044.0,4.0,0.1492968997568494,89.0,0.797791440481421,0.13042755833444775,0.71652406890631
golden,phi_anchor,0.6240339887498948,0.0059999999999999845,counter_double,0.18,0.13,0.011,2048,64,0.6250866366554351,0.37606837606837606,0.0,0.9716796875,0.732421875,0.265625,0.0,2044.0,4.0,0.14900276810222718,137.0,0.8740920990323835,0.12366131761213522,0.7182103560199321
golden,phi_anchor,0.6300339887498948,0.011999999999999983,counter_double,0.18,0.13,0.011,2048,64,0.708290946950283,0.40522875816993464,0.0,0.97021484375,0.72998046875,0.359375,0.0,1998.0,50.0,0.1496058419825064,181.0,0.6527221404485117,0.13606092663341748,0.7480177733568636
golden,phi_anchor,0.6360339887498948,0.01799999999999998,counter_double,0.18,0.13,0.011,2048,64,0.6026360428445465,0.657258064516129,0.15476190476190477,0.96533203125,0.71728515625,0.484375,84.0,1960.0,4.0,0.14824535511945952,136.0,0.9051498812434057,0.15687338328227052,0.745976865277963
golden,phi_anchor,0.6420339887498948,0.02399999999999998,counter_double,0.18,0.13,0.011,2048,64,0.6134072190518454,0.6666666666666666,0.04891304347826087,0.97265625,0.7314453125,0.4375,184.0,1860.0,4.0,0.14944359483896708,46.0,0.7054545454545454,0.1116881721455975,0.7750182876388646
golden,phi_anchor,0.6480339887498948,0.029999999999999978,counter_double,0.18,0.13,0.011,2048,64,0.6407282565485799,0.8363171355498721,0.07555555555555556,0.9736328125,0.72900390625,0.453125,225.0,1819.0,4.0,0.1511243884046948,135.0,0.8414268189417894,0.11134920597598368,0.8180557882544606
golden,phi_anchor,0.6540339887498947,0.035999999999999976,counter_double,0.18,0.13,0.011,2048,64,0.6956550272788141,0.8490196078431372,0.027559055118110236,0.966796875,0.7294921875,0.453125,254.0,1747.0,47.0,0.14954122163149164,182.0,0.6679026983027303,0.1586335095679048,0.8447550524967988
