flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.8111038677600891,0.9217391304347826,0.4796380090497738,0.002258610954263128,0.12422360248447205,0.806378132118451,0.4527334851936219,0.806378132118451,0.07630979498861047,0.0,0.19362186788154898,3.45703125,0.576171875,0.11364376424617388,0.4908538598772838,0.0
golden,phi,no_binding,0.7135177244683004,0.7921653971708379,0.44201578627808136,0.004517221908526256,0.06549971767363072,0.3731513083048919,0.14846416382252559,0.3731513083048919,0.06598407281001138,0.0,0.626848691695108,3.45703125,0.0,0.0986649299902312,0.47191402532609306,0.09758614329178872
golden,phi,shuffled_phase,0.8130245332535843,0.9330024813895782,0.48267008985879334,0.0016939582156973462,0.11857707509881422,0.7732954545454546,0.43068181818181817,0.7732954545454546,0.075,0.0,0.22670454545454546,3.45703125,0.3834635416666667,0.11364376424617388,0.4893578625344933,-0.0019206654934951217
golden,phi,flat_binding,0.761415355766429,0.7064220183486238,0.41397849462365593,0.000564652738565782,0.264257481648786,0.8578034682080925,0.43121387283236995,0.8578034682080925,0.07167630057803469,0.0,0.14219653179190753,3.45703125,0.576171875,0.085965483555845,0.4581157519485458,0.04968851199366009
silver,metallic,real,0.7945812200708113,0.8375,0.4557823129251701,0.01818181818181818,0.038502673796791446,0.9301801801801802,0.27815315315315314,0.9301801801801802,0.0011261261261261261,0.0,0.06981981981981981,3.02734375,0.302734375,0.051123412569195704,0.588263278836167,0.0
silver,metallic,no_binding,0.6819850747399441,0.6152173913043478,0.38088829071332436,0.2053475935828877,0.0,0.3187878787878788,0.07393939393939394,0.3187878787878788,0.0,0.0,0.6812121212121212,3.02734375,0.0,0.04949527841094106,0.5699310371406705,0.11259614533086726
silver,metallic,shuffled_phase,0.792705562465905,0.8343815513626834,0.45485714285714285,0.025668449197860963,0.038502673796791446,0.8791946308724832,0.2740492170022371,0.8791946308724832,0.0011185682326621924,0.0,0.12080536912751678,3.02734375,0.19856770833333334,0.05144903940084663,0.5857067062214971,0.0018756576049063778
silver,metallic,flat_binding,0.7262935070861667,0.668918918918919,0.4008097165991903,0.0053475935828877,0.2021390374331551,0.98531211750306,0.20195838433292534,0.98531211750306,0.0036719706242350062,0.0,0.014687882496940025,3.02734375,0.302734375,0.04005210029306415,0.45500846583913523,0.06828771298464464
bounded_cf_2,bounded_cf,real,0.7656595515826911,0.8260869565217391,0.4523809523809524,0.023579849946409433,0.07609860664523044,0.9115890083632019,0.25806451612903225,0.9115890083632019,0.06571087216248507,0.0,0.0884109916367981,1.8203125,0.3033854166666667,0.11787691305763595,0.5499700824119049,0.0
bounded_cf_2,bounded_cf,no_binding,0.6318285047902714,0.6262376237623762,0.3850837138508371,0.2883172561629153,0.007502679528403001,0.24132492113564669,0.07097791798107256,0.24132492113564669,0.011041009463722398,0.0,0.7586750788643533,1.8203125,0.0,0.0823835884076848,0.5243405613218957,0.13383104679241964
bounded_cf_2,bounded_cf,shuffled_phase,0.766556042135702,0.8399122807017544,0.4564958283671037,0.02679528403001072,0.07395498392282958,0.9137724550898204,0.2634730538922156,0.9137724550898204,0.06347305389221557,0.0,0.08622754491017964,1.8203125,0.2789713541666667,0.11983067404754151,0.548026832190208,-0.0008964905530109979
bounded_cf_2,bounded_cf,flat_binding,0.7446471884205433,0.7659090909090909,0.4337194337194337,0.0010718113612004287,0.16613076098606644,0.9773299748110831,0.24685138539042822,0.9773299748110831,0.05793450881612091,0.0,0.022670025188916875,1.8203125,0.3033854166666667,0.10387495929664604,0.5499575924008555,0.021012363162147718
random_cf_1,random_cf,real,0.7885745467321906,0.8456521739130435,0.4581861012956419,0.024149286498353458,0.043907793633369926,0.8701007838745801,0.24972004479283313,0.8701007838745801,0.012318029115341545,0.0,0.12989921612541994,2.9557291666666665,0.17350260416666666,0.09768804949527841,0.5975448281915383,0.0
random_cf_1,random_cf,no_binding,0.6775098028390345,0.634032634032634,0.3880171184022825,0.2261251372118551,0.0043907793633369925,0.3023529411764706,0.08352941176470588,0.3023529411764706,0.004705882352941176,0.0,0.6976470588235294,2.9557291666666665,0.0,0.07977857375447737,0.5825194483444047,0.11106474389315613
random_cf_1,random_cf,shuffled_phase,0.7835549658981726,0.8123667377398721,0.44823529411764707,0.018660812294182216,0.048298572996706916,0.9199549041713642,0.26832018038331457,0.9199549041713642,0.010146561443066516,0.0,0.08004509582863585,2.9557291666666665,0.24576822916666666,0.09443178117876913,0.5969738512664966,0.005019580834017989
random_cf_1,random_cf,flat_binding,0.7437855031032947,0.6810551558752997,0.4051355206847361,0.003293084522502744,0.22722283205268934,0.9962917181705809,0.22620519159456118,0.9962917181705809,0.021013597033374538,0.0,0.003708281829419036,2.9557291666666665,0.2955729166666667,0.059915337023770755,0.6074233410454335,0.04478904362889591
fib_13_21,rational,real,0.7205546769085038,0.7370786516853932,0.4243208279430789,0.007454739084132056,0.16932907348242812,1.0,0.33705357142857145,1.0,0.06584821428571429,0.0,0.0,3.0533854166666665,0.3053385416666667,0.09899055682188213,0.38501837197299693,0.0
fib_13_21,rational,no_binding,0.6810434042279452,0.8187772925764192,0.45018007202881155,0.06922257720979766,0.043663471778487756,0.31986899563318777,0.13100436681222707,0.31986899563318777,0.04039301310043668,0.0,0.6801310043668122,3.0533854166666665,0.0,0.11917942038423966,0.3637186955672961,0.03951127268055865
