flow,real_score,same_field_recall_rate,split_rate,no_binding_gap,shuffled_phase_gap,flat_binding_gap
bounded_cf_2,0.7656595515826911,0.9115890083632019,0.06571087216248507,0.13383104679241964,-0.0008964905530109979,0.021012363162147718
fib_13_21,0.7205546769085038,1.0,0.06584821428571429,0.03951127268055865,-0.0025882663619294366,0.0637121163665767
golden,0.8111038677600891,0.806378132118451,0.07630979498861047,0.09758614329178872,-0.0019206654934951217,0.04968851199366009
pi_mod1,0.7822655103236286,0.9063876651982379,0.003303964757709251,0.1256204460213236,-0.00073996700307144,0.03428156862185883
random_cf_1,0.7885745467321906,0.8701007838745801,0.012318029115341545,0.11106474389315613,0.005019580834017989,0.04478904362889591
silver,0.7945812200708113,0.9301801801801802,0.0011261261261261261,0.11259614533086726,0.0018756576049063778,0.06828771298464464
