family,count,mean_best_composite,mean_surrogate_gap,mean_cf_boundedness,mean_diophantine_margin
bounded_cf,8,0.48402292822840415,0.05158244881590923,0.25,0.25035134304040496
constant,2,0.5075162451314147,0.031267340304378055,0.07313505607020965,0.1288847842966728
metallic,2,0.4995614480610533,0.0725003292512004,0.29166666666666663,0.30908250545983407
noble,4,0.519799657913598,-0.012312048302448947,0.22499999999999998,0.22411952159144105
phi,1,0.5021812614559269,0.03288682342627852,0.5,0.3819660112501052
random_irrational,8,0.5384771267370267,0.06405278672152136,0.10277777777777777,0.11157690170871408
rational,2,0.47062844017264305,0.024725651770042795,0.3333333333333333,0.0
