alpha,mode,mean_tradeoff
0.538034,double,0.5332569686234175
0.548034,double,0.5131962334008616
0.558034,double,0.5150298768246905
0.568034,double,0.5182605557005203
0.578034,double,0.5190920931505283
0.588034,double,0.5593469314996593
0.598034,double,0.568399152620181
0.608034,double,0.5439621443936282
0.618034,double,0.3215627863324118
0.628034,double,0.6252834189902798
0.638034,double,0.5849442991395846
0.648034,double,0.537307623663577
0.658034,double,0.5660664186425688
0.668034,double,0.5301351991341894
0.678034,double,0.5287091818781496
0.688034,double,0.5150362366615595
0.698034,double,0.592001876139921
0.538034,moving,0.40907245976111245
0.548034,moving,0.4046116807703805
0.558034,moving,0.4804821328585277
0.568034,moving,0.5247019283754769
0.578034,moving,0.4708585248902903
0.588034,moving,0.48708992092120185
0.598034,moving,0.5010419308721183
0.608034,moving,0.42278698074223536
0.618034,moving,0.5496576637531165
0.628034,moving,0.5560605066137608
0.638034,moving,0.5363582942288834
0.648034,moving,0.5190226320310283
0.658034,moving,0.49853264677493025
0.668034,moving,0.45789986190441223
0.678034,moving,0.4608128298350657
0.688034,moving,0.473169628328269
0.698034,moving,0.5065147506121624
0.538034,single,0.443737710902814
0.548034,single,0.45061932407342914
0.558034,single,0.47415085601492324
0.568034,single,0.43720357776971036
0.578034,single,0.5423977697336431
0.588034,single,0.5285998375795768
0.598034,single,0.606198139191997
0.608034,single,0.6037120931867562
0.618034,single,0.5289264284414693
0.628034,single,0.430072360913784
0.638034,single,0.4937278138022026
0.648034,single,0.5426723021214185
0.658034,single,0.4187285992072769
0.668034,single,0.5236343390134421
0.678034,single,0.49572236685561916
0.688034,single,0.5435300850519164
0.698034,single,0.4911769983927467
