flow,balanced_score,same_field_recall_rate,split_rate,no_competition_gap,inverted_competition_gap,flat_competition_gap
bounded_cf_2,0.7763900941916941,0.9445114595898673,0.06755126658624849,0.0,0.0,0.0009262532066036666
fib_13_21,0.7086363971520944,0.9924433249370277,0.06926952141057935,0.0,0.0,0.0013160159390626092
golden,0.8231771506985186,0.849971477467199,0.0775812892184826,0.0,0.0,-0.00314659554308927
pi_mod1,0.7894763062032037,0.9715976331360947,0.0035502958579881655,0.0,0.0,-0.0012900460148987936
random_cf_1,0.7816213058153001,0.8907563025210085,0.07202881152460984,0.0,0.0,0.000330034367647003
silver,0.7861998083717562,0.9681372549019608,0.04656862745098039,0.0,0.0,-0.0009491703251034433
