flow,real_balanced_score,binding_plasticity_help,no_binding_plasticity_help,binding_help_under_balanced
bounded_cf_2,0.7758040307035984,-0.000586063488095756,0.004439788747692686,0.05066501349424446
fib_13_21,0.6991598993616894,-0.009476497790404936,0.005541997100235729,-0.026914526757501833
golden,0.8177331950387593,-0.005443955659759303,0.004709665506607563,0.0030553418417050837
pi_mod1,0.7933299005594054,0.003853594356201695,0.008814310617774157,0.07470793309533108
random_cf_1,0.7856322975906825,0.004010991775382444,0.004824460600247327,0.019376721380841455
silver,0.7816106627606835,-0.004589145611072709,0.012017291025715027,0.007535782761170284
