flow,family,best_composite,mean_composite,mean_hold_to_write,mean_retouch_survival,mean_rupture_rate,mean_rewrite_drift,mean_density_gap
golden,phi,0.36324107923163096,0.2628844287769927,0.00037240182140521025,0.0018128654970760232,0.4579137230200649,0.0003895005947858189,-0.214277174028835
silver,metallic,0.3177977349039529,0.26793028565280735,0.00014900707273872533,0.00018315018315018315,0.48023384962508553,0.000280074212692623,-0.19827219918225225
bounded_cf_2,bounded_cf,0.3127655056917191,0.26575985508112815,0.0,0.0,0.28325864195832806,0.0,-0.1977328319787245
random_cf_1,random_cf,0.7575486800461225,0.38661400878477353,0.0048910759179256824,0.04747355765953638,0.00013599303096211438,0.0008067789057918404,-0.1315287001468714
fib_13_21,rational,0.4119782958054843,0.2472599592246657,0.0005489186237713128,0.009951771190428178,0.44476021805144667,0.000672330259270691,-0.21852605748843013
pi_mod1,constant,0.7530036367172299,0.37197283414480536,0.003119542494542494,0.03322913576184077,0.0004771480462930668,0.0005560666099626139,-0.1020594001903854
