flow,family,alpha,best_delay,best_slot_count,real_score,density_gap,block_gap,phase_scramble_gap,constant_shift_gap,local_jitter_gap,path_break_gap
golden,phi,0.6180339887498948,13,13,0.8170937022303991,0.4169413388302601,0.4837132052425985,0.038099220069395034,0.01189603724748911,0.015510898849566579,0.01773527638852246
silver,metallic,0.43821356237309517,21,13,0.8300814185264486,0.44615101564831383,0.4875729956106739,0.07601881875485406,0.02688138394472861,0.009303763677579346,0.01705071426977678
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.8082017195794795,0.43117161586571195,0.4789275349275481,0.018254249279450963,0.0014765212500027491,0.01583202089994662,0.0101436505245045
random_cf_1,random_cf,0.10978777645362256,21,13,0.81606247791434,0.4618660578383199,0.4785213319788633,0.008887491974880146,-0.004913844311835058,-0.0022682231498099004,0.005971444583732444
fib_13_21,rational,0.6550476190476191,21,13,0.8051851212352421,0.42015071630210404,0.476513492370667,0.016271333446478353,0.04790793011781003,0.019019147967174188,0.021933241975852336
pi_mod1,constant,0.15359265358979313,21,13,0.8069203981756115,0.45107614191085355,0.47471103809888415,0.021403281161006316,0.0035227912190767263,0.0024103830446823293,-0.0026958782990915697
