flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_interference_radius,best_interference_gain,best_competition_gain,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_same_region_recall_rate,mean_interference_coherence_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8175055719959078,13,13,0.04,0.58,21,4,0.08,0.04,0.7670904612230595,0.43624708246214866,0.1881496328140218,0.43624708246214866,1.0,0.022189680135626583,0.5637529175378513,0.153648259797956,0.39669967083304236
silver,metallic,0.8038500146938319,21,13,0.08,0.78,13,6,0.12,0.08,0.7649647896356201,0.5771288865828821,0.1576963697856426,0.5771288865828821,0.9999626642771804,0.015576961936955212,0.42287111341711786,0.12964629860148852,0.3974376391630482
bounded_cf_2,bounded_cf,0.797989091883483,21,13,0.04,0.68,13,4,0.12,0.04,0.7476088484485929,0.4578510785738746,0.1356669029859997,0.4578510785738746,1.0,0.011905793512307182,0.5421489214261255,0.1103923920870156,0.38381238573645954
random_cf_1,random_cf,0.8098083163231887,21,13,0.08,0.68,21,6,0.04,0.08,0.7680493305111571,0.5012213519872792,0.16206938884261282,0.5012213519872792,1.0,0.014260228382274817,0.4987786480127208,0.1312727573402677,0.4028916234142941
fib_13_21,rational,0.7383173134425071,21,13,0.04,0.68,21,4,0.08,0.08,0.6873600203380682,0.5032621377470726,0.15291151478941445,0.5032621377470726,1.0,0.013758833765241582,0.49673786225292743,0.25704955805359914,0.3294124921070244
pi_mod1,constant,0.8035046504521736,21,13,0.08,0.68,21,6,0.04,0.08,0.7599335843193633,0.5144851800016537,0.15938583438501705,0.5144851800016537,1.0,0.016313356988676322,0.4855148199983464,0.12810094447349704,0.39569695791747267
