model,best_anchor,best_composite,mean_composite,mean_admission_rate,mean_write_rate,mean_useful_write_rate,mean_utility,mean_surrogate_gap
raw_write,bounded_cf_2,0.40741059224125725,0.34938331335220607,0.9666666666666667,0.34433498865354634,0.0,0.0,-0.1175919464915598
surprise_only,silver,0.5366237664976373,0.4766243600850005,0.3806623850550442,0.9666666666666667,0.0,0.0,0.08497656524058
assimilated_surprise,noble_1,0.5151425921179968,0.3918253206190911,0.7852568441651261,0.4326059679299852,0.0,0.0,-0.07095022080443131
predictive_usefulness,random_irrat_1,0.35563069013626514,0.16511911947690594,0.014863454136608244,0.0,0.0,0.001588699880448483,-0.14794100016217476
predictive_usefulness_witness,golden,0.392136223432906,0.2657011672471309,0.01802150428327485,0.0,0.0,0.0019343192033149934,-0.03361687150940007
