model,anchor,family,alpha,offset,window_width,beta,learning_rate,assimilation_rate,surprise_low,surprise_high,utility_threshold,lookahead,write_threshold,write_count,witness_count,admission_rate,write_rate,witness_rate,useless_reject_rate,useful_write_rate,mean_utility,delayed_retention,pollution,phase_lock_resistance,composite_score
raw_write,golden,phi,0.6420339887498948,0.024,0.18,0.0,0.12,0.08,0.12,0.32,0.05,5,0.62,21.0,70.0,1.0,0.23076923076923078,0.7692307692307693,0.0,0.0,0.0,0.23076923076923078,0.010258915486077186,0.607598641648025,0.3234794181378626
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.0,0.12,0.16,0.06,0.48,0.01,5,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.0,0.0,0.3977272727272727,0.01709819247679531,0.5096096154177394,0.35227767031178564
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.0,0.12,0.16,0.06,0.48,0.01,5,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.0,0.0,0.3977272727272727,0.01709819247679531,0.5581541058993496,0.36101567859847544
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.0,0.12,0.16,0.06,0.48,0.01,5,0.48,39.0,48.0,1.0,0.4482758620689655,0.5517241379310345,0.0,0.0,0.0,0.4482758620689655,0.019052271617000488,0.7242206900723941,0.4049773081687548
raw_write,golden,phi,0.6300339887498948,0.012,0.18,0.0,0.12,0.16,0.06,0.48,0.01,5,0.48,39.0,49.0,1.0,0.4431818181818182,0.5568181818181818,0.0,0.0,0.0,0.4431818181818182,0.019052271617000488,0.6670128665114261,0.3932443057414027
raw_write,golden,phi,0.6420339887498948,0.024,0.18,0.0,0.12,0.16,0.06,0.48,0.01,5,0.48,32.0,59.0,1.0,0.3516483516483517,0.6483516483516484,0.0,0.0,0.0,0.3516483516483517,0.015632633121641426,0.6068314867574371,0.35692362973629005
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.0,0.12,0.16,0.12,0.32,0.01,21,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.0,0.0,0.3977272727272727,0.01709819247679531,0.5096096154177394,0.35227767031178564
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.0,0.12,0.16,0.12,0.32,0.01,21,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.0,0.0,0.3977272727272727,0.01709819247679531,0.5581541058993496,0.36101567859847544
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.0,0.12,0.16,0.12,0.32,0.01,21,0.48,39.0,48.0,1.0,0.4482758620689655,0.5517241379310345,0.0,0.0,0.0,0.4482758620689655,0.019052271617000488,0.7242206900723941,0.4049773081687548
raw_write,golden,phi,0.6300339887498948,0.012,0.18,0.0,0.12,0.16,0.12,0.32,0.01,21,0.48,39.0,49.0,1.0,0.4431818181818182,0.5568181818181818,0.0,0.0,0.0,0.4431818181818182,0.019052271617000488,0.6670128665114261,0.3932443057414027
raw_write,golden,phi,0.6420339887498948,0.024,0.18,0.0,0.12,0.16,0.12,0.32,0.01,21,0.48,32.0,59.0,1.0,0.3516483516483517,0.6483516483516484,0.0,0.0,0.0,0.3516483516483517,0.015632633121641426,0.6068314867574371,0.35692362973629005
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.0,0.12,0.28,0.06,0.32,0.025,5,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.0,0.0,0.3977272727272727,0.01709819247679531,0.5096096154177394,0.35227767031178564
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.0,0.12,0.28,0.06,0.32,0.025,5,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.0,0.0,0.3977272727272727,0.01709819247679531,0.5581541058993496,0.36101567859847544
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.0,0.12,0.28,0.06,0.32,0.025,5,0.48,39.0,48.0,1.0,0.4482758620689655,0.5517241379310345,0.0,0.0,0.0,0.4482758620689655,0.019052271617000488,0.7242206900723941,0.4049773081687548
raw_write,golden,phi,0.6300339887498948,0.012,0.18,0.0,0.12,0.28,0.06,0.32,0.025,5,0.48,39.0,49.0,1.0,0.4431818181818182,0.5568181818181818,0.0,0.0,0.0,0.4431818181818182,0.019052271617000488,0.6670128665114261,0.3932443057414027
raw_write,golden,phi,0.6420339887498948,0.024,0.18,0.0,0.12,0.28,0.06,0.32,0.025,5,0.48,32.0,59.0,1.0,0.3516483516483517,0.6483516483516484,0.0,0.0,0.0,0.3516483516483517,0.015632633121641426,0.6068314867574371,0.35692362973629005
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.0,0.12,0.28,0.06,0.32,0.05,13,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.0,0.0,0.3977272727272727,0.01709819247679531,0.5096096154177394,0.35227767031178564
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.0,0.12,0.28,0.06,0.32,0.05,13,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.0,0.0,0.3977272727272727,0.01709819247679531,0.5581541058993496,0.36101567859847544
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.0,0.12,0.28,0.06,0.32,0.05,13,0.48,39.0,48.0,1.0,0.4482758620689655,0.5517241379310345,0.0,0.0,0.0,0.4482758620689655,0.019052271617000488,0.7242206900723941,0.4049773081687548
raw_write,golden,phi,0.6300339887498948,0.012,0.18,0.0,0.12,0.28,0.06,0.32,0.05,13,0.48,39.0,49.0,1.0,0.4431818181818182,0.5568181818181818,0.0,0.0,0.0,0.4431818181818182,0.019052271617000488,0.6670128665114261,0.3932443057414027
raw_write,golden,phi,0.6420339887498948,0.024,0.18,0.0,0.12,0.28,0.06,0.32,0.05,13,0.48,32.0,59.0,1.0,0.3516483516483517,0.6483516483516484,0.0,0.0,0.0,0.3516483516483517,0.015632633121641426,0.6068314867574371,0.35692362973629005
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.011,0.035,0.08,0.06,0.32,0.05,5,0.48,35.0,55.0,1.0,0.3888888888888889,0.6111111111111112,0.0,0.0,0.0,0.3888888888888889,0.01709819247679531,0.6815832176237531,0.3807421014453236
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.011,0.035,0.08,0.06,0.32,0.05,5,0.48,34.0,56.0,1.0,0.37777777777777777,0.6222222222222222,0.0,0.0,0.0,0.37777777777777777,0.016609672691744015,0.6213253877043292,0.36680834570916876
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.011,0.035,0.08,0.06,0.32,0.05,5,0.48,34.0,51.0,1.0,0.4,0.6,0.0,0.0,0.0,0.4,0.016609672691744015,0.5109607170053827,0.35320533124598463
