flow,best_mode,best_score,moderate_score,same_field_recall_rate,same_core_recall_rate,split_rate,admission_band_rate,moderate_vs_exact_gap,moderate_vs_novelty_gap,moderate_vs_none_gap
bounded_cf_2,moderate_band,0.7763900941916941,0.7763900941916941,0.9445114595898673,0.2738238841978287,0.06755126658624849,0.14485677083333334,0.007243747176979842,0.014098608077775632,0.017320513228413992
fib_13_21,moderate_band,0.7177592509221459,0.7177592509221459,0.9922580645161291,0.2167741935483871,0.07096774193548387,0.14680989583333334,0.00031334524367665484,0.007163689425803921,0.008591819772194365
golden,moderate_band,0.8231771506985186,0.8231771506985186,0.849971477467199,0.46035367940673133,0.0775812892184826,0.3330078125,0.0057663238524467975,0.017125323885576305,0.01409814707415713
pi_mod1,moderate_band,0.7909945404779616,0.7909945404779616,0.9715639810426541,0.2618483412322275,0.0035545023696682463,0.1494140625,0.0035024101697136434,0.006599776197202645,0.011426307710120653
random_cf_1,moderate_band,0.7816213058153001,0.7816213058153001,0.8907563025210085,0.25690276110444177,0.07202881152460984,0.1484375,0.005507181826951646,0.005857035648186848,0.009818715556909385
silver,moderate_band,0.7861998083717562,0.7861998083717562,0.9681372549019608,0.3137254901960784,0.04656862745098039,0.14811197916666666,0.0073157846144211724,0.010453058575496055,0.013924799962455325
