prime_cutoff,coupling,rank,integer_length_key,length,coefficient_real,coefficient_imag,coefficient_abs
29,identity,1,6,1.791759469228055,0.0,0.0,0.0
29,identity,2,10,2.302585092994046,0.0,0.0,0.0
29,identity,3,14,2.6390573296152584,0.0,0.0,0.0
29,identity,4,22,3.091042453358316,0.0,0.0,0.0
29,identity,5,26,3.258096538021482,0.0,0.0,0.0
29,identity,6,34,3.5263605246161616,0.0,0.0,0.0
29,identity,7,38,3.6375861597263857,0.0,0.0,0.0
29,identity,8,46,3.828641396489095,0.0,0.0,0.0
29,identity,9,58,4.060443010546419,0.0,0.0,0.0
29,identity,10,15,2.70805020110221,0.0,0.0,0.0
29,dft,1,26,3.258096538021482,0.001260942815914474,0.0004964101447271078,0.0013551383017221198
29,dft,2,6,1.791759469228055,0.0010762933532315344,0.0004998603082056287,0.0011867045588223745
29,dft,3,22,3.091042453358316,0.0011376024336906122,-0.00024815703097444793,0.0011643544173321355
29,dft,4,34,3.5263605246161616,0.00045597507372375064,0.000986425478070184,0.0010867145400901613
29,dft,5,39,3.6635616461296463,0.0004142468502567863,0.0009939298256506763,0.0010767994015904968
29,dft,6,58,4.060443010546419,0.00037591628051260437,-0.0009819305981474914,0.0010514279573668951
29,dft,7,377,5.932245187448011,0.0009315968273019834,0.0004648840367058322,0.0010411483161505044
29,dft,8,493,6.20050917404269,0.0010272143183506742,-2.8355755941623692e-05,0.001027605617306397
29,dft,9,667,6.502790045915623,0.0007177721004833794,-0.0007251680577119175,0.0010203261734161274
29,dft,10,143,4.962844630259907,0.0001215372002699536,-0.0010097958116804234,0.0010170835129608502
29,haar,1,319,5.765191102784844,0.008094478045684451,-0.040267972022173595,0.041073472529244745
29,haar,2,667,6.502790045915623,-0.028373060320027878,-0.016194002028636863,0.03266919426045637
29,haar,3,209,5.342334251964811,0.0062611380040481415,-0.029568569647845645,0.03022419825446549
29,haar,4,221,5.3981627015177525,0.027246882430352476,-0.01158399526129081,0.029607119893482692
29,haar,5,85,4.442651256490317,-0.022501083215284896,-0.018126029834732438,0.028893800432459312
29,haar,6,35,3.5553480614894135,-0.02002099181383511,0.01986727419713179,0.028205472824146576
29,haar,7,119,4.77912349311153,-0.019197240214443606,-0.019957918644573226,0.027692102637294526
29,haar,8,391,5.968707559985366,0.020772033099677123,0.017443542088715965,0.027124795293142535
29,haar,9,57,4.04305126783455,0.02160891260752756,-0.014112646704610264,0.025809143749627003
29,haar,10,253,5.53338948872752,-0.003312346065618277,0.024763315886873378,0.024983863795888184
53,identity,1,6,1.791759469228055,0.0,0.0,0.0
53,identity,2,10,2.302585092994046,0.0,0.0,0.0
53,identity,3,14,2.6390573296152584,0.0,0.0,0.0
53,identity,4,22,3.091042453358316,0.0,0.0,0.0
53,identity,5,26,3.258096538021482,0.0,0.0,0.0
53,identity,6,34,3.5263605246161616,0.0,0.0,0.0
53,identity,7,38,3.6375861597263857,0.0,0.0,0.0
53,identity,8,46,3.828641396489095,0.0,0.0,0.0
53,identity,9,58,4.060443010546419,0.0,0.0,0.0
53,identity,10,62,4.127134385045092,0.0,0.0,0.0
53,dft,1,6,1.791759469228055,0.0008068319866419174,0.00023924321399762294,0.0008415552091885925
53,dft,2,46,3.828641396489095,0.0006990220137664221,0.00022598634612853871,0.0007346438622670114
53,dft,3,38,3.6375861597263857,0.0007090838398718411,-6.133371739121104e-05,0.0007117314921066931
53,dft,4,58,4.060443010546419,0.0004690173872760456,0.0004521377995654409,0.0006514644267825581
53,dft,5,10,2.302585092994046,0.0005332852059876736,0.0003629291827894739,0.0006450664327381722
53,dft,6,69,4.23410650459726,0.00043839293316182506,0.00045561104815221884,0.0006322735096812073
53,dft,7,57,4.04305126783455,0.0005652652154878987,0.0002428475901886335,0.0006152233057199696
53,dft,8,106,4.663439094112067,0.00038686008987826606,-0.0004407417881440252,0.0005864418581215131
53,dft,9,15,2.70805020110221,0.00035320629207462626,0.0004597334252473521,0.0005797495209577744
53,dft,10,34,3.5263605246161616,0.0005247702503492558,-0.00023272408565241814,0.0005740595053601802
53,haar,1,473,6.159095388491933,-0.04079081745530222,0.004568396134028353,0.0410458406164278
