prime_cutoff,prime_count,repetition_cutoff,component_count,directed_bond_count,physical_total_length,weyl_coefficient,finite_trace_rms,weyl_to_oscillatory_rms,pseudo_against_prime_rmse,pseudo_own_rmse,true_match_rmse,printed_plus_sign_max_abs,corrected_minus_sign_max_abs
29,10,8,80,160,813.2542030841637,258.8668528222095,0.5199586647512224,497.8604461684777,0.6840140331870885,4.295564169892469e-15,4.8133283307065014e-15,16.840379755481194,2.4970916685047775e-15
53,16,8,128,256,1617.4984084165828,514.865734285545,0.6111525584890781,842.4504276942272,0.8528230269674094,7.804078384682285e-15,6.649747205848964e-15,16.840379755481194,2.4970916685047775e-15
97,25,8,200,400,3014.222054366301,959.4566790580091,0.705960987335246,1359.0788956761194,0.9222452775302983,1.1772279702402708e-14,1.0657192718247084e-14,16.840379755481194,2.4970916685047775e-15
193,44,8,352,704,6407.531917849614,2039.5807554897167,0.8155478205931307,2500.8720567806467,1.1157627513508461,1.7077708173644253e-14,1.817978877041151e-14,16.840379755481194,2.5907871506114526e-15
193,44,6,264,528,3737.7269520789414,1189.7554407023347,0.8145871358240209,1460.5625210356418,1.114990644726316,1.1260986687782704e-14,1.1477199737212867e-14,7.876505268122556,2.3411177510479497e-15
193,44,10,440,880,9789.284874492467,3116.0261542204007,0.8156355707410254,3820.3656951712055,1.115727170728027,2.1548671366440528e-14,2.3144398350256873e-14,27.795415761545218,3.1645001314445037e-15
