flow,real_score,real_vs_shuffled_gap,real_vs_random_gap,real_vs_local_gap,real_vs_uniform_gap,real_vs_overconnected_gap
bounded_cf_2,0.32232653900224867,0.006245357296793486,0.104709441953731,-0.34995608839210907,0.17362960665948876,0.09160116890753667
fib_13_21,0.28537236772211644,0.005822737316608428,0.07086664530370057,-0.38918638088199725,0.14036211768406526,0.14036211768406526
golden,0.314933358755892,0.012887537671056493,0.1011537956830112,-0.34006323452395226,0.17087037204696603,0.0936369943371324
pi_mod1,0.27202884146001566,0.0030663483058994134,0.053924048345996956,-0.326851039670039,0.1184634727266769,0.1184634727266769
random_cf_1,0.2949748162228664,0.0056674388280301136,0.08794930041248183,-0.30053105640418515,0.16067306867525488,0.08584820725969389
silver,0.36310310711898847,0.02031576497329235,0.13954717579560943,-0.30949135392644794,0.2118107681051789,0.1288013617575558
