flow,family,mode,spread_rate,differentiation_score,integration_score,recovery_score,uniformity_penalty,locality_penalty,overload_penalty,score
golden,phi,real,0.8852163461538463,0.49800809191720474,1.0,1.9982107577624965e-29,0.0,0.0,0.9999999999999999,0.314933358755892
golden,phi,shuffled_connections,0.920673076923077,0.45757700851186917,1.0,1.9022780095192667e-32,,,,0.3020458210848355
golden,phi,random_weights,0.9783653846153846,0.16240762016081145,1.0,5.503271626167313e-50,,,,0.21377956307288082
golden,phi,local_only,0.4296875000000001,0.7902453458168355,1.0,5.644557920596753e-13,,,,0.6549965932798443
golden,phi,uniform_global,0.9795673076923077,0.07576255536829703,1.0,1.2840531017017386e-51,,,,0.14406298670892598
golden,phi,overconnected,0.9771634615384615,0.17172426047926573,1.0,1.7465956064170407e-48,,,,0.2212963644187596
silver,metallic,real,0.7548076923076923,0.5810254059262814,1.0,5.285398416849809e-25,0.0,0.0,0.9999999999999999,0.36310310711898847
silver,metallic,shuffled_connections,0.7950721153846154,0.5506795982333678,1.0,5.45144612597491e-26,,,,0.3427873421456961
silver,metallic,random_weights,0.9525240384615384,0.1736342972854484,1.0,6.9959204025763e-49,,,,0.22355593132337903
silver,metallic,local_only,0.38521634615384615,0.8181231215068201,1.0,6.762999443694156e-13,,,,0.6725944610454364
silver,metallic,uniform_global,0.954326923076923,0.08226121730005725,1.0,1.2840531017017386e-51,,,,0.15129233901380956
silver,metallic,overconnected,0.9519230769230769,0.20193515267919607,1.0,3.325637075058446e-48,,,,0.23430174536143267
bounded_cf_2,bounded_cf,real,0.8689903846153847,0.5205166725528949,1.0,5.193472259770461e-33,0.0,0.0,0.9999999999999999,0.32232653900224867
bounded_cf_2,bounded_cf,shuffled_connections,0.8828125,0.5016239310734767,1.0,4.212113370971633e-34,,,,0.3160811817054552
bounded_cf_2,bounded_cf,random_weights,0.9711538461538461,0.1669216919075641,1.0,2.2991468750145473e-49,,,,0.21761709704851767
bounded_cf_2,bounded_cf,local_only,0.4038461538461539,0.8258806168428864,1.0,5.935690655249329e-15,,,,0.6722826273943577
bounded_cf_2,bounded_cf,uniform_global,0.9723557692307692,0.0808382366501594,1.0,1.2840531017017386e-51,,,,0.1486969323427599
bounded_cf_2,bounded_cf,overconnected,0.9675480769230769,0.18986708128887458,1.0,4.992773804631818e-50,,,,0.230725370094712
random_cf_1,random_cf,real,0.9423076923076923,0.4340251305935977,1.0,4.8029907413029414e-32,0.0,0.0,0.9999999999999999,0.2949748162228664
random_cf_1,random_cf,shuffled_connections,0.9561298076923077,0.4139921092171001,1.0,1.8039733828009425e-32,,,,0.2893073773948363
random_cf_1,random_cf,random_weights,0.9873798076923077,0.15437632189005943,1.0,1.8192734747112356e-48,,,,0.20702551581038459
random_cf_1,random_cf,local_only,0.5084134615384615,0.7631362879645821,1.0,7.607919983283204e-14,,,,0.5955058726270516
random_cf_1,random_cf,uniform_global,0.9861778846153846,0.0643101486173751,1.0,1.2840531017017386e-51,,,,0.13430174754761154
random_cf_1,random_cf,overconnected,0.9867788461538463,0.15695220457730183,1.0,3.0867938880803404e-49,,,,0.20912660896317253
fib_13_21,rational,real,0.9705528846153846,0.40032591418857644,1.0,1.4087210140780732e-36,0.0,0.0,0.9999999999999999,0.28537236772211644
fib_13_21,rational,shuffled_connections,0.9735576923076923,0.3781953665975265,1.0,2.67539712673002e-37,,,,0.279549630405508
fib_13_21,rational,random_weights,0.9873798076923077,0.16362777077185045,1.0,1.8459194086543717e-50,,,,0.21450572241841587
fib_13_21,rational,local_only,0.3924278846153847,0.8277897708425928,1.0,6.970668191156775e-12,,,,0.6745587486041137
fib_13_21,rational,uniform_global,0.9861778846153846,0.07756527007584059,1.0,1.2840531017017386e-51,,,,0.14501025003805118
fib_13_21,rational,overconnected,0.9861778846153846,0.07756527007584059,1.0,1.2840531017017386e-51,,,,0.14501025003805118
pi_mod1,constant,real,0.9651442307692307,0.34849402422598924,1.0,1.2966502508800357e-44,0.0,0.0,0.9999999999999999,0.27202884146001566
pi_mod1,constant,shuffled_connections,0.962139423076923,0.33639652596424985,1.0,1.312535373732902e-45,,,,0.26896249315411624
pi_mod1,constant,random_weights,0.9639423076923077,0.1672452053933043,1.0,3.5733459755888605e-48,,,,0.2181047931140187
pi_mod1,constant,local_only,0.5048076923076923,0.7642650121795154,1.0,4.4147898536860216e-14,,,,0.5988798811300546
pi_mod1,constant,uniform_global,0.9651442307692308,0.0862348054821193,1.0,1.2840531017017386e-51,,,,0.15356536873333876
pi_mod1,constant,overconnected,0.9651442307692308,0.0862348054821193,1.0,1.2840531017017386e-51,,,,0.15356536873333876
