flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,layer_match_threshold,basin_radius,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_region_recall_rate,same_layer_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.14,21,0.55,0.14,0.18,2,0.36,0.9189511323003575,0.4788819875776398,0.003952569169960474,0.08695652173913043,0.15660592255125286,0.11275626423690205,0.15660592255125286,0.03018223234624146,0.04669703872437358,0.0,0.8433940774487472,0.09703679583197655,0.47295384821286734,0.5943894154258613
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.2,13,0.72,0.08,0.42,2,0.24,0.9556103575832305,0.48865069356872637,0.003952569169960474,0.1005081874647092,0.12122936824132043,0.07512805919180421,0.12122936824132043,0.0,0.08764940239043825,0.0,0.8787706317586795,0.10778248127645718,0.4082201525333621,0.5509142357518042
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.2,21,0.72,0.14,0.18,2,0.24,0.9333333333333333,0.4827586206896552,0.003952569169960474,0.1445511010728402,0.19202279202279202,0.09515669515669516,0.19202279202279202,0.013105413105413105,0.10712250712250712,0.0,0.807977207977208,0.09996743731683491,0.48431415316718973,0.5884385027004357
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.08,13,0.55,0.08,0.3,2,0.36,0.9252013808975834,0.4805738194859534,0.003952569169960474,0.05138339920948617,0.14742451154529307,0.08288928359976318,0.14742451154529307,0.010065127294256957,0.04440497335701599,0.0,0.8525754884547069,0.10680560078150439,0.46692989248939165,0.584667022613242
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.08,21,0.72,0.08,0.42,2,0.36,0.9385863267670915,0.484160191273162,0.003952569169960474,0.05138339920948617,0.15604526503871352,0.07027992852888625,0.15604526503871352,0.0,0.038117927337701016,0.0,0.8439547349612865,0.11071312276131554,0.46814746223847215,0.5898832430391584
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.14,8,0.55,0.14,0.18,2,0.36,0.9094117647058824,0.4762784966112138,0.003952569169960474,0.07961603613777526,0.15767131594906003,0.0861127956337174,0.15767131594906003,0.02971497877501516,0.05579138872043663,0.0,0.84232868405094,0.09899055682188213,0.47430798103039884,0.5881931687949135
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,8,0.55,0.08,0.18,2,0.36,0.9324644549763034,0.48252605763335377,0.003952569169960474,0.07509881422924901,0.22083096186681844,0.12749003984063745,0.22083096186681844,0.02731929425156517,0.056346044393853156,0.0,0.7791690381331816,0.1045262129599479,0.4763274190068548,0.624882729422217
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,13,0.55,0.08,0.42,2,0.24,0.9130434782608695,0.4772727272727273,0.003952569169960474,0.05194805194805195,0.05406943653955606,0.03870233352305066,0.05406943653955606,0.0,0.04610130904951622,0.0,0.9459305634604439,0.10810810810810811,0.4644094804032498,0.5318135198506976
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,13,0.72,0.08,0.42,2,0.24,0.900117508813161,0.47371675943104513,0.003952569169960474,0.08300395256916997,0.11851851851851852,0.07521367521367521,0.11851851851851852,0.0,0.07293447293447293,0.0,0.8814814814814815,0.10257245197004233,0.47189799169262936,0.5546071416152639
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,21,0.55,0.14,0.3,2,0.36,0.9202733485193622,0.4792408066429419,0.003952569169960474,0.044042913608131,0.053500284575981785,0.040978941377347755,0.053500284575981785,0.014797951052931132,0.013659647125782584,0.0,0.9464997154240182,0.11234125691957017,0.46160450870450853,0.5467426577975267
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,21,0.72,0.14,0.18,2,0.24,0.9247448979591837,0.4804506295559973,0.003952569169960474,0.14398644833427443,0.1848883800801374,0.08586147681740126,0.1848883800801374,0.01659988551803091,0.1070406410990269,0.0,0.8151116199198626,0.095083034842071,0.46078121013282114,0.5804170136811072
