flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_recall_gain,best_layer_window,best_recency_decay,best_resonance_gain,best_layer_match_threshold,best_basin_radius,best_split_threshold,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_same_region_recall_rate,mean_same_layer_recall_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.6673925480613656,13,13,0.08,0.78,21,0.08,8,0.72,0.08,0.18,2,0.36,0.577603102272693,0.15036493081937416,0.07837278158918552,0.15036493081937416,0.012302959559062403,0.01038159970398009,0.8496350691806258,0.06354496194501998,0.2047961776467611
silver,metallic,0.6941952329748678,21,13,0.08,0.58,13,0.2,13,0.55,0.08,0.18,2,0.36,0.6145808112223746,0.23790983171147864,0.0750378461860957,0.23790983171147864,0.017753770729203835,0.006860729061315529,0.7620901682885214,0.06105596312687537,0.24462319278782318
bounded_cf_2,bounded_cf,0.6302273708397482,21,13,0.08,0.58,13,0.2,13,0.72,0.08,0.18,2,0.24,0.5353019007497798,0.06165552887864299,0.023470414171045118,0.06165552887864299,0.00019446423605214917,0.0020357665064671903,0.9383444711213571,0.01633214305915379,0.17126809845012786
random_cf_1,random_cf,0.6332946614516518,21,13,0.08,0.58,13,0.2,13,0.72,0.08,0.18,2,0.24,0.5536772654097049,0.08243912356151438,0.02593119895899148,0.08243912356151438,0.004702463494188863,0.004229497875108617,0.9175608764384857,0.03197882862622971,0.21006110615815876
fib_13_21,rational,0.5589246486306734,21,13,0.08,0.68,21,0.2,8,0.72,0.08,0.18,2,0.36,0.49817917517210925,0.0730065486531027,0.026280365930412032,0.0730065486531027,0.0007734788053496832,0.002124459401539106,0.9269934513468973,0.0512582907851738,0.1216421465648359
pi_mod1,constant,0.6488787945551286,21,13,0.08,0.58,13,0.2,13,0.72,0.08,0.18,2,0.24,0.5415608068077551,0.07465091630962516,0.02887703691706364,0.07465091630962516,0.0021361767638516265,0.003975638722787219,0.9253490836903748,0.023274565707725122,0.1737012899247422
