anchor,family,best_composite,mean_composite,best_offset,best_age,best_witness_factor,best_recognition_factor,best_decay,best_near_miss_boost,best_recognition_rate,mean_recognition_rate,mean_near_miss_rate,mean_surrogate_gap,top3_frequency
golden,phi,0.8117816896755594,0.5555368908021794,-6.938893903907228e-18,4,0.24,0.14,0.76,0.24,1.0,0.4510171331896812,0.0003401339321022535,0.026209966254307937,0.030498798076923076
fib_13_21,rational,0.8304928700550358,0.5582233976703778,-0.018000000000000002,4,0.24,0.2,0.76,0.0,0.984375,0.4426068155696209,0.0003877271798623236,0.035547718448920906,0.030198317307692308
noble_1,noble,0.8273140146797386,0.5619029783340826,-0.018000000000000002,4,0.24,0.2,0.76,0.0,0.9552238805970149,0.4472715171402998,0.006684669703182896,-0.011124586292179828,0.03064903846153846
bounded_cf_2,bounded_cf,0.7950860539853271,0.5573357960362206,-0.024,4,0.24,0.2,0.76,0.0,0.8787878787878788,0.4405797751814283,8.675325440855596e-05,-0.011806053113530335,0.03155048076923077
random_irrat_1,random_irrational,0.8058587235812458,0.5584093875920251,-0.006000000000000005,4,0.24,0.2,0.82,0.08,0.972972972972973,0.4421783936143323,0.00609411814167676,0.008906782529696455,0.030498798076923076
