flow,real_score,same_field_recall_rate,same_core_recall_rate,no_binding_gap,shuffled_phase_gap,mirrored_phase_gap,flat_binding_gap,no_multiscale_gap,no_band_gap
bounded_cf_2,0.7763900941916941,0.9445114595898673,0.2738238841978287,0.0556908657300329,0.0020977108222414165,-0.0021410617876833626,0.024807673041726708,0.010291643954608132,0.017320513228413992
fib_13_21,0.7086363971520944,0.9924433249370277,0.21536523929471033,-0.011896031866861168,0.00032822013601840894,0.0014516003675542066,0.05533995559481453,0.011443929840003197,-0.0005310339978571443
golden,0.8231771506985186,0.849971477467199,0.46035367940673133,0.01320896300807195,-0.0030522827354420023,0.000298897838699852,0.058240848777131204,0.018946127360034204,0.01409814707415713
pi_mod1,0.7894763062032037,0.9715976331360947,0.26272189349112424,0.07966864935690354,-0.003530559072501438,-0.0011852242692169668,0.034695231355984846,0.00919367928923942,0.009908073435362819
random_cf_1,0.7816213058153001,0.8907563025210085,0.25690276110444177,0.020190190205706338,0.006157157008317982,-0.002800287941627011,0.0429962679037994,0.008930764374335709,0.009818715556909385
silver,0.7861998083717562,0.9681372549019608,0.3137254901960784,0.02414221939795802,0.005330728088952075,-0.0006644006662060997,0.04927079809723167,0.007206529457345567,0.013924799962455325
