flow,family,best_score,best_delay,mean_score,mean_witness_conversion,mean_delayed_retention,mean_prediction_update_rate,mean_rupture_rate,mean_fit_error,density_gap,block_gap
golden,phi,0.3469545424264188,13,0.2663430496850148,0.0,0.0,0.0,0.9961786607182785,1.3829345078027317,0.08176724229889742,0.12465104484094969
silver,metallic,0.33882773220041357,2,0.2711538200787689,0.0,0.0,0.0,0.9966418317041101,1.413829065354685,0.0660058890678617,0.12281465361572214
bounded_cf_2,bounded_cf,0.3395144878549975,2,0.2611202262861029,0.0,0.0,0.0,0.99619482489613,1.3930535339422145,0.10411707662946298,0.11746943872252161
random_cf_1,random_cf,0.3438089934796913,8,0.2657871598380561,0.0,0.0,0.0,0.9924887214425562,1.1413528124243348,0.10822542977851887,0.11152665491507066
fib_13_21,rational,0.3364301576026812,2,0.24622722701072774,0.0,0.0,0.0,0.996181268307404,1.4193674966081369,0.06887473374801242,0.10966098253975712
pi_mod1,constant,0.3499680554912959,21,0.26378296870462337,0.0,0.0,0.0,0.9922813999564237,1.1494020845376602,0.06772473448310562,0.11866215668225708
