flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_field_radius,best_field_width,best_field_support_gain,best_field_competition_gain,best_window_levels,best_window_blend_gain,mean_score,mean_recall_survival_rate,mean_same_core_recall_rate,mean_same_field_recall_rate,mean_field_overlap_rate,mean_macro_window_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8518819629502009,13,13,0.04,0.58,21,5,1.8,0.14,0.04,3,0.08,0.7760050914022179,0.4586156782988929,0.19683407753430765,0.4586156782988929,4.438657407407407,0.38633897569444436,0.0213159995408399,0.5413843217011072,0.04494416458301088,0.41085543855780426
silver,metallic,0.8157982525143638,21,13,0.04,0.58,21,3,1.8,0.08,0.08,3,0.14,0.7601391703924884,0.5143787362915853,0.14469232785140515,0.5143787362915853,2.332175925925926,0.1212082851080247,0.013512137208721305,0.4856212637084148,0.011755149069132057,0.43349870996939277
bounded_cf_2,bounded_cf,0.8019877529067073,21,13,0.04,0.58,21,3,1.8,0.08,0.08,3,0.14,0.7329123485575306,0.4477222819820283,0.10987076149334209,0.4477222819820283,2.3371913580246915,0.19833863811728397,0.01044526419533703,0.5522777180179718,0.01815794963654088,0.38140200738209995
random_cf_1,random_cf,0.8237171590533039,21,13,0.04,0.58,21,3,1.8,0.08,0.08,3,0.14,0.7620503389211538,0.47385500530302355,0.13546900345216362,0.47385500530302355,2.277006172839506,0.1807665412808642,0.01287870877286994,0.5261449946969764,0.017408684399184807,0.4370597955218584
fib_13_21,rational,0.8125502502318218,21,13,0.04,0.58,21,5,1.8,0.14,0.04,3,0.08,0.7444602314574682,0.4866282461836718,0.1741491738853665,0.4866282461836718,2.3522376543209877,0.20263671875,0.011671427436474176,0.5133717538163283,0.07145038225612399,0.3803279353566412
pi_mod1,constant,0.8069376670514815,21,13,0.08,0.68,13,5,1.2,0.08,0.04,2,0.14,0.7521277746186777,0.4908682108348874,0.13272193354809309,0.4908682108348874,2.339699074074074,0.2030466338734568,0.01315679683565292,0.5091317891651126,0.013179013746675025,0.38590500851728304
