flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,window_levels,window_blend_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,macro_window_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.55,0.14,3,1.8,0.08,0.08,3,0.14,0.24,0.7860262008733624,0.4400977995110024,0.004517221908526256,0.07171089779785432,0.5146974063400577,0.15331412103746397,0.5146974063400577,0.07262247838616714,0.0,0.4853025936599424,3.45703125,0.5455729166666666,0.09150113969391079,0.46977991945188513,0.7915046374591812
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.72,0.08,3,1.8,0.14,0.04,1,0.08,0.36,0.80406852248394,0.4456973293768546,0.005081874647092038,0.043478260869565216,0.544405997693195,0.19377162629757785,0.544405997693195,0.04267589388696655,0.0,0.4555940023068051,3.45703125,0.0,0.09899055682188213,0.4601636081158216,0.7780575738021386
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,13,0.55,0.08,3,1.2,0.08,0.08,3,0.08,0.24,0.8457997698504027,0.45822942643391523,0.004517221908526256,0.08977978543195934,0.6125866050808314,0.24249422632794457,0.6125866050808314,0.08718244803695151,0.0,0.3874133949191686,3.45703125,0.5397135416666666,0.0882448713774015,0.47850388341912076,0.8080980173867648
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.72,0.08,3,1.2,0.14,0.04,3,0.08,0.24,0.8992718446601942,0.47348242811501595,0.004517221908526256,0.11180124223602485,0.6096997690531177,0.2361431870669746,0.6096997690531177,0.098729792147806,0.0,0.3903002309468822,3.45703125,0.5218098958333334,0.09931618365353305,0.48356881844735256,0.8129126234793818
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,3,1.8,0.08,0.08,3,0.14,0.36,0.8571428571428571,0.46153846153846156,0.005081874647092038,0.04799548277809147,0.5233219567690558,0.2627986348122867,0.5233219567690558,0.04323094425483504,0.0,0.47667804323094426,3.45703125,0.5478515625,0.10322370563334418,0.46504415896980034,0.8253716514667252
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,5,1.2,0.14,0.08,1,0.08,0.36,0.8596112311015118,0.462253193960511,0.005081874647092038,0.02258610954263128,0.49801249290176036,0.2839295854628052,0.49801249290176036,0.016467915956842702,0.0,0.5019875070982396,5.76171875,0.0,0.10778248127645718,0.4462253615171018,0.8043010451973341
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,13,0.72,0.14,3,1.2,0.14,0.04,2,0.08,0.24,0.9078947368421053,0.47586206896551725,0.004517221908526256,0.09486166007905138,0.537542662116041,0.2554038680318544,0.537542662116041,0.08816837315130831,0.0,0.46245733788395904,3.45703125,0.5205078125,0.09931618365353305,0.4790822343738552,0.8196207602017124
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,8,0.72,0.08,5,1.8,0.14,0.04,3,0.08,0.36,0.923950056753689,0.48023598820059,0.004517221908526256,0.038396386222473176,0.6496308915388983,0.41169789892106756,0.6496308915388983,0.02328222600795003,0.0,0.35036910846110164,5.76171875,0.51953125,0.11169000325626832,0.45547830058616334,0.8518819629502009
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,13,0.55,0.08,3,1.8,0.08,0.04,2,0.08,0.36,0.8924485125858124,0.47158403869407495,0.005081874647092038,0.060982495765104464,0.5705346985210467,0.2963594994311718,0.5705346985210467,0.0540386803185438,0.0,0.42946530147895334,3.45703125,0.5481770833333334,0.10061869098013676,0.46799781489403713,0.8318616414874678
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,8,0.72,0.08,3,1.2,0.14,0.08,3,0.08,0.36,0.8172043010752689,0.44970414201183434,0.005081874647092038,0.040654997176736304,0.523121387283237,0.1976878612716763,0.523121387283237,0.04046242774566474,0.0,0.476878612716763,3.45703125,0.5143229166666666,0.09801367632692934,0.45943019659336004,0.811417979655582
