flow,best_mode,balanced_score,same_field_recall_rate,same_core_recall_rate,rewrite_drift_rate,split_rate,balanced_vs_rigid_gap,balanced_vs_soft_gap,balanced_vs_overplastic_gap
bounded_cf_2,overplastic,0.7758040307035984,0.9433734939759036,0.28072289156626506,0.0,0.07108433734939759,-0.000586063488095756,0.0020722759663470702,-0.0010798910155750407
fib_13_21,rigid,0.6991598993616894,0.990909090909091,0.2,0.0,0.07272727272727272,-0.009476497790404936,-0.0056282172896219285,0.004751619465317214
golden,rigid,0.8177331950387593,0.8429799426934097,0.43782234957020055,0.0,0.07851002865329514,-0.005443955659759303,-0.003356976808167045,0.012598322208200785
pi_mod1,soft_plastic,0.7933299005594054,0.9630952380952381,0.26785714285714285,0.0,0.007142857142857143,0.003853594356201695,-0.0011614567493350991,0.003247094299164255
random_cf_1,balanced_plastic,0.7856322975906825,0.8882138517618469,0.2709599027946537,0.0,0.0692588092345079,0.004010991775382444,0.002854065908991954,0.004053535784917739
silver,rigid,0.7816106627606835,0.9699879951980792,0.30732292917166865,0.0,0.05402160864345738,-0.004589145611072709,0.0016715801391338214,0.004787979950833687
