flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,rewrite_drift_rate,gap_from_real
golden,phi,rigid,0.8231771506985186,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.849971477467199,0.46035367940673133,0.849971477467199,0.0775812892184826,0.0,0.1500285225328009,3.45703125,0.576171875,0.5198567708333334,0.3330078125,0.0986649299902312,0.49460140968706,0.0,-0.005443955659759303
golden,phi,soft_plastic,0.8210901718469263,0.8533834586466166,0.460446247464503,0.002258610954263128,0.16261998870694522,0.8459783228750714,0.4472333143183115,0.8459783228750714,0.07815173987450086,0.0,0.1540216771249287,3.45703125,0.576171875,0.5205078125,0.3346354166666667,0.10094431781178768,0.49408095800327767,0.0,-0.003356976808167045
golden,phi,balanced_plastic,0.8177331950387593,0.8324937027707808,0.4542955326460481,0.002258610954263128,0.176171654432524,0.8429799426934097,0.43782234957020055,0.8429799426934097,0.07851002865329514,0.0,0.15702005730659027,3.45703125,0.576171875,0.5201822916666666,0.3336588541666667,0.09801367632692934,0.49392379841495593,0.0,0.0
golden,phi,overplastic,0.8051348728305585,0.8033205619412516,0.4454674220963173,0.002258610954263128,0.20045172219085264,0.8471264367816091,0.4224137931034483,0.8471264367816091,0.0867816091954023,0.0,0.1528735632183908,3.45703125,0.576171875,0.5198567708333334,0.3307291666666667,0.09150113969391079,0.4672490913978199,0.0,0.012598322208200785
silver,metallic,rigid,0.7861998083717562,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.0,-0.004589145611072709
silver,metallic,soft_plastic,0.7799390826215497,0.8253275109170306,0.45215311004784686,0.009625668449197862,0.0962566844919786,0.9698431845597105,0.29794933655006034,0.9698431845597105,0.05186972255729795,0.0,0.030156815440289506,1.81640625,0.302734375,0.19075520833333334,0.150390625,0.04233148811462065,0.5986365816059529,0.0,0.0016715801391338214
silver,metallic,balanced_plastic,0.7816106627606835,0.8344370860927153,0.4548736462093863,0.009625668449197862,0.10160427807486631,0.9699879951980792,0.30732292917166865,0.9699879951980792,0.05402160864345738,0.0,0.030012004801920768,1.81640625,0.302734375,0.18977864583333334,0.15006510416666666,0.04233148811462065,0.5980638588376472,0.0,0.0
silver,metallic,overplastic,0.7768226828098498,0.8187919463087249,0.45018450184501846,0.0106951871657754,0.11978609625668449,0.9670731707317073,0.30121951219512194,0.9670731707317073,0.06097560975609756,0.0,0.032926829268292684,1.81640625,0.302734375,0.1923828125,0.15071614583333334,0.042005861282969716,0.6008790102811274,0.0,0.004787979950833687
bounded_cf_2,bounded_cf,rigid,0.7763900941916941,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.0,-0.000586063488095756
bounded_cf_2,bounded_cf,soft_plastic,0.7737317547372513,0.8396436525612472,0.45641646489104115,0.012861736334405145,0.10182207931404073,0.9437125748502994,0.2838323353293413,0.9437125748502994,0.07425149700598803,0.0,0.0562874251497006,1.8203125,0.3033854166666667,0.2766927083333333,0.146484375,0.11592315206773038,0.5503117183618267,0.0,0.0020722759663470702
bounded_cf_2,bounded_cf,balanced_plastic,0.7758040307035984,0.8482142857142857,0.45893719806763283,0.00964630225080386,0.10289389067524116,0.9433734939759036,0.28072289156626506,0.9433734939759036,0.07108433734939759,0.0,0.056626506024096385,1.8203125,0.3033854166666667,0.2770182291666667,0.14453125,0.11592315206773038,0.5504938055663644,0.0,0.0
bounded_cf_2,bounded_cf,overplastic,0.7768839217191734,0.8510158013544018,0.45975609756097563,0.010718113612004287,0.11039657020364416,0.9418181818181818,0.2775757575757576,0.9418181818181818,0.06909090909090909,0.0,0.05818181818181818,1.8203125,0.3033854166666667,0.2779947916666667,0.14420572916666666,0.11462064474112667,0.551071384388869,0.0,-0.0010798910155750407
random_cf_1,random_cf,rigid,0.7816213058153001,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.0,0.004010991775382444
random_cf_1,random_cf,soft_plastic,0.7827782316816906,0.8461538461538461,0.4583333333333333,0.014270032930845226,0.1163556531284303,0.8946731234866828,0.2602905569007264,0.8946731234866828,0.07263922518159806,0.0,0.1053268765133172,1.7734375,0.17350260416666666,0.2548828125,0.14713541666666666,0.08759361771409964,0.6091531462152164,0.0,0.002854065908991954
random_cf_1,random_cf,balanced_plastic,0.7856322975906825,0.8418604651162791,0.45707070707070707,0.01646542261251372,0.1141602634467618,0.8882138517618469,0.2709599027946537,0.8882138517618469,0.0692588092345079,0.0,0.1117861482381531,1.7734375,0.17350260416666666,0.2545572916666667,0.1474609375,0.08661673721914685,0.609744447138237,0.0,0.0
random_cf_1,random_cf,overplastic,0.7815787618057648,0.8313817330210773,0.4539641943734015,0.014270032930845226,0.12733260153677278,0.8938271604938272,0.2802469135802469,0.8938271604938272,0.07654320987654321,0.0,0.10617283950617284,1.7734375,0.17350260416666666,0.2545572916666667,0.1455078125,0.08433734939759036,0.6120981655536417,0.0,0.004053535784917739
fib_13_21,rational,rigid,0.7086363971520944,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9924433249370277,0.21536523929471033,0.9924433249370277,0.06926952141057935,0.0,0.007556675062972292,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.10159557147508955,0.3840139174397543,0.0,-0.009476497790404936
fib_13_21,rational,soft_plastic,0.7047881166513114,0.732739420935412,0.42287917737789205,0.002129925452609159,0.16932907348242812,0.990979381443299,0.21520618556701032,0.990979381443299,0.06958762886597938,0.0,0.00902061855670103,3.0533854166666665,0.3050130208333333,0.279296875,0.0,0.09801367632692934,0.38339479054862113,0.0,-0.0056282172896219285
fib_13_21,rational,balanced_plastic,0.6991598993616894,0.7181208053691275,0.41796875,0.002129925452609159,0.1799787007454739,0.990909090909091,0.2,0.990909090909091,0.07272727272727272,0.0,0.00909090909090909,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.09605991533702377,0.3820529405125036,0.0,0.0
fib_13_21,rational,overplastic,0.6944082798963722,0.6975169300225733,0.4109042553191489,0.0010649627263045794,0.19808306709265175,0.9932705248990579,0.21534320323014805,0.9932705248990579,0.08075370121130551,0.0,0.006729475100942127,3.0533854166666665,0.3050130208333333,0.2796223958333333,0.0,0.09215239335721263,0.38384047694655854,0.0,0.004751619465317214
pi_mod1,constant,rigid,0.7894763062032037,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9715976331360947,0.26272189349112424,0.9715976331360947,0.0035502958579881655,0.0,0.028402366863905324,3.037109375,0.2740885416666667,0.28515625,0.11848958333333333,0.131227613155324,0.5271449204300005,0.0,0.003853594356201695
pi_mod1,constant,soft_plastic,0.7944913573087405,0.8928571428571429,0.4716981132075472,0.004282655246252677,0.031049250535331904,0.9678571428571429,0.2726190476190476,0.9678571428571429,0.004761904761904762,0.0,0.03214285714285714,3.037109375,0.2740885416666667,0.283203125,0.1181640625,0.13383262780853142,0.5285295211375354,0.0,-0.0011614567493350991
pi_mod1,constant,balanced_plastic,0.7933299005594054,0.8879492600422833,0.47032474804031354,0.004282655246252677,0.03961456102783726,0.9630952380952381,0.26785714285714285,0.9630952380952381,0.007142857142857143,0.0,0.036904761904761905,3.037109375,0.2740885416666667,0.2835286458333333,0.11751302083333333,0.13187886681862585,0.5306150696049929,0.0,0.0
pi_mod1,constant,overplastic,0.7900828062602412,0.8789808917197452,0.46779661016949153,0.0032119914346895075,0.04925053533190578,0.964200477326969,0.26252983293556087,0.964200477326969,0.010739856801909307,0.0,0.03579952267303103,3.037109375,0.2740885416666667,0.2848307291666667,0.11686197916666667,0.12699446434386194,0.5327868186119005,0.0,0.003247094299164255
