mode,flow,family,alpha,offset,delay,slot_count,window_width,stack_gain,stack_decay,relation_gain,witness_threshold,write_threshold,rupture_threshold,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,relation_rate,slot_revisit_rate,occupied_slots,mean_charge,max_charge,pollution,phase_lock_resistance,score
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.14,0.3,0.94,0.0,0.24,0.54,1.55,30.0,372.0,0.08064516129032258,0.07462686567164178,0.4949748743718593,0.0,0.7223618090452262,0.8241206030150754,2.0,0.054059676259077434,0.20844759213587158,0.007326007326007326,0.4859406783775392,0.5250030857915622
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.14,0.3,0.94,0.0,0.24,0.54,1.55,18.0,409.0,0.044009779951100246,0.04215456674473068,0.44545454545454544,0.0,0.8142857142857143,0.7454545454545455,2.0,0.05035292125792801,0.25413289342258516,0.004395604395604396,0.5182492037276909,0.5222083072969259
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.14,0.3,0.94,0.0,0.24,0.54,1.55,41.0,380.0,0.10789473684210527,0.09738717339667459,0.46776232616940583,0.0,0.7408343868520859,0.8482932996207333,3.0,0.043452085061043616,0.16293662060795397,0.010012210012210013,0.5406588579336666,0.5545440799054809
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.14,0.3,0.975,0.18,0.24,0.72,1.15,45.0,504.0,0.08928571428571429,0.08196721311475409,0.2943444730077121,0.0,0.7455012853470437,0.8521850899742931,2.0,0.15445477816411748,0.6715991289460351,0.01098901098901099,0.557093968044847,0.5507519741449762
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.14,0.3,0.975,0.18,0.24,0.72,1.15,52.0,485.0,0.10721649484536082,0.09683426443202979,0.30709677419354836,0.0,0.7251612903225807,0.8270967741935484,3.0,0.09247001404200597,0.27050133766395673,0.012698412698412698,0.5469515781399157,0.5648033232545339
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.14,0.3,0.975,0.18,0.24,0.72,1.15,40.0,534.0,0.0749063670411985,0.06968641114982578,0.26126126126126126,0.0,0.7554697554697555,0.8661518661518661,2.0,0.16546993774827246,0.46920597255866897,0.009768009768009768,0.5702348881617505,0.5506173893748351
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.14,0.3,0.975,0.18,0.24,0.72,1.15,61.0,702.0,0.0868945868945869,0.0799475753604194,0.22380467955239064,0.0,0.8626653102746694,0.8026449643947101,1.0,0.13944424858663512,0.3496155135761274,0.014896214896214897,0.47397131470238785,0.529448080727988
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.14,0.3,0.975,0.18,0.24,0.72,1.15,48.0,495.0,0.09696969696969697,0.08839779005524862,0.29935483870967744,0.0,0.7780645161290323,0.832258064516129,2.0,0.11572950628963874,0.37514193572874904,0.011721611721611722,0.4808319101960081,0.5404815385505481
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.14,0.3,0.975,0.18,0.24,0.72,1.15,41.0,515.0,0.07961165048543689,0.0737410071942446,0.2779220779220779,0.0,0.8,0.8597402597402597,3.0,0.10505072153146089,0.3860423364126754,0.010012210012210013,0.633708647415417,0.5724210423048602
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.14,0.3,0.975,0.18,0.24,0.72,1.15,49.0,502.0,0.09760956175298804,0.08892921960072596,0.30253164556962026,0.0,0.7481012658227848,0.8670886075949367,3.0,0.13421554069071465,0.4172725248793318,0.011965811965811967,0.535966232893409,0.5605349035508009
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.14,0.3,0.992,0.0,0.24,0.72,1.55,151.0,562.0,0.26868327402135234,0.211781206171108,0.08354755784061697,0.0,0.7442159383033419,0.7223650385604113,4.0,0.20885132095492023,0.37645800753912406,0.034432234432234435,0.5545089534739593,0.6343106808629385
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.14,0.3,0.992,0.0,0.24,0.72,1.55,140.0,555.0,0.25225225225225223,0.2014388489208633,0.1032258064516129,0.0,0.7690322580645161,0.7909677419354839,4.0,0.23226990406588738,0.5700852411138484,0.0336996336996337,0.5469743154784781,0.6275702119848116
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.14,0.3,0.992,0.0,0.24,0.72,1.55,143.0,551.0,0.2595281306715064,0.20605187319884727,0.10682110682110682,0.0,0.8005148005148005,0.7425997425997426,5.0,0.282737286432404,0.6620317290886885,0.034432234432234435,0.5744312877709499,0.6449018089925389
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.14,0.3,0.992,0.0,0.24,0.72,1.55,230.0,672.0,0.34226190476190477,0.2549889135254989,0.08240081383519837,0.0,0.8077314343845371,0.7212614445574771,4.0,0.24574271410537696,0.5421146405919733,0.05616605616605617,0.48776972092786297,0.641473073337435
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.14,0.3,0.992,0.0,0.24,0.72,1.55,148.0,549.0,0.26958105646630237,0.21233859397417504,0.10064516129032258,0.0,0.7793548387096774,0.7716129032258064,5.0,0.22453963243692446,0.6447670558619668,0.036141636141636145,0.4813845695206208,0.6329549002362844
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.14,0.3,0.992,0.0,0.24,0.72,1.55,153.0,544.0,0.28125,0.21951219512195122,0.09480519480519481,0.0,0.7584415584415585,0.7298701298701299,4.0,0.23525135964049898,0.4219645077727118,0.03736263736263736,0.6338044004874113,0.6494617150913626
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.14,0.3,0.992,0.0,0.24,0.72,1.55,154.0,579.0,0.2659758203799655,0.2100954979536153,0.07215189873417721,0.0,0.769620253164557,0.7481012658227848,4.0,0.18406564229836558,0.3154001007130627,0.037606837606837605,0.5390707967210411,0.6315787523007372
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.22,0.1,0.94,0.36,0.24,0.72,1.55,0.0,14.0,0.0,0.0,0.9888623707239459,0.0,0.0,0.22752585521081942,0.0,0.04008611505921082,0.2300331334036688,0.0,0.47876149858828343,0.2922774847337799
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.22,0.1,0.94,0.36,0.24,0.72,1.55,0.0,46.0,0.0,0.0,0.9631410256410257,0.0,0.0,0.2932692307692308,0.0,0.031208733661888404,0.06969306060938892,0.0,0.48935704803567637,0.3142998749384555
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.22,0.1,0.94,0.36,0.24,0.72,1.55,0.0,47.0,0.0,0.0,0.9624600638977636,0.0,0.0,0.604632587859425,0.0,0.03662004906903789,0.15948053130512077,0.0,0.5412539334570814,0.33885302551926727
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.22,0.1,0.94,0.36,0.24,0.72,1.55,0.0,68.0,0.0,0.0,0.9577114427860697,0.0,0.0,0.3358208955223881,0.0,0.04353280261659907,0.16825355776487136,0.0,0.41727755823691215,0.3152505500428527
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.22,0.1,0.94,0.36,0.24,0.72,1.55,0.0,22.0,0.0,0.0,0.9838472834067548,0.0,0.0,0.20411160058737152,0.0,0.03333474512865309,0.10350932093576796,0.0,0.44549930959956174,0.28056665269934505
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.22,0.1,0.94,0.36,0.24,0.72,1.55,0.0,12.0,0.0,0.0,0.9904076738609112,0.0,0.0,0.17585931254996004,0.0,0.031927473448557925,0.08432016352660096,0.0,0.5696688201713422,0.2919680686671772
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.22,0.1,0.94,0.36,0.24,0.72,1.55,0.0,84.0,0.0,0.0,0.9342208300704777,0.0,0.0,0.46750195771339076,0.0,0.0315900921172875,0.06975280287115079,0.0,0.5018426855412663,0.33424157988237396
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.3,0.1,0.975,0.36,0.24,0.54,1.15,7.0,825.0,0.008484848484848486,0.008413461538461538,0.54260582737768,0.0,0.6212204507971413,0.7669048927982408,2.0,0.12740266582205498,0.442452776817226,0.0014652014652014652,0.4530322053259931,0.4950313964495914
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.3,0.1,0.975,0.36,0.24,0.54,1.15,7.0,679.0,0.010309278350515464,0.01020408163265306,0.6169737576772752,0.0,0.6192071468453378,0.7386934673366834,1.0,0.11880168091335128,0.24020093629904612,0.0017094017094017094,0.4784169481799878,0.48394286966016764
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.3,0.1,0.975,0.36,0.24,0.54,1.15,5.0,774.0,0.006459948320413436,0.006418485237483954,0.5635854341736695,0.0,0.7047619047619048,0.7915966386554621,1.0,0.12684210771171214,0.35389853296583285,0.001221001221001221,0.5499872237848629,0.49740873830061
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.3,0.1,0.975,0.36,0.24,0.54,1.15,45.0,1396.0,0.032234957020057305,0.031228313671061762,0.39121250528094637,0.0,0.9281791297000422,0.7063793831854668,1.0,0.14683097565772887,0.3958941234741956,0.01098901098901099,0.38759644763716083,0.4891977067134172
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.3,0.1,0.975,0.36,0.24,0.54,1.15,7.0,763.0,0.009174311926605505,0.00909090909090909,0.5698324022346368,0.0,0.5960893854748603,0.8463687150837989,1.0,0.11752326534497048,0.3418327840280648,0.0017094017094017094,0.4148574999256027,0.4762417011538764
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.3,0.1,0.975,0.36,0.24,0.54,1.15,4.0,693.0,0.005772005772005772,0.005738880918220947,0.6095238095238096,0.0,0.6582633053221288,0.6112044817927171,1.0,0.12046024805640154,0.40547068459044455,0.0009768009768009768,0.45762318783621114,0.4796723097815011
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.3,0.1,0.975,0.36,0.24,0.54,1.15,18.0,719.0,0.025034770514603615,0.024423337856173677,0.5898720089037285,0.0,0.6950473010573177,0.7017250973845298,1.0,0.12291473332100283,0.25665139697149986,0.004395604395604396,0.4923960116912526,0.4922588750211774
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.3,0.18,0.94,0.18,0.24,0.54,1.55,5.0,738.0,0.006775067750677507,0.006729475100942127,0.5915338097855964,0.0,0.4315557998900495,0.7960417811984607,2.0,0.10323661530390937,0.41594443836121153,0.001221001221001221,0.45424625819512887,0.4917635413478687
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.3,0.18,0.94,0.18,0.24,0.54,1.55,6.0,689.0,0.008708272859216255,0.008633093525179856,0.6119486320491345,0.0,0.4109436069235064,0.7844779452819653,1.0,0.08576880177196257,0.21293694806192778,0.0014652014652014652,0.4782991338671173,0.48373450160141074
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.3,0.18,0.94,0.18,0.24,0.54,1.55,11.0,790.0,0.013924050632911392,0.01373283395755306,0.5512605042016807,0.0,0.7619047619047619,0.9142857142857143,2.0,0.09700720912274835,0.36839759932311317,0.002686202686202686,0.5446527092918905,0.510809694914549
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.3,0.18,0.94,0.18,0.24,0.54,1.55,45.0,1264.0,0.03560126582278481,0.03437738731856379,0.4469792986903253,0.0,0.9290240811153359,0.7093367131389945,1.0,0.11063481637604691,0.3323089112382074,0.01098901098901099,0.3779220708431267,0.4853506047169502
