flow,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,rewrite_drift_rate,score
golden,dual_recon,0.8371212121212122,0.4556701030927835,0.002258610954263128,0.176171654432524,0.8424068767908309,0.44527220630372494,0.8424068767908309,0.08194842406876791,0.0,0.15759312320916904,3.45703125,0.576171875,0.5192057291666666,0.3317057291666667,0.09573428850537284,0.4974738388159634,0.0,0.8178230002764201
golden,rigid,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.849971477467199,0.46035367940673133,0.849971477467199,0.0775812892184826,0.0,0.1500285225328009,3.45703125,0.576171875,0.5198567708333334,0.3330078125,0.0986649299902312,0.49460140968706,0.0,0.8231771506985186
golden,touch_up,0.8533834586466166,0.460446247464503,0.002258610954263128,0.16261998870694522,0.8459783228750714,0.4472333143183115,0.8459783228750714,0.07815173987450086,0.0,0.1540216771249287,3.45703125,0.576171875,0.5205078125,0.3346354166666667,0.10094431781178768,0.49408095800327767,0.0,0.8210901718469263
golden,melt_heavy,0.8259212198221093,0.4523312456506611,0.002258610954263128,0.18633540372670807,0.8437679494543366,0.43595634692705343,0.8437679494543366,0.08500861573808156,0.0,0.15623205054566341,3.45703125,0.576171875,0.5185546875,0.3323567708333333,0.09443178117876913,0.4978322861063703,0.0,0.8146850987506565
golden,dual_random,0.8395989974937343,0.4564032697547684,0.002258610954263128,0.16883116883116883,0.8437321121923297,0.44876931883228394,0.8437321121923297,0.07784773898111047,0.0,0.15626788780767029,3.45703125,0.576171875,0.517578125,0.3317057291666667,0.0986649299902312,0.49612769967054005,0.0,0.8192385576731109
silver,dual_recon,0.8131868131868132,0.4484848484848485,0.0106951871657754,0.10695187165775401,0.9684848484848485,0.3018181818181818,0.9684848484848485,0.05696969696969697,0.0,0.03151515151515152,1.81640625,0.302734375,0.19010416666666666,0.1494140625,0.040703353956366005,0.5989465634134659,0.0,0.77668766505063
silver,rigid,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.0,0.7861998083717562
silver,touch_up,0.8253275109170306,0.45215311004784686,0.009625668449197862,0.0962566844919786,0.9698431845597105,0.29794933655006034,0.9698431845597105,0.05186972255729795,0.0,0.030156815440289506,1.81640625,0.302734375,0.19075520833333334,0.150390625,0.04233148811462065,0.5986365816059529,0.0,0.7799390826215497
silver,melt_heavy,0.8244444444444444,0.4518879415347138,0.009625668449197862,0.11229946524064172,0.9684848484848485,0.3090909090909091,0.9684848484848485,0.06060606060606061,0.0,0.03151515151515152,1.81640625,0.302734375,0.19010416666666666,0.14973958333333334,0.03972647346141322,0.5987525424633797,0.0,0.7781801220725556
silver,dual_random,0.8374164810690423,0.45575757575757575,0.009625668449197862,0.10802139037433155,0.9698431845597105,0.3027744270205066,0.9698431845597105,0.06272617611580217,0.0,0.030156815440289506,1.81640625,0.302734375,0.18977864583333334,0.15169270833333334,0.04363399544122436,0.5995433197315174,0.0,0.7789890816424465
bounded_cf_2,dual_recon,0.8377777777777777,0.4558645707376058,0.00964630225080386,0.10396570203644159,0.9431680773881499,0.282950423216445,0.9431680773881499,0.07134220072551391,0.0,0.056831922611850064,1.8203125,0.3033854166666667,0.2770182291666667,0.1435546875,0.11494627157277759,0.5504470640854151,0.0,0.7741482932455619
bounded_cf_2,rigid,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.0,0.7763900941916941
bounded_cf_2,touch_up,0.8396436525612472,0.45641646489104115,0.012861736334405145,0.10182207931404073,0.9437125748502994,0.2838323353293413,0.9437125748502994,0.07425149700598803,0.0,0.0562874251497006,1.8203125,0.3033854166666667,0.2766927083333333,0.146484375,0.11592315206773038,0.5503117183618267,0.0,0.7737317547372513
bounded_cf_2,melt_heavy,0.8523489932885906,0.4601449275362319,0.00964630225080386,0.10289389067524116,0.9420989143546441,0.29191797346200243,0.9420989143546441,0.06875753920386007,0.0,0.05790108564535585,1.8203125,0.3033854166666667,0.2783203125,0.1435546875,0.11559752523607945,0.5502224670080957,0.0,0.778716633270679
bounded_cf_2,dual_random,0.8307349665924276,0.4537712895377129,0.012861736334405145,0.10610932475884244,0.9427890345649583,0.2634088200238379,0.9427890345649583,0.07151370679380215,0.0,0.057210965435041714,1.8203125,0.3033854166666667,0.2770182291666667,0.14713541666666666,0.11494627157277759,0.5515107664024119,0.0,0.7711618573007418
random_cf_1,dual_recon,0.8403755868544601,0.45663265306122447,0.015367727771679473,0.12403951701427003,0.8933333333333333,0.25333333333333335,0.8933333333333333,0.07757575757575758,0.0,0.10666666666666667,1.7734375,0.17350260416666666,0.25390625,0.14713541666666666,0.08563985672419408,0.6073850902367055,0.0,0.7792400319579417
random_cf_1,rigid,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.0,0.7816213058153001
random_cf_1,touch_up,0.8461538461538461,0.4583333333333333,0.014270032930845226,0.1163556531284303,0.8946731234866828,0.2602905569007264,0.8946731234866828,0.07263922518159806,0.0,0.1053268765133172,1.7734375,0.17350260416666666,0.2548828125,0.14713541666666666,0.08759361771409964,0.6091531462152164,0.0,0.7827782316816906
random_cf_1,melt_heavy,0.8294392523364486,0.45338441890166026,0.014270032930845226,0.12623490669593854,0.8922518159806295,0.27239709443099275,0.8922518159806295,0.07506053268765134,0.0,0.10774818401937046,1.7734375,0.17350260416666666,0.2555338541666667,0.14778645833333334,0.08498860306089222,0.6103820233339889,0.0,0.781118919342094
random_cf_1,dual_random,0.8364485981308412,0.455470737913486,0.013172338090010977,0.12403951701427003,0.8932038834951457,0.25728155339805825,0.8932038834951457,0.08009708737864078,0.0,0.10679611650485436,1.7734375,0.17350260416666666,0.25390625,0.14713541666666666,0.08661673721914685,0.6071790604886043,0.0,0.7781684223356362
fib_13_21,dual_recon,0.7136465324384788,0.4164490861618799,0.002129925452609159,0.18210862619808307,0.9908972691807543,0.2093628088426528,0.9908972691807543,0.0741222366710013,0.0,0.009102730819245773,3.0533854166666665,0.3050130208333333,0.2779947916666667,0.0,0.09475740801042006,0.3826000970596807,0.0,0.6990424688073996
fib_13_21,rigid,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9924433249370277,0.21536523929471033,0.9924433249370277,0.06926952141057935,0.0,0.007556675062972292,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.10159557147508955,0.3840139174397543,0.0,0.7086363971520944
fib_13_21,touch_up,0.732739420935412,0.42287917737789205,0.002129925452609159,0.16932907348242812,0.990979381443299,0.21520618556701032,0.990979381443299,0.06958762886597938,0.0,0.00902061855670103,3.0533854166666665,0.3050130208333333,0.279296875,0.0,0.09801367632692934,0.38339479054862113,0.0,0.7047881166513114
fib_13_21,melt_heavy,0.7239819004524887,0.4199475065616798,0.0010649627263045794,0.18743343982960597,0.9921671018276762,0.21409921671018275,0.9921671018276762,0.07702349869451697,0.0,0.007832898172323759,3.0533854166666665,0.3050130208333333,0.2799479166666667,0.0,0.09573428850537284,0.3827433409564559,0.0,0.7002396359476825
fib_13_21,dual_random,0.7297297297297297,0.421875,0.002129925452609159,0.1799787007454739,0.9935649935649936,0.21106821106821108,0.9935649935649936,0.08108108108108109,0.0,0.006435006435006435,3.0533854166666665,0.3050130208333333,0.2789713541666667,0.0,0.0963855421686747,0.3850348265397452,0.0,0.6996439547578944
pi_mod1,dual_recon,0.8694736842105263,0.4650900900900901,0.004282655246252677,0.044967880085653104,0.9651442307692307,0.2704326923076923,0.9651442307692307,0.007211538461538462,0.0,0.03485576923076923,3.037109375,0.2740885416666667,0.2819010416666667,0.11653645833333333,0.1299251058287203,0.530748655806768,0.0,0.789968716164171
pi_mod1,rigid,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9715976331360947,0.26272189349112424,0.9715976331360947,0.0035502958579881655,0.0,0.028402366863905324,3.037109375,0.2740885416666667,0.28515625,0.11848958333333333,0.131227613155324,0.5271449204300005,0.0,0.7894763062032037
pi_mod1,touch_up,0.8928571428571429,0.4716981132075472,0.004282655246252677,0.031049250535331904,0.9678571428571429,0.2726190476190476,0.9678571428571429,0.004761904761904762,0.0,0.03214285714285714,3.037109375,0.2740885416666667,0.283203125,0.1181640625,0.13383262780853142,0.5285295211375354,0.0,0.7944913573087405
pi_mod1,melt_heavy,0.8837209302325582,0.4691358024691358,0.004282655246252677,0.0417558886509636,0.9630512514898689,0.2693682955899881,0.9630512514898689,0.009535160905840286,0.0,0.03694874851013111,3.037109375,0.2740885416666667,0.2828776041666667,0.11686197916666667,0.131227613155324,0.5306573051968446,0.0,0.7919081224583009
