flow,dual_score,rewrite_drift_rate,dual_vs_rigid_gap,dual_vs_touchup_gap,dual_vs_meltheavy_gap,dual_vs_random_gap
bounded_cf_2,0.7741482932455619,0.0,-0.002241800946132244,0.00041653850831058215,-0.004568340025117079,0.002986435944820065
fib_13_21,0.6990424688073996,0.0,-0.009593928344694747,-0.005745647843911739,-0.0011971671402828399,-0.0006014859504948067
golden,0.8178230002764201,0.0,-0.005354150422098525,-0.0032671715705062665,0.0031379015257635423,-0.0014155573966908586
pi_mod1,0.789968716164171,0.0,0.0004924099609672217,-0.0045226411445695724,-0.0019394062941299195,-0.0031644188634660786
random_cf_1,0.7792400319579417,0.0,-0.0023812738573584236,-0.0035381997237489138,-0.0018788873841523168,0.0010716096223054583
silver,0.77668766505063,0.0,-0.009512143321126154,-0.0032514175709196236,-0.001492457021925575,-0.0023014165918164853
