flow,best_mode,nested_moderate_score,same_field_recall_rate,same_core_recall_rate,split_rate,nested_moderate_vs_local_moderate_gap,nested_moderate_vs_nested_exact_gap,nested_moderate_vs_nested_novelty_gap,nested_moderate_vs_local_exact_gap
bounded_cf_2,nested_moderate,0.7763900941916941,0.9445114595898673,0.2738238841978287,0.06755126658624849,0.010291643954608132,0.007243747176979842,0.014098608077775632,0.017844392979568857
fib_13_21,nested_exact,0.7176537304555466,0.9936143039591315,0.21711366538952745,0.07407407407407407,0.010026980034132604,-3.735022971218527e-05,0.007887057370377759,0.011477816145245012
golden,nested_moderate,0.8231771506985186,0.849971477467199,0.46035367940673133,0.0775812892184826,0.018946127360034204,0.0057663238524467975,0.017125323885576305,0.02318699519376377
pi_mod1,nested_moderate,0.7914029655040545,0.9715976331360947,0.26272189349112424,0.0035502958579881655,0.009682512262201626,0.0032291926260883397,0.006967504140891312,0.013424451980887597
random_cf_1,nested_moderate,0.7816213058153001,0.8907563025210085,0.25690276110444177,0.07202881152460984,0.008930764374335709,0.005507181826951646,0.005857035648186848,0.01597964217605674
silver,nested_moderate,0.7861998083717562,0.9681372549019608,0.3137254901960784,0.04656862745098039,0.007206529457345567,0.0073157846144211724,0.010453058575496055,0.015192545446562122
