case,t,index,root,local_winding,radius,abs_derivative
control_t_0,0.0,4,223.749318353985274171224157433541189919871183,1,0.2,2.53700665546575676e-36
control_t_0,0.0,5,228.640441830905425531781874552382159620716789,1,0.2,7.22086159363275968e-37
control_t_0,0.0,6,232.453360641715108764321608624129510253431554,1,0.2,2.03698047818326673e-37
control_t_0,0.0,7,237.58156573195243464595827940539964868935593,1,0.2,3.52077375789445838e-38
control_t_0,0.0,8,242.740250004841291837891065940999845601431921,1,0.2,2.84611876002055791e-39
control_t_0,0.0,9,245.893658587105176401634920661540033803174289,1,0.2,5.73288732469176036e-40
control_t_0,0.0,10,248.513637108691534369464015932259846962095423,1,0.2,3.1005494473411627e-40
control_t_0,0.0,11,255.033367759192990248558647533812172237686459,1,0.2,4.26377715200507683e-41
control_t_0,0.0,12,259.15740839991210197153606781235969472948816,1,0.2,5.16735402560002765e-42
control_t_0,0.0,13,262.175377061865313447132744923003527585269672,1,0.2,1.59527907940168187e-42
control_t_0,0.0,14,266.995474405995172900260984085274894543424317,1,0.2,2.44851928543165324e-43
control_t_0,0.0,15,269.513019506747742662652128314347203464014966,1,0.2,1.1398529795114852e-43
control_t_0,0.0,16,276.232084109066886400383110380428338889556099,1,0.2,9.53753100107856704e-45
control_t_0,0.0,17,279.472417904242777900900093047680606549310029,1,0.2,1.55469785012792153e-45
control_t_0,0.0,18,282.247414808042247523880707634371174545952521,1,0.2,5.95945662318755838e-46
control_t_0,0.0,19,286.223691615241265478810247748976047411996089,1,0.2,2.3809312068576087e-46
control_t_0,0.0,20,292.001964973531037094805015072297363984134838,1,0.2,2.20837953259233503e-47
control_t_0,0.0,21,294.845530685119204099042370486152106937217486,1,0.2,6.37803465630427079e-48
mutation_t_0.19,0.19,1,210.763014563831721098834483916737038900256533,1,0.2,5.71324803242203101e-34
mutation_t_0.19,0.19,2,214.285458224536125948701762272287561590533703,1,0.2,2.30090183877110362e-34
mutation_t_0.19,0.19,3,221.708317653749868925658470434701232412021573,1,0.2,8.30417784670095082e-36
mutation_t_0.19,0.19,4,223.737305202668940552475160888132333962766236,1,0.2,3.18472253335851576e-36
mutation_t_0.19,0.19,5,228.491043074988506556766616592715854580953837,1,0.2,8.26979183885531716e-37
mutation_t_0.19,0.19,6,232.352554856915118125604219066118209176578918,1,0.2,2.28034280403487709e-37
mutation_t_0.19,0.19,7,237.427974853971233974600196759452492788535652,1,0.2,3.95264948402687668e-38
mutation_t_0.19,0.19,8,242.507806586130269857003243050174899771453247,1,0.2,3.46075479079662763e-39
mutation_t_0.19,0.19,9,245.730504539811638367483401265607894355749301,1,0.2,7.06736603658091526e-40
mutation_t_0.19,0.19,10,248.503336418784118757092030863483712785393084,1,0.2,3.56643730554643002e-40
mutation_t_0.19,0.19,11,254.833417645498582716082210511414903423450915,1,0.2,4.92637734954738408e-41
mutation_t_0.19,0.19,12,258.955386006511459639240861637202698014400987,1,0.2,6.24390449135161868e-42
mutation_t_0.19,0.19,13,262.082016810580607827951345549930443367872568,1,0.2,1.84153748598618775e-42
mutation_t_0.19,0.19,14,266.787700078859770326444711828491688276616824,1,0.2,3.01581299358958718e-43
mutation_t_0.19,0.19,15,269.491433435273817992014983551061812577215713,1,0.2,1.31370561949399683e-43
mutation_t_0.19,0.19,16,275.982511873824381149260801210978576665376307,1,0.2,1.16315110090796524e-44
mutation_t_0.19,0.19,17,279.285574244269920756818873043222660457601931,1,0.2,1.92857342421769113e-45
mutation_t_0.19,0.19,18,282.173715582111873593210122516516598330705957,1,0.2,7.01329351207125977e-46
mutation_t_0.19,0.19,19,286.136774868613759838844074054340443343006502,1,0.2,2.66407401956652372e-46
mutation_t_0.19,0.19,20,291.765690098687625310581190018536822531385428,1,0.2,2.70564413303805007e-47
mutation_t_0.19,0.19,21,294.748616463267809723993318488672226100470787,1,0.2,7.39982874215690198e-48
mutation_t_0.19,0.19,22,299.801555737787430999203649528051244501846616,1,0.059533278663770700239,6.83277238400769623e-49
