anchor,mechanism,variant,runs,band_match_fraction,mean_effective_offset,median_effective_offset,mean_abs_effective_offset,mean_match_distance,mean_tradeoff_gap_to_direct_best,mean_direct_band_width
golden,phase_lag,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.030000000000000002,-0.07717707878578534,0.0017777777777777794
golden,phase_lag,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.09006666666666667,-0.07934352130753027,0.0017777777777777794
golden,window_drift,small,18,0.0,-0.003999999999999934,-0.003999999999999934,0.003999999999999934,0.0,-0.09185954809162439,0.0017777777777777794
golden,window_drift,big,18,0.0,-0.027999999999999955,-0.027999999999999955,0.027999999999999955,0.4180666666666667,-0.052673327688296946,0.0017777777777777794
golden,delay,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.29213333333333336,-0.07928731777031056,0.0017777777777777794
golden,delay,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.11233333333333334,-0.07458184345449988,0.0017777777777777794
golden,noise,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.0017333333333333333,-0.07737672701801347,0.0017777777777777794
golden,noise,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.006466666666666666,-0.07458387330239034,0.0017777777777777794
golden,rational_cutoff,q34,18,0.0,0.028000000000000094,0.008000000000000076,0.030666666666666717,0.4147333333333333,-0.154752934962385,0.0017777777777777794
golden,rational_cutoff,q55,18,0.0,0.041333333333333444,0.04800000000000011,0.041333333333333444,0.4203333333333333,-0.10663902431754758,0.0017777777777777794
silver,phase_lag,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.030000000000000002,-0.03271214572280337,0.002666666666666669
silver,phase_lag,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.09000000000000001,-0.0326067977304956,0.002666666666666669
silver,window_drift,small,18,0.0,-0.003999999999999934,-0.003999999999999934,0.003999999999999934,0.0,-0.04012277938007839,0.002666666666666669
silver,window_drift,big,18,0.0,0.022666666666666755,0.07200000000000013,0.07333333333333342,0.41326666666666667,-0.012952837246289027,0.002666666666666669
silver,delay,small,18,0.0,-0.023999999999999952,-0.03199999999999996,0.04533333333333335,0.418,-0.032200478068403995,0.002666666666666669
silver,delay,big,18,0.0,0.04666666666666678,0.0320000000000001,0.04666666666666678,0.4169333333333334,-0.029182386554559944,0.002666666666666669
silver,noise,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.0014,-0.02727910096487924,0.002666666666666669
silver,noise,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.004666666666666666,-0.014775954431246031,0.002666666666666669
silver,rational_cutoff,q34,18,0.0,0.020666666666666753,0.0320000000000001,0.0513333333333334,0.4175,-0.10807471227808109,0.002666666666666669
silver,rational_cutoff,q55,18,0.0,0.004000000000000073,0.004000000000000073,0.004000000000000073,0.16,-0.06915242281454274,0.002666666666666669
bronze,phase_lag,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.029933333333333336,-0.1362050830493411,0.005333333333333338
bronze,phase_lag,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.09000000000000001,-0.13640875207281683,0.005333333333333338
bronze,window_drift,small,18,0.0,-0.003999999999999934,-0.003999999999999934,0.003999999999999934,0.0,-0.14033809093436114,0.005333333333333338
bronze,window_drift,big,18,0.0,0.04800000000000012,0.052000000000000116,0.04800000000000012,0.4160666666666667,-0.2316623438079596,0.005333333333333338
bronze,delay,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.18359999999999996,-0.1361894751910954,0.005333333333333338
bronze,delay,big,18,0.0,0.04666666666666678,0.06000000000000012,0.04666666666666678,0.4141333333333333,-0.13099473348479573,0.005333333333333338
bronze,noise,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.0022666666666666664,-0.13603978727934993,0.005333333333333338
bronze,noise,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.005999999999999999,-0.1358026978960557,0.005333333333333338
bronze,rational_cutoff,q34,18,0.0,-0.010666666666666609,-0.007999999999999938,0.010666666666666609,0.4081,-0.22571090072240235,0.005333333333333338
bronze,rational_cutoff,q55,18,0.0,-0.015999999999999945,-0.015999999999999945,0.015999999999999945,0.4119333333333334,-0.13855667848096104,0.005333333333333338
bounded_probe,phase_lag,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.023866666666666665,-0.13993619678578448,0.01200000000000001
bounded_probe,phase_lag,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.08939999999999998,-0.1270357671181979,0.01200000000000001
bounded_probe,window_drift,small,18,0.0,-0.003999999999999934,-0.003999999999999934,0.003999999999999934,0.0,-0.17962520015371045,0.01200000000000001
bounded_probe,window_drift,big,18,0.0,-0.005333333333333269,-0.039999999999999966,0.048000000000000015,0.41106666666666664,-0.08379142279113072,0.01200000000000001
bounded_probe,delay,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.19696666666666665,-0.12930361504532137,0.01200000000000001
bounded_probe,delay,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.14303333333333332,-0.12400969623619165,0.01200000000000001
bounded_probe,noise,small,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.0044,-0.1340331122440989,0.01200000000000001
bounded_probe,noise,big,18,0.0,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,0.007066666666666667,-0.13548598335620352,0.01200000000000001
bounded_probe,rational_cutoff,q34,18,0.0,0.016000000000000084,-0.015999999999999945,0.03733333333333335,0.4166000000000001,-0.21013738702507428,0.01200000000000001
bounded_probe,rational_cutoff,q55,18,0.0,0.020000000000000087,6.938893903907228e-17,0.020000000000000087,0.4311999999999999,-0.20290509785446512,0.01200000000000001
