mechanism,variant,runs,band_match_fraction,mean_effective_offset,mean_abs_effective_offset,mean_match_distance,mean_tradeoff_gap_to_direct_best
phase_lag,small,72,0.0,6.938893903907228e-17,6.938893903907228e-17,0.02845,-0.09650762608592857
phase_lag,big,72,0.0,6.938893903907228e-17,6.938893903907228e-17,0.08986666666666666,-0.09384870955726014
window_drift,small,72,0.0,-0.003999999999999934,0.003999999999999934,0.0,-0.11298640463994361
window_drift,big,72,0.0,0.009333333333333409,0.049333333333333375,0.4146166666666667,-0.09526998288341909
delay,small,72,0.0,-0.005999999999999936,0.011333333333333388,0.272675,-0.09424522151878284
delay,big,72,0.0,0.023333333333333414,0.023333333333333414,0.2716083333333333,-0.08969216493251181
noise,small,72,0.0,6.938893903907228e-17,6.938893903907228e-17,0.00245,-0.09368218187658539
noise,big,72,0.0,6.938893903907228e-17,6.938893903907228e-17,0.00605,-0.09016212724647389
rational_cutoff,q34,72,0.0,0.01350000000000008,0.03250000000000002,0.41423333333333334,-0.17466898374698567
rational_cutoff,q55,72,0.0,0.012333333333333411,0.020333333333333384,0.35586666666666666,-0.1293133058668791
