anchor,anchor_family,model,global_hotspot_offset,hotspot_stability,phase_lock_resistance,delayed_retention,pollution,witness_conversion,mean_alignment_latency,contact_ring_rate,rigidity_after_perturbation,composite_score,surrogate_gap
golden,phi_anchor,single_light_sphere,-0.003000000000000013,0.25,0.5086605471218637,0.38082686723240994,0.8125,0.09979067396777609,8.417779395938222,0.2833251953125,0.6263427734375,0.4278892350872808,-0.19138416345111509
golden,phi_anchor,two_light_alignment,-0.042,0.6875,0.6926694548964228,0.025091164213215028,0.25,0.010238273227014618,10.125,0.4849853515625,0.952392578125,0.5287656782628467,0.02799379420759107
golden,phi_anchor,torus_contact_ring,-0.030000000000000006,0.5625,0.5834427889921693,0.006714233129395411,0.1875,0.0030510752688172045,10.9375,0.93115234375,0.93011474609375,0.5494471880194554,-0.03903296847036464
golden,phi_anchor,random_projection_null,0.011999999999999983,0.5,0.8961823881042523,0.01247271604038785,0.375,0.00997830007994546,10.46875,0.4875335693359375,0.971466064453125,0.5740526890280996,0.010859553163617586
golden,phi_anchor,shuffled_time_null,-0.006000000000000012,0.25,0.879822681827468,0.009006584854188279,0.375,0.006863458603679748,8.625,0.486297607421875,0.9698486328125,0.5673662226699405,-0.03574162672356862
silver,metallic_anchor,single_light_sphere,0.011999999999999983,0.375,0.49255336914581405,0.5844483817065895,0.875,0.19825974767247992,5.821103943073254,0.282958984375,0.626953125,0.49795419368949323,-0.13055373693040695
silver,metallic_anchor,two_light_alignment,-1.3877787807814457e-17,0.5,0.7341558214955874,0.07130968058865338,0.25,0.032868735756136615,10.595588235294118,0.48583984375,0.95245361328125,0.560358066961524,0.05987961750226278
silver,metallic_anchor,torus_contact_ring,0.029999999999999978,0.6875,0.5757003492909597,0.023678676814245618,0.375,0.009739089623239086,9.5125,0.929931640625,0.9310302734375,0.5165842920379012,-0.06735688985938065
silver,metallic_anchor,random_projection_null,-1.3877787807814457e-17,0.375,0.8830710251126105,0.007514587564315764,0.375,0.006207339014510796,9.125,0.4893646240234375,0.9712982177734375,0.5648931663835954,-0.03970080892523398
silver,metallic_anchor,shuffled_time_null,0.008999999999999984,0.3125,0.8316258767401434,0.012416885272013315,0.5,0.00968740189939798,8.3125,0.4864349365234375,0.9709930419921875,0.5269095094362851,-0.06250219320756445
noble_a,noble_anchor,single_light_sphere,0.01799999999999998,0.5,0.491663227433452,0.6865036002652741,1.0,0.2766141241936807,4.787826533305048,0.2830810546875,0.62725830078125,0.525277884563915,-0.11846429753350574
noble_a,noble_anchor,two_light_alignment,-0.030000000000000006,0.6875,0.7720427899684587,0.11917452103123857,0.375,0.05602729526225622,9.961915069057927,0.486083984375,0.9482421875,0.566170926512187,0.06184043285833474
noble_a,noble_anchor,torus_contact_ring,-1.3877787807814457e-17,0.125,0.6866570120706612,0.0,0.0,0.0,11.5,0.929931640625,0.9324951171875,0.6196547903540248,-0.06832699555643107
noble_a,noble_anchor,random_projection_null,-0.009000000000000011,0.3125,0.8700563641840611,0.010786107969501567,0.4375,0.008398632985545704,9.25,0.4871063232421875,0.9707489013671875,0.5515678655559794,-0.07721588780672456
noble_a,noble_anchor,shuffled_time_null,-0.006000000000000012,0.25,0.8976929037062574,0.011725512383304632,0.4375,0.00927867670714978,9.40625,0.4874114990234375,0.9709014892578125,0.5604751284001095,-0.046472770525260554
bounded_probe,bounded_anchor,single_light_sphere,0.02099999999999998,0.625,0.4977474276970243,0.6608499680568941,0.9375,0.23411620080736267,5.548640376575079,0.2830810546875,0.62664794921875,0.51438607351561,-0.11604382825965526
bounded_probe,bounded_anchor,two_light_alignment,0.008999999999999984,0.0,0.5526340061298257,0.034956563706563706,0.25,0.012736786976050563,10.0,0.486572265625,0.95404052734375,0.4846879356401677,-0.01828028065783205
bounded_probe,bounded_anchor,torus_contact_ring,0.011999999999999983,0.5625,0.6759864214675014,0.03194539217487094,0.5625,0.01901557904658502,8.125,0.929931640625,0.930908203125,0.5157673504612996,-0.04771494639809065
