anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_alignment_age,memory_capacity,write_count,witness_expired,release_count,delayed_retention,witness_conversion,pollution,mean_alignment_latency,return_interval_diversity,phase_lock_resistance,contact_ring_rate,center_share,rigidity_after_perturbation,composite_score,surrogate_base_score
golden,phi_anchor,single_light_sphere,Single Light,0.5700339887498947,-0.048,0.18,0.0,0.0,4096,4,34,0.0,248.0,3848.0,0.0,0.0,0.0,4.0,0.0,0.5333467979194157,0.273681640625,0.114501953125,0.668701171875,0.4676758019176014,0.3813379112926014
golden,phi_anchor,single_light_sphere,Single Light,0.5760339887498948,-0.042,0.18,0.0,0.0,4096,4,34,0.0,299.0,3797.0,0.0,0.0,0.0,4.0,0.0,0.5657256235098194,0.273681640625,0.115234375,0.669677734375,0.4787627276183386,0.3923467119933386
golden,phi_anchor,single_light_sphere,Single Light,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.0,4096,4,34,0.0,348.0,3747.0,0.0,0.0,0.0,4.0,0.0,0.5286513927233423,0.273681640625,0.115478515625,0.667724609375,0.4660012391509364,0.3797414735259364
golden,phi_anchor,single_light_sphere,Single Light,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.0,4096,4,34,0.0,397.0,3698.0,0.0,0.0,0.0,4.0,0.0,0.25607255013646213,0.2734375,0.115234375,0.66845703125,0.3733537295463972,0.28706466704639716
golden,phi_anchor,single_light_sphere,Single Light,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.0,4096,4,34,0.0,446.0,3649.0,0.0,0.0,0.0,4.0,0.0,0.5046227372986947,0.274169921875,0.115234375,0.668212890625,0.45792915255655625,0.37157173068155624
golden,phi_anchor,single_light_sphere,Single Light,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.0,4096,4,34,0.0,339.0,3757.0,0.0,0.0,0.0,4.0,0.0,0.20433246334639088,0.27392578125,0.082763671875,0.66552734375,0.3555863187877729,0.2694730375377729
golden,phi_anchor,single_light_sphere,Single Light,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,4,34,0.0,418.0,3678.0,0.0,0.0,0.0,4.0,0.0,0.39894821395265423,0.2734375,0.11474609375,0.66845703125,0.42193145524390246,0.33564239274390245
golden,phi_anchor,single_light_sphere,Single Light,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,4,34,0.0,347.0,3748.0,0.0,0.0,0.0,4.0,0.0,0.5287240760000205,0.273681640625,0.115478515625,0.67138671875,0.466318920215007,0.379766185840007
golden,phi_anchor,single_light_sphere,Single Light,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,4,34,0.0,273.0,3823.0,0.0,0.0,0.0,4.0,0.0,0.5641893273629439,0.27392578125,0.11474609375,0.6689453125,0.47821109005340096,0.391824371303401
golden,phi_anchor,single_light_sphere,Single Light,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.0,4096,4,34,37.0,236.0,3785.0,0.13553113553113552,0.046365914786967416,1.0,3.0,0.0,0.5105568120936712,0.27392578125,0.115966796875,0.66796875,0.30619249247222036,0.2198838987222203
