family,count,mean_best_composite,median_best_composite,mean_surrogate_gap,top3_frequency
bounded_cf,6,0.5071478827275085,0.5028196411977457,0.06218464313710401,0.0
constant,2,0.5095866702959155,0.5095866702959155,-0.04351804026168482,0.0
metallic,2,0.4995614480610533,0.4995614480610533,0.0498880427986893,0.0
noble,4,0.519799657913598,0.5222202758341163,-0.012312048302448947,0.0
phi,1,0.5021812614559269,0.5021812614559269,0.1156580321861973,0.0
random_irrational,6,0.550057505776489,0.5487939020069517,0.0813520082973229,0.5
rational,2,0.47062844017264305,0.47062844017264305,0.024725651770042795,0.0
