n,zeta,smooth_rvm,bk_raw,bk_scaled,bk_residual,bk_mutated_scaled,srl_raw,srl_scaled,srl_residual,srl_mutated_scaled
1,14.134725141735,14.517919628262,4.318827566364,27.135993909218,+13.001268767483,44.157855151933,3.047883402308,19.150416211381,+5.015691069646,19.906019699068
2,21.022039638772,20.654044969368,4.913019500598,30.869411940041,+9.847372301269,50.158757618360,3.904424118509,24.532220254414,+3.510180615642,25.246981523262
3,25.010857580146,25.491508214625,5.474752294902,34.398883179773,+9.388025599627,53.047702649136,4.618686459765,29.020062902462,+4.009205322316,29.707304629898
4,30.424876125860,29.738510300151,6.010975958172,37.768075822199,+7.343199696339,55.873458554352,5.259209535601,33.044588081468,+2.619711955608,33.710820837333
5,32.935061587739,33.623793072743,6.526428023696,41.006756666852,+8.071695079113,58.642525856998,5.852012714261,36.769280303676,+3.834218715937,37.418477471762
6,37.586178158826,37.256741752548,7.024514229560,44.136324597243,+6.550146438417,61.360334897109,6.410435683395,40.277955298526,+2.691777139700,40.912823322426
7,40.918719012147,40.700003642837,7.507782995068,47.172791804102,+6.254072791955,64.031479241103,6.942444960224,43.620668169980,+2.701949157833,44.243178822691
8,43.327073280915,43.993527286302,7.978201904375,50.128520983279,+6.801447702364,66.659887185896,7.453268995485,46.830270242887,+3.503196961972,47.441927668010
9,48.005150881167,47.164690157400,8.437328828932,53.013300529786,+5.008149648619,69.248950371028,7.946568290974,49.929761128345,+1.924610247178,50.531752018662
10,49.773832477672,50.233254372057,8.886423037344,55.835042661620,+6.061210183948,71.801621958938,8.425029441822,52.936021201411,+3.162188723739,53.529306273950
11,52.970321477714,53.214056369838,9.326520212329,58.600254765216,+5.629933287502,74.320492770171,8.890696617205,55.861894355813,+2.891572878099,56.447267475813
12,56.446247697063,56.118582849113,9.758484771274,61.314368135202,+4.868120438139,76.807851153091,9.345170080164,58.717435340784,+2.271187643721,59.295563535345
13,59.347044002602,58.955950339859,10.183047373029,63.981973636530,+4.634929633928,79.265730654437,9.789731807295,61.510699052823,+2.163655050221,62.082150607080
14,60.831778524610,61.733543452419,10.600832445342,66.606994664444,+5.775216139834,81.695948405434,10.225428567991,64.248262538018,+3.416484013408,64.813527328157
15,65.112544048082,64.457447047518,11.012378804391,69.192816700843,+4.080272652761,84.100136347754,10.653128898502,66.935582970559,+1.823038922477,67.495087554993
16,67.079810529494,67.132748399748,11.418155378155,71.742386107114,+4.662575577620,86.479766871008,11.073563377017,69.577250708597,+2.497440179103,70.131369771464
17,69.546401711174,69.763754275352,11.818573386707,74.258286655180,+4.711884944006,88.836174040639,11.487353837365,72.177172849306,+2.630771138132,72.726238039670
18,72.067157674482,72.354150556757,12.213995911053,76.742799650277,+4.675641975795,91.170571311462,11.895035034273,74.738709355728,+2.671551681246,75.283016225741
19,75.704690699084,74.907122014769,12.604745505383,79.197951760161,+3.493261061077,93.484066414587,12.297071023385,77.264775975474,+1.560085276390,77.804589503826
20,77.144840068875,77.425443782427,12.991110321689,81.625553497185,+4.480713428310,95.777673951562,12.693867756779,79.757923380677,+2.613083311802,80.293482425152
