model,flow,family,alpha,offset,window_width,beta,pocket_gain,pocket_decay,stability_gain,stability_threshold,write_threshold,release_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,stability_success,delayed_retention,release_rate,overload_rate,mean_contact_quality,pollution,phase_lock_resistance,composite_score
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.94,0.1,0.35,0.45,0.14,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.94,0.1,0.35,0.45,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.94,0.18,0.5,0.62,0.08,1.1,0.0,255.0,255.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.6827295458892453,0.35115904016560545
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.94,0.18,0.5,0.62,0.08,1.1,0.0,284.0,284.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.6842263258621148,0.35121900949652046
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.94,0.18,0.5,0.62,0.08,1.1,0.0,249.0,248.0,0.0,0.0,0.0,0.0,0.49899396378269617,0.0,0.35760195906228986,0.0,0.7196439522347775,0.3573663927938351
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.94,0.18,0.5,0.62,0.08,1.1,0.0,283.0,283.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5912209475390124,0.33601760641469247
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.94,0.18,0.5,0.62,0.08,1.1,0.0,185.0,184.0,0.0,0.0,0.0,0.0,0.4986449864498645,0.0,0.3520572795657192,0.0,0.6334497183887327,0.3413606172810029
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.94,0.18,0.5,0.62,0.08,1.1,0.0,318.0,318.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.7376648109796167,0.35967553516397144
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.94,0.18,0.5,0.62,0.08,1.1,0.0,233.0,233.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.7273331886194583,0.35747043400857004
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.98,0.1,0.35,0.62,0.14,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.98,0.1,0.35,0.62,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.98,0.1,0.35,0.62,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.98,0.1,0.35,0.62,0.14,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.98,0.1,0.35,0.62,0.14,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.98,0.1,0.35,0.62,0.14,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.98,0.1,0.35,0.62,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.98,0.18,0.2,0.62,0.14,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.98,0.18,0.2,0.62,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
