flow,family,best_composite,mean_composite,mean_witness_conversion,mean_revision_write_rate,mean_delayed_retention,mean_overload_rate,mean_density_gap
golden,phi,0.8225047534839767,0.4898498625166219,0.3142656684650661,0.4098639455782313,0.16700982295141126,0.0037387019445102154,0.10252235547566041
silver,metallic,0.8167019051474178,0.5022852065242699,0.3168204377897932,0.42346938775510207,0.17071680616201398,0.003741748797862597,0.13737274040058567
bounded_cf_2,bounded_cf,0.8309647482257669,0.5452128266469372,0.3657753848984062,0.5459183673469388,0.20020585591421178,0.005769013379296737,0.18084716900564374
random_cf_1,random_cf,0.8376380574754538,0.5231696378813165,0.3407678329914429,0.4897959183673469,0.1855265635689954,0.00507453601853017,0.15252977301177578
fib_13_21,rational,0.8230227018810625,0.48359713786030967,0.31691730593149103,0.41156462585034015,0.16849105733607966,0.004634104091642199,0.10108429306157846
pi_mod1,constant,0.8399427885098534,0.5308193744813963,0.3393583586519255,0.5255102040816326,0.18817777086663667,0.006772274914205576,0.16495847293136706
